pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Morpeko,163,move,1,Aura Wheel,99.5%,,,,,,,,,28522.47
Morpeko,163,move,2,Endeavor,49.1%,,,,,,,,,28522.47
Morpeko,163,move,3,Protect,44.7%,,,,,,,,,28522.47
Morpeko,163,move,4,Fake Out,32.4%,,,,,,,,,28522.47
Morpeko,163,move,5,Quick Attack,31.9%,,,,,,,,,28522.47
Morpeko,163,move,6,Parting Shot,24.7%,,,,,,,,,28526.19
Morpeko,163,move,7,Reversal,18.4%,,,,,,,,,28526.19
Morpeko,163,move,8,Knock Off,16.4%,,,,,,,,,28526.19
Morpeko,163,move,9,Taunt,13.7%,,,,,,,,,28526.19
Morpeko,163,move,10,Psychic Fangs,7.9%,,,,,,,,,28526.19
Morpeko,163,held_item,1,Focus Sash,89.6%,,,,,,,,,28529.15
Morpeko,163,held_item,2,Life Orb,2.5%,,,,,,,,,28529.15
Morpeko,163,held_item,3,Choice Scarf,1.5%,,,,,,,,,28529.15
Morpeko,163,held_item,4,Quick Claw,0.8%,,,,,,,,,28529.15
Morpeko,163,held_item,5,Leftovers,0.7%,,,,,,,,,28529.15
Morpeko,163,held_item,6,Metronome,0.7%,,,,,,,,,28536.40
Morpeko,163,held_item,7,Expert Belt,0.6%,,,,,,,,,28536.40
Morpeko,163,held_item,8,Lum Berry,0.5%,,,,,,,,,28536.40
Morpeko,163,held_item,9,Black Glasses,0.5%,,,,,,,,,28536.40
Morpeko,163,held_item,10,Sitrus Berry,0.4%,,,,,,,,,28536.40
Morpeko,163,teammate,1,Mimikyu,,,,,,,,,,28542.84
Morpeko,163,teammate,2,Garchomp,,,,,,,,,,28542.84
Morpeko,163,teammate,3,Raichu,,,,,,,,,,28542.84
Morpeko,163,teammate,4,Delphox,,,,,,,,,,28542.84
Morpeko,163,teammate,5,Meowscarada,,,,,,,,,,28542.84
Morpeko,163,teammate,6,Primarina,,,,,,,,,,28545.81
Morpeko,163,teammate,7,Maushold Family of Four,,,,,,,,,,28545.81
Morpeko,163,teammate,8,Metagross,,,,,,,,,,28545.81
Morpeko,163,teammate,9,Greninja,,,,,,,,,,28545.81
Morpeko,163,teammate,10,Basculegion Male,,,,,,,,,,28545.81
Morpeko,163,stat_alignment,1,Adamant,60.2%,Attack,Sp. Atk,,,,,,,28547.95
Morpeko,163,stat_alignment,2,Jolly,30.9%,Speed,Sp. Atk,,,,,,,28547.95
Morpeko,163,stat_alignment,3,Naughty,2.7%,Attack,Sp. Def,,,,,,,28547.95
Morpeko,163,stat_alignment,4,Naive,2.2%,Speed,Sp. Def,,,,,,,28547.95
Morpeko,163,stat_alignment,5,Brave,1.4%,Attack,Speed,,,,,,,28547.95
Morpeko,163,stat_alignment,6,Lonely,1.0%,Attack,Defense,,,,,,,28551.02
Morpeko,163,stat_alignment,7,Hasty,0.8%,Speed,Defense,,,,,,,28551.02
Morpeko,163,stat_alignment,8,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,,28551.02
Morpeko,163,stat_alignment,9,Quiet,0.1%,Sp. Atk,Speed,,,,,,,28551.02
Morpeko,163,stat_alignment,10,Sassy,0.1%,Sp. Def,Speed,,,,,,,28551.02
Morpeko,163,stat_points,1,,61.8%,,,2,32,0,0,0,32,28553.23
Morpeko,163,stat_points,2,,10.7%,,,0,32,2,0,0,32,28553.23
Morpeko,163,stat_points,3,,9.5%,,,0,32,0,0,2,32,28553.23
Morpeko,163,stat_points,4,,5.8%,,,0,32,0,0,0,32,28553.23
Morpeko,163,stat_points,5,,2.2%,,,0,32,1,0,1,32,28553.23
Morpeko,163,stat_points,6,,0.6%,,,18,15,0,0,0,32,28575.15
Morpeko,163,stat_points,7,,0.6%,,,0,32,0,13,0,21,28575.15
Morpeko,163,stat_points,8,,0.5%,,,1,32,1,0,0,32,28575.15
Morpeko,163,ability,1,Hunger Switch,100.0%,,,,,,,,,28589.01
