pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Vaporeon,100,move,1,Scald,68.2%,,,,,,,,,22558.21
Vaporeon,100,move,2,Wish,57.4%,,,,,,,,,22558.21
Vaporeon,100,move,3,Protect,41.4%,,,,,,,,,22558.21
Vaporeon,100,move,4,Flip Turn,35.3%,,,,,,,,,22558.21
Vaporeon,100,move,5,Yawn,32.1%,,,,,,,,,22558.21
Vaporeon,100,move,6,Acid Armor,32.0%,,,,,,,,,22562.94
Vaporeon,100,move,7,Calm Mind,31.6%,,,,,,,,,22562.94
Vaporeon,100,move,8,Ice Beam,26.1%,,,,,,,,,22562.94
Vaporeon,100,move,9,Baton Pass,20.5%,,,,,,,,,22562.94
Vaporeon,100,move,10,Rest,10.3%,,,,,,,,,22562.94
Vaporeon,100,held_item,1,Leftovers,61.2%,,,,,,,,,22568.38
Vaporeon,100,held_item,2,Sitrus Berry,18.8%,,,,,,,,,22568.38
Vaporeon,100,held_item,3,Chesto Berry,8.5%,,,,,,,,,22568.38
Vaporeon,100,held_item,4,Lum Berry,3.1%,,,,,,,,,22568.38
Vaporeon,100,held_item,5,Mystic Water,1.6%,,,,,,,,,22568.38
Vaporeon,100,held_item,6,Bright Powder,1.0%,,,,,,,,,22575.87
Vaporeon,100,held_item,7,Choice Scarf,0.7%,,,,,,,,,22575.87
Vaporeon,100,held_item,8,Wacan Berry,0.6%,,,,,,,,,22575.87
Vaporeon,100,held_item,9,Mental Herb,0.5%,,,,,,,,,22575.87
Vaporeon,100,held_item,10,Damp Rock,0.5%,,,,,,,,,22575.87
Vaporeon,100,teammate,1,Delphox,,,,,,,,,,22582.75
Vaporeon,100,teammate,2,Garchomp,,,,,,,,,,22582.75
Vaporeon,100,teammate,3,Meowscarada,,,,,,,,,,22582.75
Vaporeon,100,teammate,4,Umbreon,,,,,,,,,,22582.75
Vaporeon,100,teammate,5,Sylveon,,,,,,,,,,22582.75
Vaporeon,100,teammate,6,Espeon,,,,,,,,,,22585.66
Vaporeon,100,teammate,7,Mimikyu,,,,,,,,,,22585.66
Vaporeon,100,teammate,8,Glimmora,,,,,,,,,,22585.66
Vaporeon,100,teammate,9,Blaziken,,,,,,,,,,22585.66
Vaporeon,100,teammate,10,Metagross,,,,,,,,,,22585.66
Vaporeon,100,stat_alignment,1,Bold,49.8%,Defense,Attack,,,,,,,22587.70
Vaporeon,100,stat_alignment,2,Relaxed,21.2%,Defense,Speed,,,,,,,22587.70
Vaporeon,100,stat_alignment,3,Calm,13.2%,Sp. Def,Attack,,,,,,,22587.70
Vaporeon,100,stat_alignment,4,Modest,7.7%,Sp. Atk,Attack,,,,,,,22587.70
Vaporeon,100,stat_alignment,5,Sassy,3.6%,Sp. Def,Speed,,,,,,,22587.70
Vaporeon,100,stat_alignment,6,Impish,1.6%,Defense,Sp. Atk,,,,,,,22590.75
Vaporeon,100,stat_alignment,7,Timid,1.1%,Speed,Attack,,,,,,,22590.75
Vaporeon,100,stat_alignment,8,Quiet,1.1%,Sp. Atk,Speed,,,,,,,22590.75
Vaporeon,100,stat_alignment,9,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,,22590.75
Vaporeon,100,stat_alignment,10,Mild,0.1%,Sp. Atk,Defense,,,,,,,22590.75
Vaporeon,100,stat_points,1,,42.0%,,,32,0,32,0,2,0,22592.93
Vaporeon,100,stat_points,2,,5.7%,,,32,0,2,0,32,0,22592.93
Vaporeon,100,stat_points,3,,3.9%,,,32,0,32,0,0,2,22592.93
Vaporeon,100,stat_points,4,,3.7%,,,32,0,32,2,0,0,22592.93
Vaporeon,100,stat_points,5,,3.3%,,,32,0,30,0,4,0,22592.93
Vaporeon,100,stat_points,6,,1.8%,,,32,0,32,0,0,0,22615.05
Vaporeon,100,stat_points,7,,1.4%,,,32,0,0,2,32,0,22615.05
Vaporeon,100,stat_points,8,,1.4%,,,22,0,30,0,1,13,22615.05
Vaporeon,100,ability,1,Water Absorb,96.7%,,,,,,,,,22629.04
Vaporeon,100,ability,2,Hydration,3.3%,,,,,,,,,22629.04
