pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Heracross,139,move,1,Close Combat,83.5%,,,,,,,,
Heracross,139,move,2,Rock Blast,82.4%,,,,,,,,
Heracross,139,move,3,Pin Missile,77.5%,,,,,,,,
Heracross,139,move,4,Bullet Seed,42.0%,,,,,,,,
Heracross,139,move,5,Protect,40.3%,,,,,,,,
Heracross,139,move,6,Detect,29.9%,,,,,,,,
Heracross,139,move,7,Megahorn,7.6%,,,,,,,,
Heracross,139,move,8,Rock Slide,5.6%,,,,,,,,
Heracross,139,move,9,Brick Break,5.4%,,,,,,,,
Heracross,139,move,10,Earthquake,3.6%,,,,,,,,
Heracross,139,held_item,1,Heracronite,88.9%,,,,,,,,
Heracross,139,held_item,2,Life Orb,1.9%,,,,,,,,
Heracross,139,held_item,3,Wide Lens,1.8%,,,,,,,,
Heracross,139,held_item,4,Choice Scarf,1.6%,,,,,,,,
Heracross,139,held_item,5,Focus Sash,1.4%,,,,,,,,
Heracross,139,held_item,6,Muscle Band,1.0%,,,,,,,,
Heracross,139,held_item,7,White Herb,0.9%,,,,,,,,
Heracross,139,held_item,8,Expert Belt,0.5%,,,,,,,,
Heracross,139,held_item,9,Leftovers,0.4%,,,,,,,,
Heracross,139,held_item,10,Sitrus Berry,0.4%,,,,,,,,
Heracross,139,teammate,1,Farigiraf,,,,,,,,,
Heracross,139,teammate,2,Whimsicott,,,,,,,,,
Heracross,139,teammate,3,Talonflame,,,,,,,,,
Heracross,139,teammate,4,Incineroar,,,,,,,,,
Heracross,139,teammate,5,Sylveon,,,,,,,,,
Heracross,139,teammate,6,Kingambit,,,,,,,,,
Heracross,139,teammate,7,Sinistcha,,,,,,,,,
Heracross,139,teammate,8,Basculegion Male,,,,,,,,,
Heracross,139,teammate,9,Garchomp,,,,,,,,,
Heracross,139,teammate,10,Torkoal,,,,,,,,,
Heracross,139,stat_alignment,1,Adamant,59.7%,Attack,Sp. Atk,,,,,,
Heracross,139,stat_alignment,2,Brave,21.5%,Attack,Speed,,,,,,
Heracross,139,stat_alignment,3,Jolly,17.2%,Speed,Sp. Atk,,,,,,
Heracross,139,stat_alignment,4,Relaxed,0.6%,Defense,Speed,,,,,,
Heracross,139,stat_alignment,5,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Heracross,139,stat_alignment,6,Sassy,0.2%,Sp. Def,Speed,,,,,,
Heracross,139,stat_alignment,7,Impish,0.2%,Defense,Sp. Atk,,,,,,
Heracross,139,stat_alignment,8,Mild,0.1%,Sp. Atk,Defense,,,,,,
Heracross,139,stat_alignment,9,Lonely,0.1%,Attack,Defense,,,,,,
Heracross,139,stat_alignment,10,Serious,0.1%,,,,,,,,
Heracross,139,stat_points,1,,28.8%,,,2,32,0,0,0,32
Heracross,139,stat_points,2,,12.2%,,,32,32,2,0,0,0
Heracross,139,stat_points,3,,9.2%,,,32,32,0,0,2,0
Heracross,139,stat_points,4,,4.5%,,,0,32,2,0,0,32
Heracross,139,stat_points,5,,3.9%,,,26,32,0,0,0,8
Heracross,139,stat_points,6,,1.9%,,,32,32,0,0,0,2
Heracross,139,stat_points,7,,1.3%,,,17,32,0,0,0,17
Heracross,139,stat_points,8,,1.1%,,,29,32,5,0,0,0
Heracross,139,ability,1,Moxie,68.0%,,,,,,,,
Heracross,139,ability,2,Guts,27.4%,,,,,,,,
Heracross,139,ability,3,Swarm,4.6%,,,,,,,,
