pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Incineroar,3,move,1,Fake Out,99.3%,,,,,,,,
Incineroar,3,move,2,Flare Blitz,91.7%,,,,,,,,
Incineroar,3,move,3,Parting Shot,90.7%,,,,,,,,
Incineroar,3,move,4,Darkest Lariat,48.1%,,,,,,,,
Incineroar,3,move,5,Throat Chop,29.7%,,,,,,,,
Incineroar,3,move,6,Protect,12.1%,,,,,,,,
Incineroar,3,move,7,Helping Hand,10.5%,,,,,,,,
Incineroar,3,move,8,Close Combat,6.5%,,,,,,,,
Incineroar,3,move,9,Taunt,3.9%,,,,,,,,
Incineroar,3,move,10,Will-O-Wisp,2.0%,,,,,,,,
Incineroar,3,held_item,1,Sitrus Berry,69.1%,,,,,,,,
Incineroar,3,held_item,2,Passho Berry,8.0%,,,,,,,,
Incineroar,3,held_item,3,Chople Berry,6.0%,,,,,,,,
Incineroar,3,held_item,4,Leftovers,4.1%,,,,,,,,
Incineroar,3,held_item,5,Life Orb,3.9%,,,,,,,,
Incineroar,3,held_item,6,Charcoal,2.3%,,,,,,,,
Incineroar,3,held_item,7,White Herb,2.2%,,,,,,,,
Incineroar,3,held_item,8,Shuca Berry,1.3%,,,,,,,,
Incineroar,3,held_item,9,Quick Claw,0.6%,,,,,,,,
Incineroar,3,held_item,10,Expert Belt,0.4%,,,,,,,,
Incineroar,3,teammate,1,Sinistcha,,,,,,,,,
Incineroar,3,teammate,2,Garchomp,,,,,,,,,
Incineroar,3,teammate,3,Kingambit,,,,,,,,,
Incineroar,3,teammate,4,Charizard,,,,,,,,,
Incineroar,3,teammate,5,Sneasler,,,,,,,,,
Incineroar,3,teammate,6,Sylveon,,,,,,,,,
Incineroar,3,teammate,7,Delphox,,,,,,,,,
Incineroar,3,teammate,8,Farigiraf,,,,,,,,,
Incineroar,3,teammate,9,Blastoise,,,,,,,,,
Incineroar,3,teammate,10,Aerodactyl,,,,,,,,,
Incineroar,3,stat_alignment,1,Careful,35.4%,Sp. Def,Sp. Atk,,,,,,
Incineroar,3,stat_alignment,2,Impish,28.5%,Defense,Sp. Atk,,,,,,
Incineroar,3,stat_alignment,3,Adamant,17.4%,Attack,Sp. Atk,,,,,,
Incineroar,3,stat_alignment,4,Brave,8.5%,Attack,Speed,,,,,,
Incineroar,3,stat_alignment,5,Sassy,4.1%,Sp. Def,Speed,,,,,,
Incineroar,3,stat_alignment,6,Relaxed,3.0%,Defense,Speed,,,,,,
Incineroar,3,stat_alignment,7,Jolly,1.8%,Speed,Sp. Atk,,,,,,
Incineroar,3,stat_alignment,8,Bold,0.2%,Defense,Attack,,,,,,
Incineroar,3,stat_alignment,9,Naughty,0.2%,Attack,Sp. Def,,,,,,
Incineroar,3,stat_alignment,10,Lonely,0.2%,Attack,Defense,,,,,,
Incineroar,3,stat_points,1,,8.9%,,,32,0,32,0,2,0
Incineroar,3,stat_points,2,,8.7%,,,32,0,1,0,10,23
Incineroar,3,stat_points,3,,5.6%,,,32,0,14,0,20,0
Incineroar,3,stat_points,4,,3.1%,,,32,32,0,0,2,0
Incineroar,3,stat_points,5,,3.1%,,,32,32,2,0,0,0
Incineroar,3,stat_points,6,,2.0%,,,32,0,20,0,14,0
Incineroar,3,stat_points,7,,1.6%,,,32,0,21,0,11,2
Incineroar,3,stat_points,8,,1.5%,,,31,0,15,0,20,0
Incineroar,3,ability,1,Intimidate,99.7%,,,,,,,,
Incineroar,3,ability,2,Blaze,0.3%,,,,,,,,
