pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Chimecho,160,move,1,Flash Cannon,62.3%,,,,,,,,
Chimecho,160,move,2,Psychic,53.6%,,,,,,,,
Chimecho,160,move,3,Trick Room,48.7%,,,,,,,,
Chimecho,160,move,4,Protect,32.5%,,,,,,,,
Chimecho,160,move,5,Recover,27.5%,,,,,,,,
Chimecho,160,move,6,Boomburst,22.3%,,,,,,,,
Chimecho,160,move,7,Stored Power,19.2%,,,,,,,,
Chimecho,160,move,8,Calm Mind,17.8%,,,,,,,,
Chimecho,160,move,9,Cosmic Power,17.4%,,,,,,,,
Chimecho,160,move,10,Dazzling Gleam,14.6%,,,,,,,,
Chimecho,160,held_item,1,Chimechite,90.1%,,,,,,,,
Chimecho,160,held_item,2,Focus Sash,2.3%,,,,,,,,
Chimecho,160,held_item,3,Life Orb,1.8%,,,,,,,,
Chimecho,160,held_item,4,Sitrus Berry,1.6%,,,,,,,,
Chimecho,160,held_item,5,Leftovers,1.3%,,,,,,,,
Chimecho,160,held_item,6,Mental Herb,0.9%,,,,,,,,
Chimecho,160,held_item,7,Quick Claw,0.6%,,,,,,,,
Chimecho,160,held_item,8,Colbur Berry,0.5%,,,,,,,,
Chimecho,160,held_item,9,Kasib Berry,0.2%,,,,,,,,
Chimecho,160,held_item,10,Metronome,0.2%,,,,,,,,
Chimecho,160,teammate,1,Incineroar,,,,,,,,,
Chimecho,160,teammate,2,Sinistcha,,,,,,,,,
Chimecho,160,teammate,3,Farigiraf,,,,,,,,,
Chimecho,160,teammate,4,Garchomp,,,,,,,,,
Chimecho,160,teammate,5,Sylveon,,,,,,,,,
Chimecho,160,teammate,6,Tyranitar,,,,,,,,,
Chimecho,160,teammate,7,Mudsdale,,,,,,,,,
Chimecho,160,teammate,8,Torkoal,,,,,,,,,
Chimecho,160,teammate,9,Kommo-o,,,,,,,,,
Chimecho,160,teammate,10,Kingambit,,,,,,,,,
Chimecho,160,stat_alignment,1,Quiet,34.2%,Sp. Atk,Speed,,,,,,
Chimecho,160,stat_alignment,2,Modest,24.5%,Sp. Atk,Attack,,,,,,
Chimecho,160,stat_alignment,3,Bold,14.9%,Defense,Attack,,,,,,
Chimecho,160,stat_alignment,4,Relaxed,9.3%,Defense,Speed,,,,,,
Chimecho,160,stat_alignment,5,Calm,7.5%,Sp. Def,Attack,,,,,,
Chimecho,160,stat_alignment,6,Sassy,4.4%,Sp. Def,Speed,,,,,,
Chimecho,160,stat_alignment,7,Mild,3.3%,Sp. Atk,Defense,,,,,,
Chimecho,160,stat_alignment,8,Timid,1.6%,Speed,Attack,,,,,,
Chimecho,160,stat_alignment,9,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Chimecho,160,stat_alignment,10,Brave,0.1%,Attack,Speed,,,,,,
Chimecho,160,stat_points,1,,27.8%,,,32,0,2,32,0,0
Chimecho,160,stat_points,2,,7.2%,,,32,0,0,32,2,0
Chimecho,160,stat_points,3,,4.6%,,,32,0,32,0,2,0
Chimecho,160,stat_points,4,,2.4%,,,32,0,0,32,0,2
Chimecho,160,stat_points,5,,2.0%,,,32,0,17,0,17,0
Chimecho,160,stat_points,6,,1.8%,,,0,0,2,32,32,0
Chimecho,160,stat_points,7,,1.8%,,,0,0,0,32,32,2
Chimecho,160,stat_points,8,,1.7%,,,32,0,32,2,0,0
Chimecho,160,ability,1,Levitate,100.0%,,,,,,,,
