pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Goodra,113,move,1,Flash Cannon,48.9%,,,,,,,,
Hisuian Goodra,113,move,2,Shelter,47.8%,,,,,,,,
Hisuian Goodra,113,move,3,Protect,47.4%,,,,,,,,
Hisuian Goodra,113,move,4,Body Press,47.0%,,,,,,,,
Hisuian Goodra,113,move,5,Life Dew,26.8%,,,,,,,,
Hisuian Goodra,113,move,6,Thunderbolt,24.6%,,,,,,,,
Hisuian Goodra,113,move,7,Dragon Pulse,22.8%,,,,,,,,
Hisuian Goodra,113,move,8,Heavy Slam,18.8%,,,,,,,,
Hisuian Goodra,113,move,9,Ice Beam,16.8%,,,,,,,,
Hisuian Goodra,113,move,10,Draco Meteor,16.0%,,,,,,,,
Hisuian Goodra,113,held_item,1,Leftovers,58.9%,,,,,,,,
Hisuian Goodra,113,held_item,2,Sitrus Berry,9.1%,,,,,,,,
Hisuian Goodra,113,held_item,3,Life Orb,4.1%,,,,,,,,
Hisuian Goodra,113,held_item,4,Chople Berry,3.6%,,,,,,,,
Hisuian Goodra,113,held_item,5,Expert Belt,3.5%,,,,,,,,
Hisuian Goodra,113,held_item,6,Quick Claw,2.9%,,,,,,,,
Hisuian Goodra,113,held_item,7,Shuca Berry,2.8%,,,,,,,,
Hisuian Goodra,113,held_item,8,White Herb,2.0%,,,,,,,,
Hisuian Goodra,113,held_item,9,Bright Powder,1.7%,,,,,,,,
Hisuian Goodra,113,held_item,10,Shell Bell,1.6%,,,,,,,,
Hisuian Goodra,113,teammate,1,Sinistcha,,,,,,,,,
Hisuian Goodra,113,teammate,2,Incineroar,,,,,,,,,
Hisuian Goodra,113,teammate,3,Farigiraf,,,,,,,,,
Hisuian Goodra,113,teammate,4,Whimsicott,,,,,,,,,
Hisuian Goodra,113,teammate,5,Garchomp,,,,,,,,,
Hisuian Goodra,113,teammate,6,Pelipper,,,,,,,,,
Hisuian Goodra,113,teammate,7,Grimmsnarl,,,,,,,,,
Hisuian Goodra,113,teammate,8,Tyranitar,,,,,,,,,
Hisuian Goodra,113,teammate,9,Glimmora,,,,,,,,,
Hisuian Goodra,113,teammate,10,Charizard,,,,,,,,,
Hisuian Goodra,113,stat_alignment,1,Modest,26.8%,Sp. Atk,Attack,,,,,,
Hisuian Goodra,113,stat_alignment,2,Bold,20.4%,Defense,Attack,,,,,,
Hisuian Goodra,113,stat_alignment,3,Relaxed,11.9%,Defense,Speed,,,,,,
Hisuian Goodra,113,stat_alignment,4,Quiet,10.5%,Sp. Atk,Speed,,,,,,
Hisuian Goodra,113,stat_alignment,5,Calm,8.5%,Sp. Def,Attack,,,,,,
Hisuian Goodra,113,stat_alignment,6,Sassy,6.9%,Sp. Def,Speed,,,,,,
Hisuian Goodra,113,stat_alignment,7,Impish,6.4%,Defense,Sp. Atk,,,,,,
Hisuian Goodra,113,stat_alignment,8,Careful,3.1%,Sp. Def,Sp. Atk,,,,,,
Hisuian Goodra,113,stat_alignment,9,Brave,1.7%,Attack,Speed,,,,,,
Hisuian Goodra,113,stat_alignment,10,Adamant,1.2%,Attack,Sp. Atk,,,,,,
Hisuian Goodra,113,stat_points,1,,14.1%,,,32,0,32,0,2,0
Hisuian Goodra,113,stat_points,2,,7.6%,,,32,0,2,32,0,0
Hisuian Goodra,113,stat_points,3,,4.8%,,,22,0,12,32,0,0
Hisuian Goodra,113,stat_points,4,,4.3%,,,32,0,2,0,32,0
Hisuian Goodra,113,stat_points,5,,3.5%,,,32,0,0,32,2,0
Hisuian Goodra,113,stat_points,6,,2.4%,,,2,0,32,0,32,0
Hisuian Goodra,113,stat_points,7,,2.1%,,,2,0,0,32,32,0
Hisuian Goodra,113,stat_points,8,,2.1%,,,32,0,32,2,0,0
Hisuian Goodra,113,ability,1,Shell Armor,50.1%,,,,,,,,
Hisuian Goodra,113,ability,2,Sap Sipper,26.6%,,,,,,,,
Hisuian Goodra,113,ability,3,Gooey,23.3%,,,,,,,,
