pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom Frost,199,move,1,Blizzard,93.2%,,,,,,,,
Rotom Frost,199,move,2,Volt Switch,69.6%,,,,,,,,
Rotom Frost,199,move,3,Thunderbolt,55.3%,,,,,,,,
Rotom Frost,199,move,4,Will-O-Wisp,50.5%,,,,,,,,
Rotom Frost,199,move,5,Trick,31.5%,,,,,,,,
Rotom Frost,199,move,6,Shadow Ball,14.5%,,,,,,,,
Rotom Frost,199,move,7,Dark Pulse,10.7%,,,,,,,,
Rotom Frost,199,move,8,Discharge,10.4%,,,,,,,,
Rotom Frost,199,move,9,Nasty Plot,8.0%,,,,,,,,
Rotom Frost,199,move,10,Pain Split,7.1%,,,,,,,,
Rotom Frost,199,held_item,1,Choice Scarf,40.6%,,,,,,,,
Rotom Frost,199,held_item,2,Sitrus Berry,21.5%,,,,,,,,
Rotom Frost,199,held_item,3,Leftovers,9.2%,,,,,,,,
Rotom Frost,199,held_item,4,Focus Sash,4.0%,,,,,,,,
Rotom Frost,199,held_item,5,Life Orb,3.8%,,,,,,,,
Rotom Frost,199,held_item,6,Quick Claw,2.9%,,,,,,,,
Rotom Frost,199,held_item,7,Wide Lens,2.8%,,,,,,,,
Rotom Frost,199,held_item,8,Light Clay,2.3%,,,,,,,,
Rotom Frost,199,held_item,9,Zoom Lens,2.2%,,,,,,,,
Rotom Frost,199,held_item,10,Bright Powder,2.0%,,,,,,,,
Rotom Frost,199,teammate,1,Garchomp,,,,,,,,,
Rotom Frost,199,teammate,2,Mimikyu,,,,,,,,,
Rotom Frost,199,teammate,3,Raichu,,,,,,,,,
Rotom Frost,199,teammate,4,Froslass,,,,,,,,,
Rotom Frost,199,teammate,5,Meowscarada,,,,,,,,,
Rotom Frost,199,teammate,6,Blaziken,,,,,,,,,
Rotom Frost,199,teammate,7,Primarina,,,,,,,,,
Rotom Frost,199,teammate,8,Gengar,,,,,,,,,
Rotom Frost,199,teammate,9,Charizard,,,,,,,,,
Rotom Frost,199,teammate,10,Mamoswine,,,,,,,,,
Rotom Frost,199,stat_alignment,1,Modest,38.6%,Sp. Atk,Attack,,,,,,
Rotom Frost,199,stat_alignment,2,Timid,32.1%,Speed,Attack,,,,,,
Rotom Frost,199,stat_alignment,3,Bold,13.8%,Defense,Attack,,,,,,
Rotom Frost,199,stat_alignment,4,Calm,7.6%,Sp. Def,Attack,,,,,,
Rotom Frost,199,stat_alignment,5,Quiet,3.8%,Sp. Atk,Speed,,,,,,
Rotom Frost,199,stat_alignment,6,Relaxed,1.5%,Defense,Speed,,,,,,
Rotom Frost,199,stat_alignment,7,Mild,1.5%,Sp. Atk,Defense,,,,,,
Rotom Frost,199,stat_alignment,8,Sassy,0.5%,Sp. Def,Speed,,,,,,
Rotom Frost,199,stat_alignment,9,Hasty,0.3%,Speed,Defense,,,,,,
Rotom Frost,199,stat_alignment,10,Naive,0.1%,Speed,Sp. Def,,,,,,
Rotom Frost,199,stat_points,1,,31.4%,,,2,0,0,32,0,32
Rotom Frost,199,stat_points,2,,5.7%,,,0,0,2,32,0,32
Rotom Frost,199,stat_points,3,,5.5%,,,32,0,0,32,0,2
Rotom Frost,199,stat_points,4,,3.8%,,,0,0,0,32,2,32
Rotom Frost,199,stat_points,5,,3.3%,,,32,0,0,32,2,0
Rotom Frost,199,stat_points,6,,2.2%,,,32,0,32,0,2,0
Rotom Frost,199,stat_points,7,,1.9%,,,0,0,32,32,0,2
Rotom Frost,199,stat_points,8,,1.7%,,,32,0,0,0,32,2
Rotom Frost,199,ability,1,Levitate,100.0%,,,,,,,,
