pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Annihilape,38,move,1,Protect,76.5%,,,,,,,,
Annihilape,38,move,2,Rage Fist,68.9%,,,,,,,,
Annihilape,38,move,3,Drain Punch,58.0%,,,,,,,,
Annihilape,38,move,4,Close Combat,39.1%,,,,,,,,
Annihilape,38,move,5,Bulk Up,38.9%,,,,,,,,
Annihilape,38,move,6,Phantom Force,27.1%,,,,,,,,
Annihilape,38,move,7,Rock Tomb,20.2%,,,,,,,,
Annihilape,38,move,8,Ice Punch,13.1%,,,,,,,,
Annihilape,38,move,9,Taunt,10.5%,,,,,,,,
Annihilape,38,move,10,Rock Slide,8.9%,,,,,,,,
Annihilape,38,held_item,1,Leftovers,30.3%,,,,,,,,
Annihilape,38,held_item,2,Focus Sash,25.9%,,,,,,,,
Annihilape,38,held_item,3,Sitrus Berry,15.8%,,,,,,,,
Annihilape,38,held_item,4,Choice Scarf,9.2%,,,,,,,,
Annihilape,38,held_item,5,Life Orb,4.7%,,,,,,,,
Annihilape,38,held_item,6,Expert Belt,2.1%,,,,,,,,
Annihilape,38,held_item,7,Roseli Berry,2.0%,,,,,,,,
Annihilape,38,held_item,8,Lum Berry,1.7%,,,,,,,,
Annihilape,38,held_item,9,Spell Tag,0.9%,,,,,,,,
Annihilape,38,held_item,10,Muscle Band,0.9%,,,,,,,,
Annihilape,38,teammate,1,Incineroar,,,,,,,,,
Annihilape,38,teammate,2,Charizard,,,,,,,,,
Annihilape,38,teammate,3,Garchomp,,,,,,,,,
Annihilape,38,teammate,4,Venusaur,,,,,,,,,
Annihilape,38,teammate,5,Toxapex,,,,,,,,,
Annihilape,38,teammate,6,Sinistcha,,,,,,,,,
Annihilape,38,teammate,7,Maushold Family of Four,,,,,,,,,
Annihilape,38,teammate,8,Whimsicott,,,,,,,,,
Annihilape,38,teammate,9,Metagross,,,,,,,,,
Annihilape,38,teammate,10,Grimmsnarl,,,,,,,,,
Annihilape,38,stat_alignment,1,Adamant,51.4%,Attack,Sp. Atk,,,,,,
Annihilape,38,stat_alignment,2,Jolly,34.7%,Speed,Sp. Atk,,,,,,
Annihilape,38,stat_alignment,3,Careful,7.1%,Sp. Def,Sp. Atk,,,,,,
Annihilape,38,stat_alignment,4,Brave,2.7%,Attack,Speed,,,,,,
Annihilape,38,stat_alignment,5,Impish,2.1%,Defense,Sp. Atk,,,,,,
Annihilape,38,stat_alignment,6,Lonely,0.4%,Attack,Defense,,,,,,
Annihilape,38,stat_alignment,7,Naughty,0.3%,Attack,Sp. Def,,,,,,
Annihilape,38,stat_alignment,8,Sassy,0.3%,Sp. Def,Speed,,,,,,
Annihilape,38,stat_alignment,9,Relaxed,0.2%,Defense,Speed,,,,,,
Annihilape,38,stat_alignment,10,Naive,0.2%,Speed,Sp. Def,,,,,,
Annihilape,38,stat_points,1,,17.1%,,,2,32,0,0,0,32
Annihilape,38,stat_points,2,,13.9%,,,0,32,1,0,1,32
Annihilape,38,stat_points,3,,5.0%,,,32,32,2,0,0,0
Annihilape,38,stat_points,4,,3.5%,,,32,32,0,0,0,2
Annihilape,38,stat_points,5,,3.5%,,,0,32,2,0,0,32
Annihilape,38,stat_points,6,,1.4%,,,32,0,2,0,32,0
Annihilape,38,stat_points,7,,1.3%,,,23,15,15,0,10,3
Annihilape,38,stat_points,8,,1.2%,,,6,32,0,0,0,28
Annihilape,38,ability,1,Defiant,97.2%,,,,,,,,
Annihilape,38,ability,2,Inner Focus,2.1%,,,,,,,,
Annihilape,38,ability,3,Vital Spirit,0.7%,,,,,,,,
