pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Arbok,214,move,1,Protect,58.7%,,,,,,,,
Arbok,214,move,2,Gunk Shot,57.9%,,,,,,,,
Arbok,214,move,3,Coil,31.0%,,,,,,,,
Arbok,214,move,4,Glare,29.2%,,,,,,,,
Arbok,214,move,5,Sucker Punch,27.9%,,,,,,,,
Arbok,214,move,6,Toxic Spikes,21.3%,,,,,,,,
Arbok,214,move,7,Dragon Tail,20.9%,,,,,,,,
Arbok,214,move,8,Ice Fang,17.8%,,,,,,,,
Arbok,214,move,9,Psychic Fangs,15.1%,,,,,,,,
Arbok,214,move,10,Toxic,12.7%,,,,,,,,
Arbok,214,held_item,1,Leftovers,26.8%,,,,,,,,
Arbok,214,held_item,2,Sitrus Berry,18.5%,,,,,,,,
Arbok,214,held_item,3,Shuca Berry,10.6%,,,,,,,,
Arbok,214,held_item,4,Life Orb,9.9%,,,,,,,,
Arbok,214,held_item,5,Poison Barb,8.7%,,,,,,,,
Arbok,214,held_item,6,Wide Lens,7.2%,,,,,,,,
Arbok,214,held_item,7,Choice Scarf,6.9%,,,,,,,,
Arbok,214,held_item,8,Quick Claw,4.2%,,,,,,,,
Arbok,214,held_item,9,Focus Sash,2.3%,,,,,,,,
Arbok,214,held_item,10,Bright Powder,1.8%,,,,,,,,
Arbok,214,teammate,1,Pidgeot,,,,,,,,,
Arbok,214,teammate,2,Beedrill,,,,,,,,,
Arbok,214,teammate,3,Hisuian Arcanine,,,,,,,,,
Arbok,214,teammate,4,Sinistcha,,,,,,,,,
Arbok,214,teammate,5,Jolteon,,,,,,,,,
Arbok,214,teammate,6,Milotic,,,,,,,,,
Arbok,214,teammate,7,Raichu,,,,,,,,,
Arbok,214,teammate,8,Incineroar,,,,,,,,,
Arbok,214,teammate,9,Garchomp,,,,,,,,,
Arbok,214,teammate,10,Charizard,,,,,,,,,
Arbok,214,stat_alignment,1,Adamant,34.5%,Attack,Sp. Atk,,,,,,
Arbok,214,stat_alignment,2,Jolly,23.0%,Speed,Sp. Atk,,,,,,
Arbok,214,stat_alignment,3,Impish,22.7%,Defense,Sp. Atk,,,,,,
Arbok,214,stat_alignment,4,Careful,12.8%,Sp. Def,Sp. Atk,,,,,,
Arbok,214,stat_alignment,5,Sassy,2.5%,Sp. Def,Speed,,,,,,
Arbok,214,stat_alignment,6,Bold,1.6%,Defense,Attack,,,,,,
Arbok,214,stat_alignment,7,Lonely,1.0%,Attack,Defense,,,,,,
Arbok,214,stat_alignment,8,Brave,0.5%,Attack,Speed,,,,,,
Arbok,214,stat_alignment,9,Modest,0.3%,Sp. Atk,Attack,,,,,,
Arbok,214,stat_alignment,10,Naive,0.3%,Speed,Sp. Def,,,,,,
Arbok,214,stat_points,1,,20.4%,,,2,32,0,0,0,32
Arbok,214,stat_points,2,,16.3%,,,32,0,17,0,17,0
Arbok,214,stat_points,3,,6.2%,,,32,2,0,0,0,32
Arbok,214,stat_points,4,,5.8%,,,0,32,2,0,0,32
Arbok,214,stat_points,5,,2.8%,,,32,0,21,0,13,0
Arbok,214,stat_points,6,,2.3%,,,32,0,2,0,32,0
Arbok,214,stat_points,7,,2.2%,,,32,2,0,0,32,0
Arbok,214,stat_points,8,,1.9%,,,0,32,0,0,2,32
Arbok,214,ability,1,Intimidate,93.2%,,,,,,,,
Arbok,214,ability,2,Shed Skin,3.5%,,,,,,,,
Arbok,214,ability,3,Unnerve,3.4%,,,,,,,,
