pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Simisear,224,move,1,Fake Out,85.6%,,,,,,,,
Simisear,224,move,2,Protect,35.4%,,,,,,,,
Simisear,224,move,3,Flamethrower,32.2%,,,,,,,,
Simisear,224,move,4,Rock Slide,29.5%,,,,,,,,
Simisear,224,move,5,Heat Wave,29.2%,,,,,,,,
Simisear,224,move,6,Taunt,28.4%,,,,,,,,
Simisear,224,move,7,Grass Knot,17.9%,,,,,,,,
Simisear,224,move,8,Scorching Sands,16.6%,,,,,,,,
Simisear,224,move,9,Helping Hand,14.8%,,,,,,,,
Simisear,224,move,10,Brick Break,14.5%,,,,,,,,
Simisear,224,held_item,1,Focus Sash,28.4%,,,,,,,,
Simisear,224,held_item,2,Charcoal,15.2%,,,,,,,,
Simisear,224,held_item,3,Life Orb,13.3%,,,,,,,,
Simisear,224,held_item,4,Sitrus Berry,10.4%,,,,,,,,
Simisear,224,held_item,5,Metronome,7.6%,,,,,,,,
Simisear,224,held_item,6,Bright Powder,7.1%,,,,,,,,
Simisear,224,held_item,7,Wise Glasses,5.0%,,,,,,,,
Simisear,224,held_item,8,King's Rock,3.4%,,,,,,,,
Simisear,224,held_item,9,Shuca Berry,1.9%,,,,,,,,
Simisear,224,held_item,10,Wide Lens,1.5%,,,,,,,,
Simisear,224,teammate,1,Simipour,,,,,,,,,
Simisear,224,teammate,2,Garchomp,,,,,,,,,
Simisear,224,teammate,3,Simisage,,,,,,,,,
Simisear,224,teammate,4,Swampert,,,,,,,,,
Simisear,224,teammate,5,Torkoal,,,,,,,,,
Simisear,224,teammate,6,Kingambit,,,,,,,,,
Simisear,224,teammate,7,Sylveon,,,,,,,,,
Simisear,224,teammate,8,Sinistcha,,,,,,,,,
Simisear,224,teammate,9,Gallade,,,,,,,,,
Simisear,224,teammate,10,Aerodactyl,,,,,,,,,
Simisear,224,stat_alignment,1,Timid,25.6%,Speed,Attack,,,,,,
Simisear,224,stat_alignment,2,Jolly,25.0%,Speed,Sp. Atk,,,,,,
Simisear,224,stat_alignment,3,Modest,23.3%,Sp. Atk,Attack,,,,,,
Simisear,224,stat_alignment,4,Naive,5.1%,Speed,Sp. Def,,,,,,
Simisear,224,stat_alignment,5,Brave,4.6%,Attack,Speed,,,,,,
Simisear,224,stat_alignment,6,Rash,4.5%,Sp. Atk,Sp. Def,,,,,,
Simisear,224,stat_alignment,7,Quiet,4.4%,Sp. Atk,Speed,,,,,,
Simisear,224,stat_alignment,8,Hasty,3.6%,Speed,Defense,,,,,,
Simisear,224,stat_alignment,9,Adamant,2.4%,Attack,Sp. Atk,,,,,,
Simisear,224,stat_alignment,10,Impish,0.5%,Defense,Sp. Atk,,,,,,
Simisear,224,stat_points,1,,19.0%,,,2,0,0,32,0,32
Simisear,224,stat_points,2,,16.0%,,,2,32,0,0,0,32
Simisear,224,stat_points,3,,9.4%,,,0,0,2,32,0,32
Simisear,224,stat_points,4,,7.3%,,,0,0,0,32,32,2
Simisear,224,stat_points,5,,6.8%,,,0,2,0,32,0,32
Simisear,224,stat_points,6,,4.6%,,,9,32,25,0,0,0
Simisear,224,stat_points,7,,4.3%,,,0,0,2,32,32,0
Simisear,224,stat_points,8,,3.4%,,,1,0,1,32,0,32
Simisear,224,ability,1,Blaze,78.7%,,,,,,,,
Simisear,224,ability,2,Gluttony,21.3%,,,,,,,,
