pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Talonflame,34,move,1,Tailwind,97.0%,,,,,,,,
Talonflame,34,move,2,Flare Blitz,55.0%,,,,,,,,
Talonflame,34,move,3,Protect,54.0%,,,,,,,,
Talonflame,34,move,4,Dual Wingbeat,44.2%,,,,,,,,
Talonflame,34,move,5,Brave Bird,35.7%,,,,,,,,
Talonflame,34,move,6,Quick Guard,33.0%,,,,,,,,
Talonflame,34,move,7,Taunt,15.9%,,,,,,,,
Talonflame,34,move,8,Acrobatics,14.9%,,,,,,,,
Talonflame,34,move,9,Will-O-Wisp,10.5%,,,,,,,,
Talonflame,34,move,10,Upper Hand,7.7%,,,,,,,,
Talonflame,34,held_item,1,Sharp Beak,45.1%,,,,,,,,
Talonflame,34,held_item,2,Focus Sash,19.8%,,,,,,,,
Talonflame,34,held_item,3,Life Orb,4.5%,,,,,,,,
Talonflame,34,held_item,4,Expert Belt,4.0%,,,,,,,,
Talonflame,34,held_item,5,Charcoal,3.6%,,,,,,,,
Talonflame,34,held_item,6,Leftovers,1.6%,,,,,,,,
Talonflame,34,held_item,7,Sitrus Berry,1.3%,,,,,,,,
Talonflame,34,held_item,8,Charti Berry,1.2%,,,,,,,,
Talonflame,34,held_item,9,Mental Herb,1.2%,,,,,,,,
Talonflame,34,held_item,10,Bright Powder,0.7%,,,,,,,,
Talonflame,34,teammate,1,Garchomp,,,,,,,,,
Talonflame,34,teammate,2,Basculegion Male,,,,,,,,,
Talonflame,34,teammate,3,Kingambit,,,,,,,,,
Talonflame,34,teammate,4,Gardevoir,,,,,,,,,
Talonflame,34,teammate,5,Maushold Family of Four,,,,,,,,,
Talonflame,34,teammate,6,Raichu,,,,,,,,,
Talonflame,34,teammate,7,Sneasler,,,,,,,,,
Talonflame,34,teammate,8,Sinistcha,,,,,,,,,
Talonflame,34,teammate,9,Alolan Ninetales,,,,,,,,,
Talonflame,34,teammate,10,Metagross,,,,,,,,,
Talonflame,34,stat_alignment,1,Jolly,73.2%,Speed,Sp. Atk,,,,,,
Talonflame,34,stat_alignment,2,Adamant,15.5%,Attack,Sp. Atk,,,,,,
Talonflame,34,stat_alignment,3,Timid,4.2%,Speed,Attack,,,,,,
Talonflame,34,stat_alignment,4,Naive,1.6%,Speed,Sp. Def,,,,,,
Talonflame,34,stat_alignment,5,Hasty,1.2%,Speed,Defense,,,,,,
Talonflame,34,stat_alignment,6,Modest,0.6%,Sp. Atk,Attack,,,,,,
Talonflame,34,stat_alignment,7,Naughty,0.5%,Attack,Sp. Def,,,,,,
Talonflame,34,stat_alignment,8,Lonely,0.4%,Attack,Defense,,,,,,
Talonflame,34,stat_alignment,9,Impish,0.2%,Defense,Sp. Atk,,,,,,
Talonflame,34,stat_alignment,10,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Talonflame,34,stat_points,1,,52.4%,,,2,32,0,0,0,32
Talonflame,34,stat_points,2,,6.4%,,,0,32,0,0,2,32
Talonflame,34,stat_points,3,,4.9%,,,7,32,0,0,0,27
Talonflame,34,stat_points,4,,4.7%,,,0,32,2,0,0,32
Talonflame,34,stat_points,5,,4.0%,,,0,32,1,0,1,32
Talonflame,34,stat_points,6,,1.5%,,,0,27,12,0,0,27
Talonflame,34,stat_points,7,,1.4%,,,2,0,0,32,0,32
Talonflame,34,stat_points,8,,1.1%,,,11,32,0,0,0,23
Talonflame,34,ability,1,Gale Wings,98.9%,,,,,,,,
Talonflame,34,ability,2,Flame Body,1.1%,,,,,,,,
