pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Slowking,164,move,1,Scald,63.5%,,,,,,,,
Slowking,164,move,2,Chilly Reception,58.5%,,,,,,,,
Slowking,164,move,3,Trick Room,38.9%,,,,,,,,
Slowking,164,move,4,Yawn,32.7%,,,,,,,,
Slowking,164,move,5,Slack Off,29.7%,,,,,,,,
Slowking,164,move,6,Ice Beam,25.5%,,,,,,,,
Slowking,164,move,7,Psychic,24.8%,,,,,,,,
Slowking,164,move,8,Surf,18.9%,,,,,,,,
Slowking,164,move,9,Flamethrower,14.9%,,,,,,,,
Slowking,164,move,10,Psychic Noise,10.4%,,,,,,,,
Slowking,164,held_item,1,Sitrus Berry,36.4%,,,,,,,,
Slowking,164,held_item,2,Leftovers,26.0%,,,,,,,,
Slowking,164,held_item,3,Lum Berry,4.2%,,,,,,,,
Slowking,164,held_item,4,Expert Belt,3.9%,,,,,,,,
Slowking,164,held_item,5,Focus Sash,3.7%,,,,,,,,
Slowking,164,held_item,6,Life Orb,2.8%,,,,,,,,
Slowking,164,held_item,7,Bright Powder,2.6%,,,,,,,,
Slowking,164,held_item,8,Icy Rock,2.5%,,,,,,,,
Slowking,164,held_item,9,Light Clay,2.4%,,,,,,,,
Slowking,164,held_item,10,Quick Claw,2.4%,,,,,,,,
Slowking,164,teammate,1,Garchomp,,,,,,,,,
Slowking,164,teammate,2,Meowscarada,,,,,,,,,
Slowking,164,teammate,3,Mawile,,,,,,,,,
Slowking,164,teammate,4,Mimikyu,,,,,,,,,
Slowking,164,teammate,5,Crabominable,,,,,,,,,
Slowking,164,teammate,6,Dragalge,,,,,,,,,
Slowking,164,teammate,7,Corviknight,,,,,,,,,
Slowking,164,teammate,8,Raichu,,,,,,,,,
Slowking,164,teammate,9,Lopunny,,,,,,,,,
Slowking,164,teammate,10,Archaludon,,,,,,,,,
Slowking,164,stat_alignment,1,Calm,30.4%,Sp. Def,Attack,,,,,,
Slowking,164,stat_alignment,2,Bold,22.1%,Defense,Attack,,,,,,
Slowking,164,stat_alignment,3,Relaxed,13.9%,Defense,Speed,,,,,,
Slowking,164,stat_alignment,4,Quiet,11.4%,Sp. Atk,Speed,,,,,,
Slowking,164,stat_alignment,5,Modest,10.3%,Sp. Atk,Attack,,,,,,
Slowking,164,stat_alignment,6,Sassy,10.3%,Sp. Def,Speed,,,,,,
Slowking,164,stat_alignment,7,Mild,0.6%,Sp. Atk,Defense,,,,,,
Slowking,164,stat_alignment,8,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Slowking,164,stat_alignment,9,Gentle,0.2%,Sp. Def,Defense,,,,,,
Slowking,164,stat_alignment,10,Timid,0.2%,Speed,Attack,,,,,,
Slowking,164,stat_points,1,,15.8%,,,32,0,2,0,32,0
Slowking,164,stat_points,2,,13.9%,,,32,0,32,0,2,0
Slowking,164,stat_points,3,,4.6%,,,32,0,0,32,2,0
Slowking,164,stat_points,4,,3.9%,,,32,0,0,2,32,0
Slowking,164,stat_points,5,,3.4%,,,31,0,32,0,3,0
Slowking,164,stat_points,6,,2.2%,,,32,0,32,0,0,0
Slowking,164,stat_points,7,,2.2%,,,2,0,32,32,0,0
Slowking,164,stat_points,8,,2.1%,,,0,0,2,32,32,0
Slowking,164,ability,1,Regenerator,90.2%,,,,,,,,
Slowking,164,ability,2,Oblivious,8.3%,,,,,,,,
Slowking,164,ability,3,Own Tempo,1.4%,,,,,,,,
