pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Conkeldurr,96,move,1,Mach Punch,95.2%,,,,,,,,
Conkeldurr,96,move,2,Drain Punch,82.7%,,,,,,,,
Conkeldurr,96,move,3,Ice Punch,79.7%,,,,,,,,
Conkeldurr,96,move,4,Thunder Punch,49.9%,,,,,,,,
Conkeldurr,96,move,5,Knock Off,30.7%,,,,,,,,
Conkeldurr,96,move,6,Earthquake,14.4%,,,,,,,,
Conkeldurr,96,move,7,Fire Punch,10.3%,,,,,,,,
Conkeldurr,96,move,8,Close Combat,8.1%,,,,,,,,
Conkeldurr,96,move,9,Poison Jab,6.0%,,,,,,,,
Conkeldurr,96,move,10,Bulk Up,5.9%,,,,,,,,
Conkeldurr,96,held_item,1,Life Orb,43.6%,,,,,,,,
Conkeldurr,96,held_item,2,Black Belt,15.2%,,,,,,,,
Conkeldurr,96,held_item,3,Sitrus Berry,14.1%,,,,,,,,
Conkeldurr,96,held_item,4,Expert Belt,10.7%,,,,,,,,
Conkeldurr,96,held_item,5,Focus Sash,4.7%,,,,,,,,
Conkeldurr,96,held_item,6,Lum Berry,2.1%,,,,,,,,
Conkeldurr,96,held_item,7,Leftovers,2.0%,,,,,,,,
Conkeldurr,96,held_item,8,Muscle Band,1.8%,,,,,,,,
Conkeldurr,96,held_item,9,Quick Claw,1.7%,,,,,,,,
Conkeldurr,96,held_item,10,Scope Lens,0.5%,,,,,,,,
Conkeldurr,96,teammate,1,Garchomp,,,,,,,,,
Conkeldurr,96,teammate,2,Archaludon,,,,,,,,,
Conkeldurr,96,teammate,3,Metagross,,,,,,,,,
Conkeldurr,96,teammate,4,Starmie,,,,,,,,,
Conkeldurr,96,teammate,5,Meowscarada,,,,,,,,,
Conkeldurr,96,teammate,6,Delphox,,,,,,,,,
Conkeldurr,96,teammate,7,Gyarados,,,,,,,,,
Conkeldurr,96,teammate,8,Volcarona,,,,,,,,,
Conkeldurr,96,teammate,9,Hydreigon,,,,,,,,,
Conkeldurr,96,teammate,10,Mimikyu,,,,,,,,,
Conkeldurr,96,stat_alignment,1,Adamant,86.5%,Attack,Sp. Atk,,,,,,
Conkeldurr,96,stat_alignment,2,Brave,8.8%,Attack,Speed,,,,,,
Conkeldurr,96,stat_alignment,3,Careful,1.4%,Sp. Def,Sp. Atk,,,,,,
Conkeldurr,96,stat_alignment,4,Impish,1.4%,Defense,Sp. Atk,,,,,,
Conkeldurr,96,stat_alignment,5,Jolly,0.7%,Speed,Sp. Atk,,,,,,
Conkeldurr,96,stat_alignment,6,Naughty,0.3%,Attack,Sp. Def,,,,,,
Conkeldurr,96,stat_alignment,7,Relaxed,0.2%,Defense,Speed,,,,,,
Conkeldurr,96,stat_alignment,8,Sassy,0.2%,Sp. Def,Speed,,,,,,
Conkeldurr,96,stat_alignment,9,Lonely,0.1%,Attack,Defense,,,,,,
Conkeldurr,96,stat_alignment,10,Lax,0.1%,Defense,Sp. Def,,,,,,
Conkeldurr,96,stat_points,1,,21.3%,,,32,32,2,0,0,0
Conkeldurr,96,stat_points,2,,10.4%,,,32,32,0,0,2,0
Conkeldurr,96,stat_points,3,,6.0%,,,32,22,0,0,12,0
Conkeldurr,96,stat_points,4,,3.4%,,,2,32,0,0,0,32
Conkeldurr,96,stat_points,5,,3.3%,,,1,32,1,0,32,0
Conkeldurr,96,stat_points,6,,2.5%,,,0,32,2,0,32,0
Conkeldurr,96,stat_points,7,,2.2%,,,32,32,0,0,0,2
Conkeldurr,96,stat_points,8,,1.7%,,,29,32,2,0,0,3
Conkeldurr,96,ability,1,Iron Fist,74.3%,,,,,,,,
Conkeldurr,96,ability,2,Sheer Force,13.2%,,,,,,,,
Conkeldurr,96,ability,3,Guts,12.5%,,,,,,,,
