pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Leafeon,187,move,1,Leaf Blade,69.1%,,,,,,,,
Leafeon,187,move,2,Knock Off,61.0%,,,,,,,,
Leafeon,187,move,3,Solar Blade,58.4%,,,,,,,,
Leafeon,187,move,4,Protect,38.8%,,,,,,,,
Leafeon,187,move,5,Detect,36.5%,,,,,,,,
Leafeon,187,move,6,X-Scissor,19.7%,,,,,,,,
Leafeon,187,move,7,Swords Dance,14.8%,,,,,,,,
Leafeon,187,move,8,Sunny Day,11.9%,,,,,,,,
Leafeon,187,move,9,Synthesis,9.3%,,,,,,,,
Leafeon,187,move,10,Quick Attack,9.0%,,,,,,,,
Leafeon,187,held_item,1,Miracle Seed,28.2%,,,,,,,,
Leafeon,187,held_item,2,Life Orb,21.6%,,,,,,,,
Leafeon,187,held_item,3,Focus Sash,11.1%,,,,,,,,
Leafeon,187,held_item,4,Scope Lens,7.6%,,,,,,,,
Leafeon,187,held_item,5,Sitrus Berry,6.2%,,,,,,,,
Leafeon,187,held_item,6,Leftovers,4.5%,,,,,,,,
Leafeon,187,held_item,7,Occa Berry,4.2%,,,,,,,,
Leafeon,187,held_item,8,Muscle Band,2.3%,,,,,,,,
Leafeon,187,held_item,9,Expert Belt,2.2%,,,,,,,,
Leafeon,187,held_item,10,Bright Powder,1.8%,,,,,,,,
Leafeon,187,teammate,1,Charizard,,,,,,,,,
Leafeon,187,teammate,2,Whimsicott,,,,,,,,,
Leafeon,187,teammate,3,Sylveon,,,,,,,,,
Leafeon,187,teammate,4,Garchomp,,,,,,,,,
Leafeon,187,teammate,5,Ninetales,,,,,,,,,
Leafeon,187,teammate,6,Torkoal,,,,,,,,,
Leafeon,187,teammate,7,Sneasler,,,,,,,,,
Leafeon,187,teammate,8,Umbreon,,,,,,,,,
Leafeon,187,teammate,9,Espeon,,,,,,,,,
Leafeon,187,teammate,10,Jolteon,,,,,,,,,
Leafeon,187,stat_alignment,1,Adamant,64.2%,Attack,Sp. Atk,,,,,,
Leafeon,187,stat_alignment,2,Jolly,20.3%,Speed,Sp. Atk,,,,,,
Leafeon,187,stat_alignment,3,Careful,6.1%,Sp. Def,Sp. Atk,,,,,,
Leafeon,187,stat_alignment,4,Impish,3.1%,Defense,Sp. Atk,,,,,,
Leafeon,187,stat_alignment,5,Serious,1.6%,,,,,,,,
Leafeon,187,stat_alignment,6,Brave,1.1%,Attack,Speed,,,,,,
Leafeon,187,stat_alignment,7,Naughty,1.0%,Attack,Sp. Def,,,,,,
Leafeon,187,stat_alignment,8,Relaxed,0.5%,Defense,Speed,,,,,,
Leafeon,187,stat_alignment,9,Lonely,0.4%,Attack,Defense,,,,,,
Leafeon,187,stat_alignment,10,Naive,0.3%,Speed,Sp. Def,,,,,,
Leafeon,187,stat_points,1,,23.7%,,,2,32,0,0,0,32
Leafeon,187,stat_points,2,,7.3%,,,0,32,2,0,0,32
Leafeon,187,stat_points,3,,6.7%,,,32,32,0,0,0,2
Leafeon,187,stat_points,4,,6.2%,,,2,32,0,0,32,0
Leafeon,187,stat_points,5,,4.5%,,,0,32,0,0,2,32
Leafeon,187,stat_points,6,,2.1%,,,0,32,32,0,0,2
Leafeon,187,stat_points,7,,1.6%,,,2,32,32,0,0,0
Leafeon,187,stat_points,8,,1.6%,,,0,32,32,0,2,0
Leafeon,187,ability,1,Chlorophyll,96.2%,,,,,,,,
Leafeon,187,ability,2,Leaf Guard,3.8%,,,,,,,,
