pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Dedenne,209,move,1,Nuzzle,82.4%,,,,,,,,
Dedenne,209,move,2,Super Fang,62.3%,,,,,,,,
Dedenne,209,move,3,Dazzling Gleam,46.1%,,,,,,,,
Dedenne,209,move,4,Charm,42.1%,,,,,,,,
Dedenne,209,move,5,Volt Switch,26.1%,,,,,,,,
Dedenne,209,move,6,Eerie Impulse,22.2%,,,,,,,,
Dedenne,209,move,7,Thunderbolt,18.5%,,,,,,,,
Dedenne,209,move,8,Endeavor,16.3%,,,,,,,,
Dedenne,209,move,9,Grass Knot,11.7%,,,,,,,,
Dedenne,209,move,10,Parabolic Charge,11.3%,,,,,,,,
Dedenne,209,held_item,1,Sitrus Berry,63.2%,,,,,,,,
Dedenne,209,held_item,2,Focus Sash,18.6%,,,,,,,,
Dedenne,209,held_item,3,Shuca Berry,6.9%,,,,,,,,
Dedenne,209,held_item,4,Choice Scarf,2.7%,,,,,,,,
Dedenne,209,held_item,5,Life Orb,1.3%,,,,,,,,
Dedenne,209,held_item,6,Lum Berry,0.8%,,,,,,,,
Dedenne,209,held_item,7,Staraptite,0.7%,,,,,,,,
Dedenne,209,held_item,8,Quick Claw,0.7%,,,,,,,,
Dedenne,209,held_item,9,Magnet,0.5%,,,,,,,,
Dedenne,209,held_item,10,Leftovers,0.4%,,,,,,,,
Dedenne,209,teammate,1,Mimikyu,,,,,,,,,
Dedenne,209,teammate,2,Garchomp,,,,,,,,,
Dedenne,209,teammate,3,Raichu,,,,,,,,,
Dedenne,209,teammate,4,Meowscarada,,,,,,,,,
Dedenne,209,teammate,5,Gyarados,,,,,,,,,
Dedenne,209,teammate,6,Delphox,,,,,,,,,
Dedenne,209,teammate,7,Morpeko,,,,,,,,,
Dedenne,209,teammate,8,Basculegion Male,,,,,,,,,
Dedenne,209,teammate,9,Emolga,,,,,,,,,
Dedenne,209,teammate,10,Maushold Family of Four,,,,,,,,,
Dedenne,209,stat_alignment,1,Bold,31.8%,Defense,Attack,,,,,,
Dedenne,209,stat_alignment,2,Timid,31.4%,Speed,Attack,,,,,,
Dedenne,209,stat_alignment,3,Modest,11.6%,Sp. Atk,Attack,,,,,,
Dedenne,209,stat_alignment,4,Impish,7.2%,Defense,Sp. Atk,,,,,,
Dedenne,209,stat_alignment,5,Calm,6.2%,Sp. Def,Attack,,,,,,
Dedenne,209,stat_alignment,6,Jolly,3.9%,Speed,Sp. Atk,,,,,,
Dedenne,209,stat_alignment,7,Naive,1.5%,Speed,Sp. Def,,,,,,
Dedenne,209,stat_alignment,8,Hasty,1.5%,Speed,Defense,,,,,,
Dedenne,209,stat_alignment,9,Careful,0.8%,Sp. Def,Sp. Atk,,,,,,
Dedenne,209,stat_alignment,10,Sassy,0.5%,Sp. Def,Speed,,,,,,
Dedenne,209,stat_points,1,,13.0%,,,2,0,0,32,0,32
Dedenne,209,stat_points,2,,12.1%,,,32,0,32,0,2,0
Dedenne,209,stat_points,3,,8.0%,,,32,0,32,0,0,2
Dedenne,209,stat_points,4,,4.6%,,,32,0,2,0,0,32
Dedenne,209,stat_points,5,,3.7%,,,0,0,2,32,0,32
Dedenne,209,stat_points,6,,2.5%,,,0,0,0,32,2,32
Dedenne,209,stat_points,7,,2.3%,,,1,0,0,32,1,32
Dedenne,209,stat_points,8,,2.2%,,,32,0,0,2,0,32
Dedenne,209,ability,1,Cheek Pouch,79.9%,,,,,,,,
Dedenne,209,ability,2,Pickup,18.5%,,,,,,,,
Dedenne,209,ability,3,Plus,1.6%,,,,,,,,
