pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Luxray,204,move,1,Supercell Slam,67.8%,,,,,,,,
Luxray,204,move,2,Ice Fang,65.3%,,,,,,,,
Luxray,204,move,3,Volt Switch,46.0%,,,,,,,,
Luxray,204,move,4,Psychic Fangs,33.2%,,,,,,,,
Luxray,204,move,5,Superpower,27.5%,,,,,,,,
Luxray,204,move,6,Baby-Doll Eyes,21.1%,,,,,,,,
Luxray,204,move,7,Wild Charge,17.4%,,,,,,,,
Luxray,204,move,8,Quick Attack,15.9%,,,,,,,,
Luxray,204,move,9,Thunder Wave,14.8%,,,,,,,,
Luxray,204,move,10,Play Rough,13.5%,,,,,,,,
Luxray,204,held_item,1,Sitrus Berry,30.3%,,,,,,,,
Luxray,204,held_item,2,Shuca Berry,17.3%,,,,,,,,
Luxray,204,held_item,3,Choice Scarf,12.0%,,,,,,,,
Luxray,204,held_item,4,Life Orb,10.7%,,,,,,,,
Luxray,204,held_item,5,Leftovers,4.9%,,,,,,,,
Luxray,204,held_item,6,Magnet,4.5%,,,,,,,,
Luxray,204,held_item,7,Quick Claw,3.8%,,,,,,,,
Luxray,204,held_item,8,Focus Sash,3.7%,,,,,,,,
Luxray,204,held_item,9,Expert Belt,3.4%,,,,,,,,
Luxray,204,held_item,10,Wide Lens,2.0%,,,,,,,,
Luxray,204,teammate,1,Garchomp,,,,,,,,,
Luxray,204,teammate,2,Staraptor,,,,,,,,,
Luxray,204,teammate,3,Dragonite,,,,,,,,,
Luxray,204,teammate,4,Meowscarada,,,,,,,,,
Luxray,204,teammate,5,Blaziken,,,,,,,,,
Luxray,204,teammate,6,Charizard,,,,,,,,,
Luxray,204,teammate,7,Metagross,,,,,,,,,
Luxray,204,teammate,8,Greninja,,,,,,,,,
Luxray,204,teammate,9,Gyarados,,,,,,,,,
Luxray,204,teammate,10,Delphox,,,,,,,,,
Luxray,204,stat_alignment,1,Adamant,43.7%,Attack,Sp. Atk,,,,,,
Luxray,204,stat_alignment,2,Impish,17.9%,Defense,Sp. Atk,,,,,,
Luxray,204,stat_alignment,3,Jolly,12.5%,Speed,Sp. Atk,,,,,,
Luxray,204,stat_alignment,4,Relaxed,3.7%,Defense,Speed,,,,,,
Luxray,204,stat_alignment,5,Sassy,2.8%,Sp. Def,Speed,,,,,,
Luxray,204,stat_alignment,6,Lonely,2.8%,Attack,Defense,,,,,,
Luxray,204,stat_alignment,7,Brave,2.6%,Attack,Speed,,,,,,
Luxray,204,stat_alignment,8,Bold,2.4%,Defense,Attack,,,,,,
Luxray,204,stat_alignment,9,Calm,2.3%,Sp. Def,Attack,,,,,,
Luxray,204,stat_alignment,10,Naughty,2.1%,Attack,Sp. Def,,,,,,
Luxray,204,stat_points,1,,13.5%,,,32,0,32,0,2,0
Luxray,204,stat_points,2,,12.4%,,,2,32,0,0,0,32
Luxray,204,stat_points,3,,6.4%,,,32,32,2,0,0,0
Luxray,204,stat_points,4,,6.2%,,,32,32,1,0,1,0
Luxray,204,stat_points,5,,4.3%,,,32,32,0,0,2,0
Luxray,204,stat_points,6,,3.0%,,,0,32,2,0,0,32
Luxray,204,stat_points,7,,3.0%,,,32,2,32,0,0,0
Luxray,204,stat_points,8,,2.9%,,,0,32,1,0,1,32
Luxray,204,ability,1,Intimidate,89.6%,,,,,,,,
Luxray,204,ability,2,Guts,8.6%,,,,,,,,
Luxray,204,ability,3,Rivalry,1.8%,,,,,,,,
