pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Watchog,235,move,1,Super Fang,55.9%,,,,,,,,
Watchog,235,move,2,Ice Punch,42.8%,,,,,,,,
Watchog,235,move,3,Hypnosis,40.9%,,,,,,,,
Watchog,235,move,4,Giga Impact,38.2%,,,,,,,,
Watchog,235,move,5,Double-Edge,25.1%,,,,,,,,
Watchog,235,move,6,Thunder Wave,21.1%,,,,,,,,
Watchog,235,move,7,Crunch,20.4%,,,,,,,,
Watchog,235,move,8,Swords Dance,15.9%,,,,,,,,
Watchog,235,move,9,Gunk Shot,15.0%,,,,,,,,
Watchog,235,move,10,Stomping Tantrum,13.9%,,,,,,,,
Watchog,235,held_item,1,Focus Sash,33.7%,,,,,,,,
Watchog,235,held_item,2,Zoom Lens,19.4%,,,,,,,,
Watchog,235,held_item,3,Life Orb,8.3%,,,,,,,,
Watchog,235,held_item,4,Silk Scarf,6.5%,,,,,,,,
Watchog,235,held_item,5,Sitrus Berry,6.0%,,,,,,,,
Watchog,235,held_item,6,Iron Ball,4.9%,,,,,,,,
Watchog,235,held_item,7,Heat Rock,4.0%,,,,,,,,
Watchog,235,held_item,8,Chople Berry,2.7%,,,,,,,,
Watchog,235,held_item,9,Light Ball,2.7%,,,,,,,,
Watchog,235,held_item,10,Poison Barb,2.0%,,,,,,,,
Watchog,235,teammate,1,Mimikyu,,,,,,,,,
Watchog,235,teammate,2,Garchomp,,,,,,,,,
Watchog,235,teammate,3,Raichu,,,,,,,,,
Watchog,235,teammate,4,Hydreigon,,,,,,,,,
Watchog,235,teammate,5,Scizor,,,,,,,,,
Watchog,235,teammate,6,Maushold Family of Four,,,,,,,,,
Watchog,235,teammate,7,Simisage,,,,,,,,,
Watchog,235,teammate,8,Gyarados,,,,,,,,,
Watchog,235,teammate,9,Basculegion Male,,,,,,,,,
Watchog,235,teammate,10,Reuniclus,,,,,,,,,
Watchog,235,stat_alignment,1,Adamant,33.3%,Attack,Sp. Atk,,,,,,
Watchog,235,stat_alignment,2,Brave,31.7%,Attack,Speed,,,,,,
Watchog,235,stat_alignment,3,Impish,11.8%,Defense,Sp. Atk,,,,,,
Watchog,235,stat_alignment,4,Jolly,11.1%,Speed,Sp. Atk,,,,,,
Watchog,235,stat_alignment,5,Timid,4.1%,Speed,Attack,,,,,,
Watchog,235,stat_alignment,6,Bold,2.4%,Defense,Attack,,,,,,
Watchog,235,stat_alignment,7,Careful,1.4%,Sp. Def,Sp. Atk,,,,,,
Watchog,235,stat_alignment,8,Modest,0.9%,Sp. Atk,Attack,,,,,,
Watchog,235,stat_alignment,9,Relaxed,0.8%,Defense,Speed,,,,,,
Watchog,235,stat_alignment,10,Calm,0.6%,Sp. Def,Attack,,,,,,
Watchog,235,stat_points,1,,14.9%,,,32,32,2,0,0,0
Watchog,235,stat_points,2,,10.0%,,,2,32,0,0,0,32
Watchog,235,stat_points,3,,9.1%,,,32,32,0,0,2,0
Watchog,235,stat_points,4,,8.4%,,,32,32,1,0,1,0
Watchog,235,stat_points,5,,5.3%,,,2,32,32,0,0,0
Watchog,235,stat_points,6,,3.7%,,,0,26,16,0,0,24
Watchog,235,stat_points,7,,2.9%,,,0,32,2,0,0,32
Watchog,235,stat_points,8,,2.6%,,,0,32,0,0,0,32
Watchog,235,ability,1,Analytic,83.2%,,,,,,,,
Watchog,235,ability,2,Illuminate,11.4%,,,,,,,,
Watchog,235,ability,3,Keen Eye,5.4%,,,,,,,,
