pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Delphox,25,move,1,Heat Wave,95.8%,,,,,,,,
Delphox,25,move,2,Protect,94.2%,,,,,,,,
Delphox,25,move,3,Nasty Plot,71.0%,,,,,,,,
Delphox,25,move,4,Psyshock,48.5%,,,,,,,,
Delphox,25,move,5,Psychic,45.7%,,,,,,,,
Delphox,25,move,6,Encore,7.1%,,,,,,,,
Delphox,25,move,7,Dazzling Gleam,6.3%,,,,,,,,
Delphox,25,move,8,Psych Up,3.1%,,,,,,,,
Delphox,25,move,9,Flamethrower,2.8%,,,,,,,,
Delphox,25,move,10,Calm Mind,2.7%,,,,,,,,
Delphox,25,held_item,1,Delphoxite,98.5%,,,,,,,,
Delphox,25,held_item,2,Focus Sash,0.3%,,,,,,,,
Delphox,25,held_item,3,Charcoal,0.2%,,,,,,,,
Delphox,25,held_item,4,Life Orb,0.2%,,,,,,,,
Delphox,25,held_item,5,Choice Scarf,0.1%,,,,,,,,
Delphox,25,held_item,6,Wise Glasses,0.1%,,,,,,,,
Delphox,25,held_item,7,Sitrus Berry,0.1%,,,,,,,,
Delphox,25,held_item,8,Expert Belt,0.1%,,,,,,,,
Delphox,25,held_item,9,Passho Berry,0.0%,,,,,,,,
Delphox,25,held_item,10,Quick Claw,0.0%,,,,,,,,
Delphox,25,teammate,1,Sneasler,,,,,,,,,
Delphox,25,teammate,2,Sinistcha,,,,,,,,,
Delphox,25,teammate,3,Incineroar,,,,,,,,,
Delphox,25,teammate,4,Kingambit,,,,,,,,,
Delphox,25,teammate,5,Blastoise,,,,,,,,,
Delphox,25,teammate,6,Garchomp,,,,,,,,,
Delphox,25,teammate,7,Maushold Family of Four,,,,,,,,,
Delphox,25,teammate,8,Whimsicott,,,,,,,,,
Delphox,25,teammate,9,Staraptor,,,,,,,,,
Delphox,25,teammate,10,Basculegion Male,,,,,,,,,
Delphox,25,stat_alignment,1,Timid,63.3%,Speed,Attack,,,,,,
Delphox,25,stat_alignment,2,Modest,34.5%,Sp. Atk,Attack,,,,,,
Delphox,25,stat_alignment,3,Bold,0.6%,Defense,Attack,,,,,,
Delphox,25,stat_alignment,4,Mild,0.4%,Sp. Atk,Defense,,,,,,
Delphox,25,stat_alignment,5,Hasty,0.3%,Speed,Defense,,,,,,
Delphox,25,stat_alignment,6,Calm,0.3%,Sp. Def,Attack,,,,,,
Delphox,25,stat_alignment,7,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Delphox,25,stat_alignment,8,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Delphox,25,stat_alignment,9,Relaxed,0.1%,Defense,Speed,,,,,,
Delphox,25,stat_alignment,10,Sassy,0.0%,Sp. Def,Speed,,,,,,
Delphox,25,stat_points,1,,23.4%,,,23,0,11,1,0,31
Delphox,25,stat_points,2,,18.8%,,,2,0,0,32,0,32
Delphox,25,stat_points,3,,4.6%,,,0,0,2,32,0,32
Delphox,25,stat_points,4,,4.0%,,,16,0,21,0,0,29
Delphox,25,stat_points,5,,3.4%,,,0,0,0,32,2,32
Delphox,25,stat_points,6,,1.8%,,,19,0,1,17,0,29
Delphox,25,stat_points,7,,1.7%,,,9,0,23,5,0,29
Delphox,25,stat_points,8,,1.4%,,,9,0,1,26,1,29
Delphox,25,ability,1,Blaze,89.2%,,,,,,,,
Delphox,25,ability,2,Magician,10.8%,,,,,,,,
