pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Fan Rotom,217,move,1,Air Slash,86.5%,,,,,,,,
Fan Rotom,217,move,2,Thunderbolt,57.5%,,,,,,,,
Fan Rotom,217,move,3,Will-O-Wisp,31.8%,,,,,,,,
Fan Rotom,217,move,4,Discharge,31.7%,,,,,,,,
Fan Rotom,217,move,5,Volt Switch,30.6%,,,,,,,,
Fan Rotom,217,move,6,Protect,20.6%,,,,,,,,
Fan Rotom,217,move,7,Light Screen,17.4%,,,,,,,,
Fan Rotom,217,move,8,Shadow Ball,14.6%,,,,,,,,
Fan Rotom,217,move,9,Electroweb,12.5%,,,,,,,,
Fan Rotom,217,move,10,Trick,12.2%,,,,,,,,
Fan Rotom,217,held_item,1,Choice Scarf,33.6%,,,,,,,,
Fan Rotom,217,held_item,2,Sitrus Berry,11.9%,,,,,,,,
Fan Rotom,217,held_item,3,Life Orb,9.2%,,,,,,,,
Fan Rotom,217,held_item,4,Magnet,9.1%,,,,,,,,
Fan Rotom,217,held_item,5,Wide Lens,7.2%,,,,,,,,
Fan Rotom,217,held_item,6,Expert Belt,5.8%,,,,,,,,
Fan Rotom,217,held_item,7,Wise Glasses,5.7%,,,,,,,,
Fan Rotom,217,held_item,8,Quick Claw,5.4%,,,,,,,,
Fan Rotom,217,held_item,9,Light Clay,4.1%,,,,,,,,
Fan Rotom,217,held_item,10,Leftovers,4.1%,,,,,,,,
Fan Rotom,217,teammate,1,Garchomp,,,,,,,,,
Fan Rotom,217,teammate,2,Sinistcha,,,,,,,,,
Fan Rotom,217,teammate,3,Incineroar,,,,,,,,,
Fan Rotom,217,teammate,4,Tyranitar,,,,,,,,,
Fan Rotom,217,teammate,5,Milotic,,,,,,,,,
Fan Rotom,217,teammate,6,Sceptile,,,,,,,,,
Fan Rotom,217,teammate,7,Swampert,,,,,,,,,
Fan Rotom,217,teammate,8,Whimsicott,,,,,,,,,
Fan Rotom,217,teammate,9,Sableye,,,,,,,,,
Fan Rotom,217,teammate,10,Pelipper,,,,,,,,,
Fan Rotom,217,stat_alignment,1,Modest,47.1%,Sp. Atk,Attack,,,,,,
Fan Rotom,217,stat_alignment,2,Timid,23.7%,Speed,Attack,,,,,,
Fan Rotom,217,stat_alignment,3,Quiet,9.1%,Sp. Atk,Speed,,,,,,
Fan Rotom,217,stat_alignment,4,Bold,5.7%,Defense,Attack,,,,,,
Fan Rotom,217,stat_alignment,5,Calm,3.9%,Sp. Def,Attack,,,,,,
Fan Rotom,217,stat_alignment,6,Mild,3.0%,Sp. Atk,Defense,,,,,,
Fan Rotom,217,stat_alignment,7,Hasty,2.1%,Speed,Defense,,,,,,
Fan Rotom,217,stat_alignment,8,Relaxed,1.0%,Defense,Speed,,,,,,
Fan Rotom,217,stat_alignment,9,Naive,0.5%,Speed,Sp. Def,,,,,,
Fan Rotom,217,stat_alignment,10,Sassy,0.2%,Sp. Def,Speed,,,,,,
Fan Rotom,217,stat_points,1,,16.3%,,,2,0,0,32,0,32
Fan Rotom,217,stat_points,2,,10.6%,,,32,0,0,32,2,0
Fan Rotom,217,stat_points,3,,7.8%,,,0,0,2,32,32,0
Fan Rotom,217,stat_points,4,,5.7%,,,0,0,2,32,0,32
Fan Rotom,217,stat_points,5,,5.3%,,,0,0,0,32,2,32
Fan Rotom,217,stat_points,6,,3.7%,,,32,0,0,32,0,2
Fan Rotom,217,stat_points,7,,3.0%,,,32,0,1,0,1,32
Fan Rotom,217,stat_points,8,,2.9%,,,32,0,3,8,23,0
Fan Rotom,217,ability,1,Levitate,100.0%,,,,,,,,
