pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Flapple,219,move,1,Grav Apple,98.2%,,,,,,,,
Flapple,219,move,2,Sucker Punch,80.3%,,,,,,,,
Flapple,219,move,3,Outrage,60.1%,,,,,,,,
Flapple,219,move,4,Dragon Dance,39.0%,,,,,,,,
Flapple,219,move,5,U-turn,30.6%,,,,,,,,
Flapple,219,move,6,Dragon Rush,22.8%,,,,,,,,
Flapple,219,move,7,Dual Wingbeat,9.7%,,,,,,,,
Flapple,219,move,8,Aerial Ace,9.4%,,,,,,,,
Flapple,219,move,9,Leech Seed,7.6%,,,,,,,,
Flapple,219,move,10,Growth,4.9%,,,,,,,,
Flapple,219,held_item,1,Focus Sash,39.5%,,,,,,,,
Flapple,219,held_item,2,Life Orb,18.7%,,,,,,,,
Flapple,219,held_item,3,Choice Scarf,16.6%,,,,,,,,
Flapple,219,held_item,4,Wide Lens,8.8%,,,,,,,,
Flapple,219,held_item,5,Sitrus Berry,7.5%,,,,,,,,
Flapple,219,held_item,6,Miracle Seed,2.7%,,,,,,,,
Flapple,219,held_item,7,Yache Berry,2.2%,,,,,,,,
Flapple,219,held_item,8,Lum Berry,2.0%,,,,,,,,
Flapple,219,held_item,9,White Herb,1.3%,,,,,,,,
Flapple,219,held_item,10,Muscle Band,1.1%,,,,,,,,
Flapple,219,teammate,1,Gengar,,,,,,,,,
Flapple,219,teammate,2,Basculegion Male,,,,,,,,,
Flapple,219,teammate,3,Archaludon,,,,,,,,,
Flapple,219,teammate,4,Raichu,,,,,,,,,
Flapple,219,teammate,5,Appletun,,,,,,,,,
Flapple,219,teammate,6,Starmie,,,,,,,,,
Flapple,219,teammate,7,Mimikyu,,,,,,,,,
Flapple,219,teammate,8,Hydrapple,,,,,,,,,
Flapple,219,teammate,9,Hatterene,,,,,,,,,
Flapple,219,teammate,10,Meowscarada,,,,,,,,,
Flapple,219,stat_alignment,1,Jolly,43.2%,Speed,Sp. Atk,,,,,,
Flapple,219,stat_alignment,2,Adamant,38.7%,Attack,Sp. Atk,,,,,,
Flapple,219,stat_alignment,3,Brave,4.6%,Attack,Speed,,,,,,
Flapple,219,stat_alignment,4,Gentle,4.0%,Sp. Def,Defense,,,,,,
Flapple,219,stat_alignment,5,Lonely,1.8%,Attack,Defense,,,,,,
Flapple,219,stat_alignment,6,Impish,1.3%,Defense,Sp. Atk,,,,,,
Flapple,219,stat_alignment,7,Naive,1.3%,Speed,Sp. Def,,,,,,
Flapple,219,stat_alignment,8,Relaxed,1.0%,Defense,Speed,,,,,,
Flapple,219,stat_alignment,9,Careful,1.0%,Sp. Def,Sp. Atk,,,,,,
Flapple,219,stat_alignment,10,Sassy,0.8%,Sp. Def,Speed,,,,,,
Flapple,219,stat_points,1,,52.1%,,,2,32,0,0,0,32
Flapple,219,stat_points,2,,7.1%,,,0,32,0,0,2,32
Flapple,219,stat_points,3,,6.6%,,,0,32,0,0,0,32
Flapple,219,stat_points,4,,5.8%,,,0,32,2,0,0,32
Flapple,219,stat_points,5,,4.1%,,,0,32,0,0,32,2
Flapple,219,stat_points,6,,1.9%,,,0,10,24,0,32,0
Flapple,219,stat_points,7,,1.4%,,,32,32,0,0,1,1
Flapple,219,stat_points,8,,1.1%,,,32,32,0,0,2,0
Flapple,219,ability,1,Hustle,82.3%,,,,,,,,
Flapple,219,ability,2,Ripen,11.8%,,,,,,,,
Flapple,219,ability,3,Gluttony,5.9%,,,,,,,,
