pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hydrapple,169,move,1,Fickle Beam,86.0%,,,,,,,,
Hydrapple,169,move,2,Earth Power,64.0%,,,,,,,,
Hydrapple,169,move,3,Giga Drain,49.9%,,,,,,,,
Hydrapple,169,move,4,Yawn,31.1%,,,,,,,,
Hydrapple,169,move,5,Leaf Storm,29.1%,,,,,,,,
Hydrapple,169,move,6,Recover,25.7%,,,,,,,,
Hydrapple,169,move,7,Sucker Punch,23.7%,,,,,,,,
Hydrapple,169,move,8,Syrup Bomb,14.6%,,,,,,,,
Hydrapple,169,move,9,Draco Meteor,12.6%,,,,,,,,
Hydrapple,169,move,10,Nasty Plot,11.9%,,,,,,,,
Hydrapple,169,held_item,1,Leftovers,27.9%,,,,,,,,
Hydrapple,169,held_item,2,Yache Berry,13.8%,,,,,,,,
Hydrapple,169,held_item,3,Sitrus Berry,12.3%,,,,,,,,
Hydrapple,169,held_item,4,Life Orb,10.7%,,,,,,,,
Hydrapple,169,held_item,5,Quick Claw,8.7%,,,,,,,,
Hydrapple,169,held_item,6,Focus Sash,7.2%,,,,,,,,
Hydrapple,169,held_item,7,Lum Berry,5.9%,,,,,,,,
Hydrapple,169,held_item,8,Haban Berry,3.2%,,,,,,,,
Hydrapple,169,held_item,9,White Herb,3.1%,,,,,,,,
Hydrapple,169,held_item,10,Expert Belt,2.9%,,,,,,,,
Hydrapple,169,teammate,1,Archaludon,,,,,,,,,
Hydrapple,169,teammate,2,Garchomp,,,,,,,,,
Hydrapple,169,teammate,3,Metagross,,,,,,,,,
Hydrapple,169,teammate,4,Mimikyu,,,,,,,,,
Hydrapple,169,teammate,5,Charizard,,,,,,,,,
Hydrapple,169,teammate,6,Skeledirge,,,,,,,,,
Hydrapple,169,teammate,7,Mawile,,,,,,,,,
Hydrapple,169,teammate,8,Scizor,,,,,,,,,
Hydrapple,169,teammate,9,Primarina,,,,,,,,,
Hydrapple,169,teammate,10,Glimmora,,,,,,,,,
Hydrapple,169,stat_alignment,1,Modest,45.6%,Sp. Atk,Attack,,,,,,
Hydrapple,169,stat_alignment,2,Quiet,23.5%,Sp. Atk,Speed,,,,,,
Hydrapple,169,stat_alignment,3,Bold,13.8%,Defense,Attack,,,,,,
Hydrapple,169,stat_alignment,4,Calm,6.8%,Sp. Def,Attack,,,,,,
Hydrapple,169,stat_alignment,5,Relaxed,3.9%,Defense,Speed,,,,,,
Hydrapple,169,stat_alignment,6,Sassy,2.2%,Sp. Def,Speed,,,,,,
Hydrapple,169,stat_alignment,7,Timid,1.1%,Speed,Attack,,,,,,
Hydrapple,169,stat_alignment,8,Mild,1.0%,Sp. Atk,Defense,,,,,,
Hydrapple,169,stat_alignment,9,Serious,0.1%,Sp. Atk,Defense,,,,,,
Hydrapple,169,stat_alignment,10,Adamant,0.1%,Attack,Sp. Atk,,,,,,
Hydrapple,169,stat_points,1,,20.9%,,,32,0,0,32,2,0
Hydrapple,169,stat_points,2,,14.1%,,,32,0,2,32,0,0
Hydrapple,169,stat_points,3,,5.3%,,,2,0,32,32,0,0
Hydrapple,169,stat_points,4,,4.3%,,,32,0,32,2,0,0
Hydrapple,169,stat_points,5,,3.8%,,,32,0,32,0,2,0
Hydrapple,169,stat_points,6,,2.1%,,,2,0,0,32,32,0
Hydrapple,169,stat_points,7,,2.0%,,,32,2,0,32,0,0
Hydrapple,169,stat_points,8,,1.9%,,,0,0,2,32,32,0
Hydrapple,169,ability,1,Regenerator,88.3%,,,,,,,,
Hydrapple,169,ability,2,Supersweet Syrup,8.7%,,,,,,,,
Hydrapple,169,ability,3,Sticky Hold,3.0%,,,,,,,,
