pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Victreebel,89,move,1,Strength Sap,94.6%,,,,,,,,
Victreebel,89,move,2,Giga Drain,68.5%,,,,,,,,
Victreebel,89,move,3,Sucker Punch,57.2%,,,,,,,,
Victreebel,89,move,4,Sludge Bomb,38.9%,,,,,,,,
Victreebel,89,move,5,Encore,27.2%,,,,,,,,
Victreebel,89,move,6,Sludge Wave,17.5%,,,,,,,,
Victreebel,89,move,7,Poison Jab,12.6%,,,,,,,,
Victreebel,89,move,8,Toxic Spikes,12.4%,,,,,,,,
Victreebel,89,move,9,Knock Off,10.8%,,,,,,,,
Victreebel,89,move,10,Toxic,10.8%,,,,,,,,
Victreebel,89,held_item,1,Victreebelite,96.8%,,,,,,,,
Victreebel,89,held_item,2,Focus Sash,0.7%,,,,,,,,
Victreebel,89,held_item,3,Life Orb,0.4%,,,,,,,,
Victreebel,89,held_item,4,Sitrus Berry,0.4%,,,,,,,,
Victreebel,89,held_item,5,Leftovers,0.3%,,,,,,,,
Victreebel,89,held_item,6,Big Root,0.2%,,,,,,,,
Victreebel,89,held_item,7,Miracle Seed,0.2%,,,,,,,,
Victreebel,89,held_item,8,Wide Lens,0.1%,,,,,,,,
Victreebel,89,held_item,9,Quick Claw,0.1%,,,,,,,,
Victreebel,89,held_item,10,Expert Belt,0.1%,,,,,,,,
Victreebel,89,teammate,1,Mimikyu,,,,,,,,,
Victreebel,89,teammate,2,Basculegion Male,,,,,,,,,
Victreebel,89,teammate,3,Kingambit,,,,,,,,,
Victreebel,89,teammate,4,Blaziken,,,,,,,,,
Victreebel,89,teammate,5,Garchomp,,,,,,,,,
Victreebel,89,teammate,6,Blastoise,,,,,,,,,
Victreebel,89,teammate,7,Archaludon,,,,,,,,,
Victreebel,89,teammate,8,Primarina,,,,,,,,,
Victreebel,89,teammate,9,Bellibolt,,,,,,,,,
Victreebel,89,teammate,10,Skeledirge,,,,,,,,,
Victreebel,89,stat_alignment,1,Modest,23.7%,Sp. Atk,Attack,,,,,,
Victreebel,89,stat_alignment,2,Quiet,19.3%,Sp. Atk,Speed,,,,,,
Victreebel,89,stat_alignment,3,Rash,13.6%,Sp. Atk,Sp. Def,,,,,,
Victreebel,89,stat_alignment,4,Adamant,12.7%,Attack,Sp. Atk,,,,,,
Victreebel,89,stat_alignment,5,Bold,7.8%,Defense,Attack,,,,,,
Victreebel,89,stat_alignment,6,Impish,6.3%,Defense,Sp. Atk,,,,,,
Victreebel,89,stat_alignment,7,Naughty,2.8%,Attack,Sp. Def,,,,,,
Victreebel,89,stat_alignment,8,Timid,2.5%,Speed,Attack,,,,,,
Victreebel,89,stat_alignment,9,Relaxed,2.3%,Defense,Speed,,,,,,
Victreebel,89,stat_alignment,10,Lax,1.4%,Defense,Sp. Def,,,,,,
Victreebel,89,stat_points,1,,26.5%,,,32,2,0,32,0,0
Victreebel,89,stat_points,2,,11.7%,,,32,0,0,32,0,2
Victreebel,89,stat_points,3,,7.4%,,,32,0,2,32,0,0
Victreebel,89,stat_points,4,,6.8%,,,32,32,0,0,0,2
Victreebel,89,stat_points,5,,4.0%,,,32,0,32,0,0,2
Victreebel,89,stat_points,6,,2.3%,,,32,0,32,2,0,0
Victreebel,89,stat_points,7,,1.8%,,,32,0,30,0,0,4
Victreebel,89,stat_points,8,,1.3%,,,32,25,0,0,0,9
Victreebel,89,ability,1,Chlorophyll,92.7%,,,,,,,,
Victreebel,89,ability,2,Gluttony,7.3%,,,,,,,,
