pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Chandelure,62,move,1,Shadow Ball,78.1%,,,,,,,,,5539.38
Chandelure,62,move,2,Heat Wave,75.3%,,,,,,,,,5539.38
Chandelure,62,move,3,Protect,65.2%,,,,,,,,,5539.38
Chandelure,62,move,4,Trick Room,44.3%,,,,,,,,,5539.38
Chandelure,62,move,5,Calm Mind,22.7%,,,,,,,,,5539.38
Chandelure,62,move,6,Flamethrower,22.5%,,,,,,,,,5543.94
Chandelure,62,move,7,Minimize,20.4%,,,,,,,,,5543.94
Chandelure,62,move,8,Energy Ball,19.3%,,,,,,,,,5543.94
Chandelure,62,move,9,Acid Armor,18.5%,,,,,,,,,5543.94
Chandelure,62,move,10,Taunt,4.4%,,,,,,,,,5543.94
Chandelure,62,held_item,1,Focus Sash,33.4%,,,,,,,,,5548.11
Chandelure,62,held_item,2,Chandelurite,29.4%,,,,,,,,,5548.11
Chandelure,62,held_item,3,Sitrus Berry,10.3%,,,,,,,,,5548.11
Chandelure,62,held_item,4,Bright Powder,6.9%,,,,,,,,,5548.11
Chandelure,62,held_item,5,Colbur Berry,4.3%,,,,,,,,,5548.11
Chandelure,62,held_item,6,Choice Scarf,4.3%,,,,,,,,,5555.79
Chandelure,62,held_item,7,Life Orb,2.7%,,,,,,,,,5555.79
Chandelure,62,held_item,8,Charcoal,1.9%,,,,,,,,,5555.79
Chandelure,62,held_item,9,Lum Berry,1.6%,,,,,,,,,5555.79
Chandelure,62,held_item,10,Leftovers,1.1%,,,,,,,,,5555.79
Chandelure,62,teammate,1,Whimsicott,,,,,,,,,,5562.42
Chandelure,62,teammate,2,Kingambit,,,,,,,,,,5562.42
Chandelure,62,teammate,3,Kangaskhan,,,,,,,,,,5562.42
Chandelure,62,teammate,4,Basculegion Male,,,,,,,,,,5562.42
Chandelure,62,teammate,5,Audino,,,,,,,,,,5562.42
Chandelure,62,teammate,6,Overqwil,,,,,,,,,,5565.35
Chandelure,62,teammate,7,Malamar,,,,,,,,,,5565.35
Chandelure,62,teammate,8,Farigiraf,,,,,,,,,,5565.35
Chandelure,62,teammate,9,Gallade,,,,,,,,,,5565.35
Chandelure,62,teammate,10,Hisuian Zoroark,,,,,,,,,,5565.35
Chandelure,62,stat_alignment,1,Modest,37.1%,Sp. Atk,Attack,,,,,,,5567.45
Chandelure,62,stat_alignment,2,Quiet,32.3%,Sp. Atk,Speed,,,,,,,5567.45
Chandelure,62,stat_alignment,3,Relaxed,15.9%,Defense,Speed,,,,,,,5567.45
Chandelure,62,stat_alignment,4,Timid,9.1%,Speed,Attack,,,,,,,5567.45
Chandelure,62,stat_alignment,5,Calm,2.4%,Sp. Def,Attack,,,,,,,5567.45
Chandelure,62,stat_alignment,6,Bold,1.5%,Defense,Attack,,,,,,,5570.54
Chandelure,62,stat_alignment,7,Sassy,0.8%,Sp. Def,Speed,,,,,,,5570.54
Chandelure,62,stat_alignment,8,Mild,0.4%,Sp. Atk,Defense,,,,,,,5570.54
Chandelure,62,stat_alignment,9,Hasty,0.1%,Speed,Defense,,,,,,,5570.54
Chandelure,62,stat_alignment,10,Jolly,0.1%,Speed,Sp. Atk,,,,,,,5570.54
Chandelure,62,stat_points,1,,23.2%,,,32,0,1,32,1,0,5572.69
Chandelure,62,stat_points,2,,14.4%,,,32,0,11,0,23,0,5572.69
Chandelure,62,stat_points,3,,10.4%,,,2,0,0,32,0,32,5572.69
Chandelure,62,stat_points,4,,6.5%,,,32,0,2,32,0,0,5572.69
Chandelure,62,stat_points,5,,4.6%,,,32,0,0,32,2,0,5572.69
Chandelure,62,stat_points,6,,2.3%,,,0,0,2,32,0,32,5595.09
Chandelure,62,stat_points,7,,2.1%,,,0,0,0,32,2,32,5595.09
Chandelure,62,stat_points,8,,1.8%,,,32,0,2,0,32,0,5595.09
Chandelure,62,ability,1,Flash Fire,87.0%,,,,,,,,,5609.18
Chandelure,62,ability,2,Infiltrator,9.5%,,,,,,,,,5609.18
Chandelure,62,ability,3,Flame Body,3.5%,,,,,,,,,5609.18
