pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Galarian Slowking,117,move,1,Trick Room,77.8%,,,,,,,,,10635.23
Galarian Slowking,117,move,2,Sludge Bomb,54.2%,,,,,,,,,10635.23
Galarian Slowking,117,move,3,Psychic,45.9%,,,,,,,,,10635.23
Galarian Slowking,117,move,4,Chilly Reception,34.7%,,,,,,,,,10635.23
Galarian Slowking,117,move,5,Heal Pulse,22.4%,,,,,,,,,10635.23
Galarian Slowking,117,move,6,Protect,21.7%,,,,,,,,,10640.32
Galarian Slowking,117,move,7,Ice Beam,13.6%,,,,,,,,,10640.32
Galarian Slowking,117,move,8,Acid Spray,10.3%,,,,,,,,,10640.32
Galarian Slowking,117,move,9,Power Gem,9.9%,,,,,,,,,10640.32
Galarian Slowking,117,move,10,Sludge Wave,8.3%,,,,,,,,,10640.32
Galarian Slowking,117,held_item,1,Sitrus Berry,25.4%,,,,,,,,,10645.69
Galarian Slowking,117,held_item,2,Leftovers,20.2%,,,,,,,,,10645.69
Galarian Slowking,117,held_item,3,Mental Herb,12.7%,,,,,,,,,10645.69
Galarian Slowking,117,held_item,4,Colbur Berry,10.0%,,,,,,,,,10645.69
Galarian Slowking,117,held_item,5,Shuca Berry,5.3%,,,,,,,,,10645.69
Galarian Slowking,117,held_item,6,Life Orb,5.0%,,,,,,,,,10653.05
Galarian Slowking,117,held_item,7,Quick Claw,4.4%,,,,,,,,,10653.05
Galarian Slowking,117,held_item,8,Focus Sash,3.9%,,,,,,,,,10653.05
Galarian Slowking,117,held_item,9,Bright Powder,1.7%,,,,,,,,,10653.05
Galarian Slowking,117,held_item,10,Wise Glasses,1.7%,,,,,,,,,10653.05
Galarian Slowking,117,teammate,1,Sinistcha,,,,,,,,,,10659.54
Galarian Slowking,117,teammate,2,Incineroar,,,,,,,,,,10659.54
Galarian Slowking,117,teammate,3,Farigiraf,,,,,,,,,,10659.54
Galarian Slowking,117,teammate,4,Kingambit,,,,,,,,,,10659.54
Galarian Slowking,117,teammate,5,Sylveon,,,,,,,,,,10659.54
Galarian Slowking,117,teammate,6,Blastoise,,,,,,,,,,10662.48
Galarian Slowking,117,teammate,7,Torkoal,,,,,,,,,,10662.48
Galarian Slowking,117,teammate,8,Crabominable,,,,,,,,,,10662.48
Galarian Slowking,117,teammate,9,Mawile,,,,,,,,,,10662.48
Galarian Slowking,117,teammate,10,Pelipper,,,,,,,,,,10662.48
Galarian Slowking,117,stat_alignment,1,Relaxed,31.6%,Defense,Speed,,,,,,,10664.59
Galarian Slowking,117,stat_alignment,2,Quiet,23.2%,Sp. Atk,Speed,,,,,,,10664.59
Galarian Slowking,117,stat_alignment,3,Modest,15.7%,Sp. Atk,Attack,,,,,,,10664.59
Galarian Slowking,117,stat_alignment,4,Bold,10.5%,Defense,Attack,,,,,,,10664.59
Galarian Slowking,117,stat_alignment,5,Sassy,9.9%,Sp. Def,Speed,,,,,,,10664.59
Galarian Slowking,117,stat_alignment,6,Calm,7.1%,Sp. Def,Attack,,,,,,,10667.65
Galarian Slowking,117,stat_alignment,7,Mild,0.7%,Sp. Atk,Defense,,,,,,,10667.65
Galarian Slowking,117,stat_alignment,8,Gentle,0.3%,Sp. Def,Defense,,,,,,,10667.65
Galarian Slowking,117,stat_alignment,9,Timid,0.3%,Speed,Attack,,,,,,,10667.65
Galarian Slowking,117,stat_alignment,10,Impish,0.2%,Defense,Sp. Atk,,,,,,,10667.65
Galarian Slowking,117,stat_points,1,,13.0%,,,32,0,32,0,2,0,10669.85
Galarian Slowking,117,stat_points,2,,8.4%,,,32,0,2,32,0,0,10669.85
Galarian Slowking,117,stat_points,3,,7.4%,,,32,0,0,32,2,0,10669.85
Galarian Slowking,117,stat_points,4,,3.6%,,,0,0,32,32,2,0,10669.85
Galarian Slowking,117,stat_points,5,,3.4%,,,32,0,2,0,32,0,10669.85
Galarian Slowking,117,stat_points,6,,2.8%,,,32,0,31,0,3,0,10692.02
Galarian Slowking,117,stat_points,7,,2.4%,,,2,0,32,0,32,0,10692.02
Galarian Slowking,117,stat_points,8,,2.1%,,,0,0,2,32,32,0,10692.02
Galarian Slowking,117,ability,1,Regenerator,77.9%,,,,,,,,,10706.07
Galarian Slowking,117,ability,2,Curious Medicine,16.1%,,,,,,,,,10706.07
Galarian Slowking,117,ability,3,Own Tempo,6.0%,,,,,,,,,10706.07
