pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Heliolisk,113,move,1,Thunderbolt,73.5%,,,,,,,,,32643.49
Heliolisk,113,move,2,Shed Tail,55.8%,,,,,,,,,32643.49
Heliolisk,113,move,3,Grass Knot,45.7%,,,,,,,,,32643.49
Heliolisk,113,move,4,Volt Switch,40.3%,,,,,,,,,32643.49
Heliolisk,113,move,5,Glare,37.5%,,,,,,,,,32643.49
Heliolisk,113,move,6,Focus Blast,18.6%,,,,,,,,,32647.96
Heliolisk,113,move,7,Surf,18.1%,,,,,,,,,32647.96
Heliolisk,113,move,8,Hyper Voice,16.4%,,,,,,,,,32647.96
Heliolisk,113,move,9,Dark Pulse,12.2%,,,,,,,,,32647.96
Heliolisk,113,move,10,Dragon Pulse,11.9%,,,,,,,,,32647.96
Heliolisk,113,held_item,1,Focus Sash,33.5%,,,,,,,,,32652.36
Heliolisk,113,held_item,2,Choice Scarf,23.2%,,,,,,,,,32652.36
Heliolisk,113,held_item,3,Sitrus Berry,15.7%,,,,,,,,,32652.36
Heliolisk,113,held_item,4,Life Orb,8.9%,,,,,,,,,32652.36
Heliolisk,113,held_item,5,Magnet,3.2%,,,,,,,,,32652.36
Heliolisk,113,held_item,6,Shuca Berry,2.9%,,,,,,,,,32659.66
Heliolisk,113,held_item,7,Expert Belt,2.1%,,,,,,,,,32659.66
Heliolisk,113,held_item,8,Leftovers,2.0%,,,,,,,,,32659.66
Heliolisk,113,held_item,9,Bright Powder,1.8%,,,,,,,,,32659.66
Heliolisk,113,held_item,10,Wise Glasses,1.3%,,,,,,,,,32659.66
Heliolisk,113,teammate,1,Garchomp,,,,,,,,,,32666.15
Heliolisk,113,teammate,2,Charizard,,,,,,,,,,32666.15
Heliolisk,113,teammate,3,Gyarados,,,,,,,,,,32666.15
Heliolisk,113,teammate,4,Delphox,,,,,,,,,,32666.15
Heliolisk,113,teammate,5,Excadrill,,,,,,,,,,32666.15
Heliolisk,113,teammate,6,Mimikyu,,,,,,,,,,32669.02
Heliolisk,113,teammate,7,Skeledirge,,,,,,,,,,32669.02
Heliolisk,113,teammate,8,Metagross,,,,,,,,,,32669.02
Heliolisk,113,teammate,9,Meowscarada,,,,,,,,,,32669.02
Heliolisk,113,teammate,10,Primarina,,,,,,,,,,32669.02
Heliolisk,113,stat_alignment,1,Timid,73.7%,Speed,Attack,,,,,,,32671.13
Heliolisk,113,stat_alignment,2,Modest,20.6%,Sp. Atk,Attack,,,,,,,32671.13
Heliolisk,113,stat_alignment,3,Bold,1.3%,Defense,Attack,,,,,,,32671.13
Heliolisk,113,stat_alignment,4,Calm,1.3%,Sp. Def,Attack,,,,,,,32671.13
Heliolisk,113,stat_alignment,5,Hasty,1.2%,Speed,Defense,,,,,,,32671.13
Heliolisk,113,stat_alignment,6,Mild,0.7%,Sp. Atk,Defense,,,,,,,32674.19
Heliolisk,113,stat_alignment,7,Jolly,0.3%,Speed,Sp. Atk,,,,,,,32674.19
Heliolisk,113,stat_alignment,8,Naive,0.3%,Speed,Sp. Def,,,,,,,32674.19
Heliolisk,113,stat_alignment,9,Quiet,0.2%,Sp. Atk,Speed,,,,,,,32674.19
Heliolisk,113,stat_alignment,10,Relaxed,0.1%,Defense,Speed,,,,,,,32674.19
Heliolisk,113,stat_points,1,,48.7%,,,2,0,0,32,0,32,32676.42
Heliolisk,113,stat_points,2,,11.1%,,,0,0,0,32,2,32,32676.42
Heliolisk,113,stat_points,3,,6.7%,,,0,0,2,32,0,32,32676.42
Heliolisk,113,stat_points,4,,2.7%,,,1,0,0,32,1,32,32676.42
Heliolisk,113,stat_points,5,,2.6%,,,0,0,0,32,0,32,32676.42
Heliolisk,113,stat_points,6,,1.1%,,,1,0,1,32,0,32,32698.73
Heliolisk,113,stat_points,7,,1.1%,,,31,0,0,0,3,32,32698.73
Heliolisk,113,stat_points,8,,0.9%,,,8,0,0,32,0,26,32698.73
Heliolisk,113,ability,1,Dry Skin,88.6%,,,,,,,,,32712.69
Heliolisk,113,ability,2,Solar Power,8.5%,,,,,,,,,32712.69
Heliolisk,113,ability,3,Sand Veil,2.9%,,,,,,,,,32712.69
