pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Scolipede,64,move,1,Swords Dance,74.6%,,,,,,,,,27863.98
Scolipede,64,move,2,Earthquake,58.3%,,,,,,,,,27863.98
Scolipede,64,move,3,Leech Life,58.2%,,,,,,,,,27863.98
Scolipede,64,move,4,Baton Pass,45.5%,,,,,,,,,27863.98
Scolipede,64,move,5,Protect,42.6%,,,,,,,,,27863.98
Scolipede,64,move,6,Poison Jab,28.5%,,,,,,,,,27868.42
Scolipede,64,move,7,Iron Defense,26.9%,,,,,,,,,27868.42
Scolipede,64,move,8,Gunk Shot,18.8%,,,,,,,,,27868.42
Scolipede,64,move,9,Rock Slide,15.5%,,,,,,,,,27868.42
Scolipede,64,move,10,Substitute,10.2%,,,,,,,,,27868.42
Scolipede,64,held_item,1,Scolipite,45.0%,,,,,,,,,27873.36
Scolipede,64,held_item,2,Focus Sash,25.2%,,,,,,,,,27873.36
Scolipede,64,held_item,3,Sitrus Berry,10.5%,,,,,,,,,27873.36
Scolipede,64,held_item,4,Leftovers,7.0%,,,,,,,,,27873.36
Scolipede,64,held_item,5,Mental Herb,3.9%,,,,,,,,,27873.36
Scolipede,64,held_item,6,Life Orb,2.3%,,,,,,,,,27880.69
Scolipede,64,held_item,7,Lum Berry,1.4%,,,,,,,,,27880.69
Scolipede,64,held_item,8,Bright Powder,0.9%,,,,,,,,,27880.69
Scolipede,64,held_item,9,Occa Berry,0.8%,,,,,,,,,27880.69
Scolipede,64,held_item,10,Wide Lens,0.3%,,,,,,,,,27880.69
Scolipede,64,teammate,1,Garchomp,,,,,,,,,,27887.17
Scolipede,64,teammate,2,Alolan Ninetales,,,,,,,,,,27887.17
Scolipede,64,teammate,3,Mimikyu,,,,,,,,,,27887.17
Scolipede,64,teammate,4,Gyarados,,,,,,,,,,27887.17
Scolipede,64,teammate,5,Clefable,,,,,,,,,,27887.17
Scolipede,64,teammate,6,Ceruledge,,,,,,,,,,27890.08
Scolipede,64,teammate,7,Grimmsnarl,,,,,,,,,,27890.08
Scolipede,64,teammate,8,Gholdengo,,,,,,,,,,27890.08
Scolipede,64,teammate,9,Archaludon,,,,,,,,,,27890.08
Scolipede,64,teammate,10,Blastoise,,,,,,,,,,27890.08
Scolipede,64,stat_alignment,1,Adamant,50.8%,Attack,Sp. Atk,,,,,,,27892.14
Scolipede,64,stat_alignment,2,Jolly,22.0%,Speed,Sp. Atk,,,,,,,27892.14
Scolipede,64,stat_alignment,3,Careful,11.1%,Sp. Def,Sp. Atk,,,,,,,27892.14
Scolipede,64,stat_alignment,4,Impish,11.0%,Defense,Sp. Atk,,,,,,,27892.14
Scolipede,64,stat_alignment,5,Bold,1.3%,Defense,Attack,,,,,,,27892.14
Scolipede,64,stat_alignment,6,Timid,1.0%,Speed,Attack,,,,,,,27895.19
Scolipede,64,stat_alignment,7,Calm,0.9%,Sp. Def,Attack,,,,,,,27895.19
Scolipede,64,stat_alignment,8,Naughty,0.3%,Attack,Sp. Def,,,,,,,27895.19
Scolipede,64,stat_alignment,9,Lonely,0.3%,Attack,Defense,,,,,,,27895.19
Scolipede,64,stat_alignment,10,Naive,0.3%,Speed,Sp. Def,,,,,,,27895.19
Scolipede,64,stat_points,1,,18.1%,,,2,32,0,0,0,32,27897.30
Scolipede,64,stat_points,2,,12.6%,,,24,20,0,0,0,22,27897.30
Scolipede,64,stat_points,3,,4.7%,,,32,0,2,0,32,0,27897.30
Scolipede,64,stat_points,4,,3.0%,,,30,19,11,0,0,6,27897.30
Scolipede,64,stat_points,5,,3.0%,,,32,32,0,0,0,2,27897.30
Scolipede,64,stat_points,6,,2.3%,,,0,32,2,0,0,32,27919.58
Scolipede,64,stat_points,7,,1.8%,,,32,0,2,0,0,32,27919.58
Scolipede,64,stat_points,8,,1.5%,,,0,32,0,0,2,32,27919.58
Scolipede,64,ability,1,Boost,99.3%,,,,,,,,,27933.55
Scolipede,64,ability,2,Poison Point,0.5%,,,,,,,,,27933.55
Scolipede,64,ability,3,Swarm,0.2%,,,,,,,,,27933.55
