pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Gourgeist Small Variety,230,move,1,Poltergeist,48.8%,,,,,,,,,21506.58
Gourgeist Small Variety,230,move,2,Trick Room,45.9%,,,,,,,,,21506.58
Gourgeist Small Variety,230,move,3,Trick-or-Treat,45.0%,,,,,,,,,21506.58
Gourgeist Small Variety,230,move,4,Power Whip,33.4%,,,,,,,,,21506.58
Gourgeist Small Variety,230,move,5,Explosion,21.2%,,,,,,,,,21506.58
Gourgeist Small Variety,230,move,6,Protect,20.5%,,,,,,,,,21511.18
Gourgeist Small Variety,230,move,7,Will-O-Wisp,19.9%,,,,,,,,,21511.18
Gourgeist Small Variety,230,move,8,Seed Bomb,19.6%,,,,,,,,,21511.18
Gourgeist Small Variety,230,move,9,Leech Seed,19.1%,,,,,,,,,21511.18
Gourgeist Small Variety,230,move,10,Shadow Sneak,11.0%,,,,,,,,,21511.18
Gourgeist Small Variety,230,held_item,1,Focus Sash,24.7%,,,,,,,,,21514.96
Gourgeist Small Variety,230,held_item,2,Sitrus Berry,10.2%,,,,,,,,,21514.96
Gourgeist Small Variety,230,held_item,3,Leftovers,7.9%,,,,,,,,,21514.96
Gourgeist Small Variety,230,held_item,4,Mental Herb,7.4%,,,,,,,,,21514.96
Gourgeist Small Variety,230,held_item,5,Quick Claw,7.4%,,,,,,,,,21514.96
Gourgeist Small Variety,230,held_item,6,Choice Scarf,7.1%,,,,,,,,,21522.57
Gourgeist Small Variety,230,held_item,7,Wide Lens,5.2%,,,,,,,,,21522.57
Gourgeist Small Variety,230,held_item,8,Occa Berry,4.1%,,,,,,,,,21522.57
Gourgeist Small Variety,230,held_item,9,lron Ball,3.7%,,,,,,,,,21522.57
Gourgeist Small Variety,230,held_item,10,Bright Powder,3.5%,,,,,,,,,21522.57
Gourgeist Small Variety,230,teammate,1,Tyranitar,,,,,,,,,,21529.57
Gourgeist Small Variety,230,teammate,2,Incineroar,,,,,,,,,,21529.57
Gourgeist Small Variety,230,teammate,3,Snorlax,,,,,,,,,,21529.57
Gourgeist Small Variety,230,teammate,4,Alolan Ninetales,,,,,,,,,,21529.57
Gourgeist Small Variety,230,teammate,5,Venusaur,,,,,,,,,,21529.57
Gourgeist Small Variety,230,teammate,6,Bellibolt,,,,,,,,,,21532.61
Gourgeist Small Variety,230,teammate,7,Hippowdon,,,,,,,,,,21532.61
Gourgeist Small Variety,230,teammate,8,Torkoal,,,,,,,,,,21532.61
Gourgeist Small Variety,230,teammate,9,Metagross,,,,,,,,,,21532.61
Gourgeist Small Variety,230,teammate,10,Sinistcha,,,,,,,,,,21532.61
Gourgeist Small Variety,230,stat_alignment,1,Sassy,18.8%,Sp. Def,Speed,,,,,,,21534.78
Gourgeist Small Variety,230,stat_alignment,2,Brave,17.5%,Attack,Speed,,,,,,,21534.78
Gourgeist Small Variety,230,stat_alignment,3,Modest,12.8%,Sp. Atk,Attack,,,,,,,21534.78
Gourgeist Small Variety,230,stat_alignment,4,Adamant,11.5%,Attack,Sp. Atk,,,,,,,21534.78
Gourgeist Small Variety,230,stat_alignment,5,Careful,11.2%,Sp. Def,Sp. Atk,,,,,,,21534.78
Gourgeist Small Variety,230,stat_alignment,6,Jolly,10.2%,Speed,Sp. Atk,,,,,,,21537.92
Gourgeist Small Variety,230,stat_alignment,7,Impish,6.1%,Defense,Sp. Atk,,,,,,,21537.92
Gourgeist Small Variety,230,stat_alignment,8,Timid,2.9%,Speed,Attack,,,,,,,21537.92
Gourgeist Small Variety,230,stat_alignment,9,Relaxed,2.7%,Defense,Speed,,,,,,,21537.92
Gourgeist Small Variety,230,stat_alignment,10,Bold,2.6%,Defense,Attack,,,,,,,21537.92
Gourgeist Small Variety,230,stat_points,1,,13.0%,,,2,0,0,32,0,32,21540.25
Gourgeist Small Variety,230,stat_points,2,,11.7%,,,32,0,2,0,32,0,21540.25
Gourgeist Small Variety,230,stat_points,3,,6.7%,,,2,32,0,0,0,32,21540.25
Gourgeist Small Variety,230,stat_points,4,,4.9%,,,2,32,32,0,0,0,21540.25
Gourgeist Small Variety,230,stat_points,5,,4.7%,,,0,32,32,0,2,0,21540.25
Gourgeist Small Variety,230,stat_points,6,,3.7%,,,32,2,0,0,32,0,21563.64
Gourgeist Small Variety,230,stat_points,7,,3.7%,,,32,32,2,0,0,0,21563.64
Gourgeist Small Variety,230,stat_points,8,,3.6%,,,32,32,0,0,2,0,21563.64
Gourgeist Small Variety,230,ability,1,Frisk,65.0%,,,,,,,,,21578.26
Gourgeist Small Variety,230,ability,2,Insomnia,26.1%,,,,,,,,,21578.26
Gourgeist Small Variety,230,ability,3,Pickup,8.9%,,,,,,,,,21578.26
