pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Hisuian Decidueye,116,move,1,Leaf Blade,95.1%,,,,,,,,,10520.76
Hisuian Decidueye,116,move,2,Triple Arrows,81.0%,,,,,,,,,10520.76
Hisuian Decidueye,116,move,3,Protect,80.3%,,,,,,,,,10520.76
Hisuian Decidueye,116,move,4,Sucker Punch,48.8%,,,,,,,,,10520.76
Hisuian Decidueye,116,move,5,Brave Bird,25.6%,,,,,,,,,10520.76
Hisuian Decidueye,116,move,6,Close Combat,18.9%,,,,,,,,,10525.77
Hisuian Decidueye,116,move,7,Tailwind,6.1%,,,,,,,,,10525.77
Hisuian Decidueye,116,move,8,Shadow Sneak,5.0%,,,,,,,,,10525.77
Hisuian Decidueye,116,move,9,Upper Hand,4.3%,,,,,,,,,10525.77
Hisuian Decidueye,116,move,10,U-turn,3.8%,,,,,,,,,10525.77
Hisuian Decidueye,116,held_item,1,Scope Lens,47.4%,,,,,,,,,10529.81
Hisuian Decidueye,116,held_item,2,Life Orb,26.5%,,,,,,,,,10529.81
Hisuian Decidueye,116,held_item,3,Focus Sash,8.3%,,,,,,,,,10529.81
Hisuian Decidueye,116,held_item,4,Expert Belt,3.3%,,,,,,,,,10529.81
Hisuian Decidueye,116,held_item,5,Choice Scarf,1.9%,,,,,,,,,10529.81
Hisuian Decidueye,116,held_item,6,Sitrus Berry,1.8%,,,,,,,,,10537.10
Hisuian Decidueye,116,held_item,7,Quick Claw,1.7%,,,,,,,,,10537.10
Hisuian Decidueye,116,held_item,8,Black Belt,1.4%,,,,,,,,,10537.10
Hisuian Decidueye,116,held_item,9,Muscle Band,1.0%,,,,,,,,,10537.10
Hisuian Decidueye,116,held_item,10,Leftovers,0.9%,,,,,,,,,10537.10
Hisuian Decidueye,116,teammate,1,Farigiraf,,,,,,,,,,10543.58
Hisuian Decidueye,116,teammate,2,Chandelure,,,,,,,,,,10543.58
Hisuian Decidueye,116,teammate,3,Kingambit,,,,,,,,,,10543.58
Hisuian Decidueye,116,teammate,4,Kangaskhan,,,,,,,,,,10543.58
Hisuian Decidueye,116,teammate,5,Aerodactyl,,,,,,,,,,10543.58
Hisuian Decidueye,116,teammate,6,Hisuian Avalugg,,,,,,,,,,10546.49
Hisuian Decidueye,116,teammate,7,Incineroar,,,,,,,,,,10546.49
Hisuian Decidueye,116,teammate,8,Mawile,,,,,,,,,,10546.49
Hisuian Decidueye,116,teammate,9,Torkoal,,,,,,,,,,10546.49
Hisuian Decidueye,116,teammate,10,Liepard,,,,,,,,,,10546.49
Hisuian Decidueye,116,stat_alignment,1,Adamant,47.7%,Attack,Sp. Atk,,,,,,,10548.50
Hisuian Decidueye,116,stat_alignment,2,Brave,40.4%,Attack,Speed,,,,,,,10548.50
Hisuian Decidueye,116,stat_alignment,3,Jolly,7.7%,Speed,Sp. Atk,,,,,,,10548.50
Hisuian Decidueye,116,stat_alignment,4,Impish,0.9%,Defense,Sp. Atk,,,,,,,10548.50
Hisuian Decidueye,116,stat_alignment,5,Sassy,0.7%,Sp. Def,Speed,,,,,,,10548.50
Hisuian Decidueye,116,stat_alignment,6,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,,10551.56
Hisuian Decidueye,116,stat_alignment,7,Naughty,0.4%,Attack,Sp. Def,,,,,,,10551.56
Hisuian Decidueye,116,stat_alignment,8,Lonely,0.3%,Attack,Defense,,,,,,,10551.56
Hisuian Decidueye,116,stat_alignment,9,Relaxed,0.3%,Defense,Speed,,,,,,,10551.56
Hisuian Decidueye,116,stat_alignment,10,Lax,0.2%,Defense,Sp. Def,,,,,,,10551.56
Hisuian Decidueye,116,stat_points,1,,23.2%,,,2,32,0,0,0,32,10553.75
Hisuian Decidueye,116,stat_points,2,,17.2%,,,32,32,2,0,0,0,10553.75
Hisuian Decidueye,116,stat_points,3,,14.0%,,,32,32,0,0,0,2,10553.75
Hisuian Decidueye,116,stat_points,4,,8.2%,,,32,32,0,0,2,0,10553.75
Hisuian Decidueye,116,stat_points,5,,3.4%,,,0,32,2,0,0,32,10553.75
Hisuian Decidueye,116,stat_points,6,,1.5%,,,0,32,2,0,32,0,10575.91
Hisuian Decidueye,116,stat_points,7,,1.3%,,,2,32,0,0,32,0,10575.91
Hisuian Decidueye,116,stat_points,8,,1.1%,,,26,32,8,0,0,0,10575.91
Hisuian Decidueye,116,ability,1,Scrappy,98.2%,,,,,,,,,10589.77
Hisuian Decidueye,116,ability,2,Overgrow,1.8%,,,,,,,,,10589.77
