pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Hisuian Typhlosion,63,move,1,Eruption,96.4%,,,,,,,,,5589.90
Hisuian Typhlosion,63,move,2,Shadow Ball,77.2%,,,,,,,,,5589.90
Hisuian Typhlosion,63,move,3,Heat Wave,53.8%,,,,,,,,,5589.90
Hisuian Typhlosion,63,move,4,Protect,30.1%,,,,,,,,,5589.90
Hisuian Typhlosion,63,move,5,Infernal Parade,24.1%,,,,,,,,,5589.90
Hisuian Typhlosion,63,move,6,Solar Beam,18.6%,,,,,,,,,5594.28
Hisuian Typhlosion,63,move,7,Burn Up,14.3%,,,,,,,,,5594.28
Hisuian Typhlosion,63,move,8,Overheat,13.9%,,,,,,,,,5594.28
Hisuian Typhlosion,63,move,9,Flamethrower,12.5%,,,,,,,,,5594.28
Hisuian Typhlosion,63,move,10,Extrasensory,12.2%,,,,,,,,,5594.28
Hisuian Typhlosion,63,held_item,1,Choice Scarf,69.7%,,,,,,,,,5597.87
Hisuian Typhlosion,63,held_item,2,Charcoal,16.2%,,,,,,,,,5597.87
Hisuian Typhlosion,63,held_item,3,Life Orb,4.9%,,,,,,,,,5597.87
Hisuian Typhlosion,63,held_item,4,Focus Sash,2.9%,,,,,,,,,5597.87
Hisuian Typhlosion,63,held_item,5,Quick Claw,1.0%,,,,,,,,,5597.87
Hisuian Typhlosion,63,held_item,6,Wise Glasses,0.9%,,,,,,,,,5605.16
Hisuian Typhlosion,63,held_item,7,Sitrus Berry,0.9%,,,,,,,,,5605.16
Hisuian Typhlosion,63,held_item,8,Colbur Berry,0.8%,,,,,,,,,5605.16
Hisuian Typhlosion,63,held_item,9,Expert Belt,0.4%,,,,,,,,,5605.16
Hisuian Typhlosion,63,held_item,10,Leftovers,0.3%,,,,,,,,,5605.16
Hisuian Typhlosion,63,teammate,1,Whimsicott,,,,,,,,,,5611.63
Hisuian Typhlosion,63,teammate,2,Garchomp,,,,,,,,,,5611.63
Hisuian Typhlosion,63,teammate,3,Staraptor,,,,,,,,,,5611.63
Hisuian Typhlosion,63,teammate,4,Charizard,,,,,,,,,,5611.63
Hisuian Typhlosion,63,teammate,5,Farigiraf,,,,,,,,,,5611.63
Hisuian Typhlosion,63,teammate,6,Sneasler,,,,,,,,,,5614.48
Hisuian Typhlosion,63,teammate,7,Basculegion Male,,,,,,,,,,5614.48
Hisuian Typhlosion,63,teammate,8,Torkoal,,,,,,,,,,5614.48
Hisuian Typhlosion,63,teammate,9,Kingambit,,,,,,,,,,5614.48
Hisuian Typhlosion,63,teammate,10,Aerodactyl,,,,,,,,,,5614.48
Hisuian Typhlosion,63,stat_alignment,1,Modest,64.8%,Sp. Atk,Attack,,,,,,,5616.54
Hisuian Typhlosion,63,stat_alignment,2,Timid,29.7%,Speed,Attack,,,,,,,5616.54
Hisuian Typhlosion,63,stat_alignment,3,Mild,1.8%,Sp. Atk,Defense,,,,,,,5616.54
Hisuian Typhlosion,63,stat_alignment,4,Hasty,1.2%,Speed,Defense,,,,,,,5616.54
Hisuian Typhlosion,63,stat_alignment,5,Quiet,1.0%,Sp. Atk,Speed,,,,,,,5616.54
Hisuian Typhlosion,63,stat_alignment,6,Bold,0.4%,Defense,Attack,,,,,,,5619.55
Hisuian Typhlosion,63,stat_alignment,7,Calm,0.3%,Sp. Def,Attack,,,,,,,5619.55
Hisuian Typhlosion,63,stat_alignment,8,Rash,0.2%,Sp. Atk,Sp. Def,,,,,,,5619.55
Hisuian Typhlosion,63,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,,5619.55
Hisuian Typhlosion,63,stat_alignment,10,Naive,0.1%,Speed,Sp. Def,,,,,,,5619.55
Hisuian Typhlosion,63,stat_points,1,,55.9%,,,2,0,0,32,0,32,5621.66
Hisuian Typhlosion,63,stat_points,2,,11.9%,,,0,0,2,32,0,32,5621.66
Hisuian Typhlosion,63,stat_points,3,,8.9%,,,0,0,0,32,2,32,5621.66
Hisuian Typhlosion,63,stat_points,4,,3.3%,,,1,0,1,32,0,32,5621.66
Hisuian Typhlosion,63,stat_points,5,,3.0%,,,0,0,0,32,0,32,5621.66
Hisuian Typhlosion,63,stat_points,6,,0.8%,,,32,0,2,32,0,0,5643.70
Hisuian Typhlosion,63,stat_points,7,,0.7%,,,32,0,0,32,0,2,5643.70
Hisuian Typhlosion,63,stat_points,8,,0.6%,,,1,0,0,32,1,32,5643.70
Hisuian Typhlosion,63,ability,1,Frisk,66.0%,,,,,,,,,5657.65
Hisuian Typhlosion,63,ability,2,Blaze,34.0%,,,,,,,,,5657.65
