pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Reuniclus,141,move,1,Trick Room,72.3%,,,,,,,,,12881.85
Reuniclus,141,move,2,Psychic,59.4%,,,,,,,,,12881.85
Reuniclus,141,move,3,Protect,48.5%,,,,,,,,,12881.85
Reuniclus,141,move,4,Focus Blast,43.2%,,,,,,,,,12881.85
Reuniclus,141,move,5,Expanding Force,31.3%,,,,,,,,,12881.85
Reuniclus,141,move,6,Shadow Ball,28.6%,,,,,,,,,12886.26
Reuniclus,141,move,7,Energy Ball,22.8%,,,,,,,,,12886.26
Reuniclus,141,move,8,Recover,11.6%,,,,,,,,,12886.26
Reuniclus,141,move,9,Psychic Terrain,11.4%,,,,,,,,,12886.26
Reuniclus,141,move,10,Thunder,9.0%,,,,,,,,,12886.26
Reuniclus,141,held_item,1,Life Orb,56.5%,,,,,,,,,12889.85
Reuniclus,141,held_item,2,Leftovers,8.7%,,,,,,,,,12889.85
Reuniclus,141,held_item,3,Sitrus Berry,8.5%,,,,,,,,,12889.85
Reuniclus,141,held_item,4,Colbur Berry,6.0%,,,,,,,,,12889.85
Reuniclus,141,held_item,5,Focus Sash,3.7%,,,,,,,,,12889.85
Reuniclus,141,held_item,6,Twisted Spoon,3.1%,,,,,,,,,12897.11
Reuniclus,141,held_item,7,Mental Herb,3.0%,,,,,,,,,12897.11
Reuniclus,141,held_item,8,Wide Lens,1.4%,,,,,,,,,12897.11
Reuniclus,141,held_item,9,Bright Powder,1.3%,,,,,,,,,12897.11
Reuniclus,141,held_item,10,Quick Claw,1.2%,,,,,,,,,12897.11
Reuniclus,141,teammate,1,Farigiraf,,,,,,,,,,12903.59
Reuniclus,141,teammate,2,Tyranitar,,,,,,,,,,12903.59
Reuniclus,141,teammate,3,Torkoal,,,,,,,,,,12903.59
Reuniclus,141,teammate,4,Mawile,,,,,,,,,,12903.59
Reuniclus,141,teammate,5,Incineroar,,,,,,,,,,12903.59
Reuniclus,141,teammate,6,Sinistcha,,,,,,,,,,12906.49
Reuniclus,141,teammate,7,Sylveon,,,,,,,,,,12906.49
Reuniclus,141,teammate,8,Kingambit,,,,,,,,,,12906.49
Reuniclus,141,teammate,9,Scrafty,,,,,,,,,,12906.49
Reuniclus,141,teammate,10,Hatterene,,,,,,,,,,12906.49
Reuniclus,141,stat_alignment,1,Quiet,54.2%,Sp. Atk,Speed,,,,,,,12908.57
Reuniclus,141,stat_alignment,2,Modest,19.9%,Sp. Atk,Attack,,,,,,,12908.57
Reuniclus,141,stat_alignment,3,Relaxed,9.5%,Defense,Speed,,,,,,,12908.57
Reuniclus,141,stat_alignment,4,Sassy,6.1%,Sp. Def,Speed,,,,,,,12908.57
Reuniclus,141,stat_alignment,5,Bold,4.9%,Defense,Attack,,,,,,,12908.57
Reuniclus,141,stat_alignment,6,Calm,3.0%,Sp. Def,Attack,,,,,,,12911.61
Reuniclus,141,stat_alignment,7,Mild,1.1%,Sp. Atk,Defense,,,,,,,12911.61
Reuniclus,141,stat_alignment,8,Gentle,0.6%,Sp. Def,Defense,,,,,,,12911.61
Reuniclus,141,stat_alignment,9,Timid,0.2%,Speed,Attack,,,,,,,12911.61
Reuniclus,141,stat_alignment,10,Serious,0.1%,,,,,,,,,12911.61
Reuniclus,141,stat_points,1,,23.4%,,,32,0,2,32,0,0,12913.80
Reuniclus,141,stat_points,2,,12.5%,,,32,0,0,32,2,0,12913.80
Reuniclus,141,stat_points,3,,4.9%,,,2,0,0,32,32,0,12913.80
Reuniclus,141,stat_points,4,,3.5%,,,2,0,32,32,0,0,12913.80
Reuniclus,141,stat_points,5,,2.8%,,,0,0,32,32,2,0,12913.80
Reuniclus,141,stat_points,6,,1.7%,,,24,0,10,32,0,0,12935.91
Reuniclus,141,stat_points,7,,1.6%,,,32,0,0,32,0,0,12935.91
Reuniclus,141,stat_points,8,,1.2%,,,32,0,32,0,2,0,12935.91
Reuniclus,141,ability,1,Magic Guard,74.5%,,,,,,,,,12949.88
Reuniclus,141,ability,2,Regenerator,17.2%,,,,,,,,,12949.88
Reuniclus,141,ability,3,Overcoat,8.3%,,,,,,,,,12949.88
