pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Tyranitar,17,move,1,Rock Slide,95.0%,,,,,,,,,1461.04
Tyranitar,17,move,2,Knock Off,90.4%,,,,,,,,,1461.04
Tyranitar,17,move,3,Protect,78.1%,,,,,,,,,1461.04
Tyranitar,17,move,4,Low Kick,33.6%,,,,,,,,,1461.04
Tyranitar,17,move,5,Ice Punch,28.7%,,,,,,,,,1461.04
Tyranitar,17,move,6,High Horsepower,18.0%,,,,,,,,,1467.73
Tyranitar,17,move,7,Dragon Dance,14.4%,,,,,,,,,1467.73
Tyranitar,17,move,8,Earthquake,8.0%,,,,,,,,,1467.73
Tyranitar,17,move,9,Crunch,5.2%,,,,,,,,,1467.73
Tyranitar,17,move,10,Brick Break,4.5%,,,,,,,,,1467.73
Tyranitar,17,held_item,1,Tyranitarite,65.6%,,,,,,,,,1471.76
Tyranitar,17,held_item,2,Choice Scarf,15.4%,,,,,,,,,1471.76
Tyranitar,17,held_item,3,Chople Berry,4.2%,,,,,,,,,1471.76
Tyranitar,17,held_item,4,Focus Sash,3.7%,,,,,,,,,1471.76
Tyranitar,17,held_item,5,Life Orb,2.6%,,,,,,,,,1471.76
Tyranitar,17,held_item,6,Leftovers,1.7%,,,,,,,,,1479.09
Tyranitar,17,held_item,7,Sitrus Berry,1.5%,,,,,,,,,1479.09
Tyranitar,17,held_item,8,Smooth Rock,0.9%,,,,,,,,,1479.09
Tyranitar,17,held_item,9,Quick Claw,0.6%,,,,,,,,,1479.09
Tyranitar,17,held_item,10,lron Ball,0.5%,,,,,,,,,1479.09
Tyranitar,17,teammate,1,Excadrill,,,,,,,,,,1485.54
Tyranitar,17,teammate,2,Sinistcha,,,,,,,,,,1485.54
Tyranitar,17,teammate,3,Staraptor,,,,,,,,,,1485.54
Tyranitar,17,teammate,4,Milotic,,,,,,,,,,1485.54
Tyranitar,17,teammate,5,Gholdengo,,,,,,,,,,1485.54
Tyranitar,17,teammate,6,Garchomp,,,,,,,,,,1488.43
Tyranitar,17,teammate,7,Incineroar,,,,,,,,,,1488.43
Tyranitar,17,teammate,8,Rotom Wash,,,,,,,,,,1488.43
Tyranitar,17,teammate,9,Sneasler,,,,,,,,,,1488.43
Tyranitar,17,teammate,10,Houndstone,,,,,,,,,,1488.43
Tyranitar,17,stat_alignment,1,Adamant,44.4%,Attack,Sp. Atk,,,,,,,1490.46
Tyranitar,17,stat_alignment,2,Jolly,41.2%,Speed,Sp. Atk,,,,,,,1490.46
Tyranitar,17,stat_alignment,3,Brave,7.3%,Attack,Speed,,,,,,,1490.46
Tyranitar,17,stat_alignment,4,Impish,2.5%,Defense,Sp. Atk,,,,,,,1490.46
Tyranitar,17,stat_alignment,5,Careful,2.1%,Sp. Def,Sp. Atk,,,,,,,1490.46
Tyranitar,17,stat_alignment,6,Relaxed,0.6%,Defense,Speed,,,,,,,1493.44
Tyranitar,17,stat_alignment,7,Sassy,0.6%,Sp. Def,Speed,,,,,,,1493.44
Tyranitar,17,stat_alignment,8,Modest,0.2%,Sp. Atk,Attack,,,,,,,1493.44
Tyranitar,17,stat_alignment,9,Naughty,0.2%,Attack,Sp. Def,,,,,,,1493.44
Tyranitar,17,stat_alignment,10,Quiet,0.2%,Sp. Atk,Speed,,,,,,,1493.44
Tyranitar,17,stat_points,1,,19.6%,,,2,32,0,0,0,32,1495.61
Tyranitar,17,stat_points,2,,12.7%,,,17,18,0,0,0,31,1495.61
Tyranitar,17,stat_points,3,,10.1%,,,0,32,2,0,0,32,1495.61
Tyranitar,17,stat_points,4,,6.8%,,,32,32,0,0,2,0,1495.61
Tyranitar,17,stat_points,5,,5.5%,,,32,32,2,0,0,0,1495.61
Tyranitar,17,stat_points,6,,1.4%,,,2,32,32,0,0,0,1517.75
Tyranitar,17,stat_points,7,,1.3%,,,0,32,0,0,2,32,1517.75
Tyranitar,17,stat_points,8,,0.9%,,,2,32,0,0,32,0,1517.75
Tyranitar,17,ability,1,Sand Stream,99.2%,,,,,,,,,1531.68
Tyranitar,17,ability,2,Unnerve,0.8%,,,,,,,,,1531.68
