pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Abomasnow,112,move,1,Blizzard,93.4%,,,,,,,,,32882.82
Abomasnow,112,move,2,Giga Drain,57.8%,,,,,,,,,32882.82
Abomasnow,112,move,3,Ice Shard,57.1%,,,,,,,,,32882.82
Abomasnow,112,move,4,Earth Power,57.0%,,,,,,,,,32882.82
Abomasnow,112,move,5,Aurora Veil,35.6%,,,,,,,,,32882.82
Abomasnow,112,move,6,Leaf Storm,23.5%,,,,,,,,,32889.60
Abomasnow,112,move,7,Leech Seed,18.2%,,,,,,,,,32889.60
Abomasnow,112,move,8,Focus Blast,11.2%,,,,,,,,,32889.60
Abomasnow,112,move,9,Sheer Cold,9.0%,,,,,,,,,32889.60
Abomasnow,112,move,10,Energy Ball,8.7%,,,,,,,,,32889.60
Abomasnow,112,held_item,1,Abomasite,57.2%,,,,,,,,,32893.50
Abomasnow,112,held_item,2,Light Clay,20.0%,,,,,,,,,32893.50
Abomasnow,112,held_item,3,Focus Sash,7.4%,,,,,,,,,32893.50
Abomasnow,112,held_item,4,Leftovers,3.5%,,,,,,,,,32893.50
Abomasnow,112,held_item,5,Sitrus Berry,2.1%,,,,,,,,,32893.50
Abomasnow,112,held_item,6,Never-Melt Ice,1.5%,,,,,,,,,32901.41
Abomasnow,112,held_item,7,Miracle Seed,1.3%,,,,,,,,,32901.41
Abomasnow,112,held_item,8,Expert Belt,1.1%,,,,,,,,,32901.41
Abomasnow,112,held_item,9,Life Orb,0.9%,,,,,,,,,32901.41
Abomasnow,112,held_item,10,Quick Claw,0.8%,,,,,,,,,32901.41
Abomasnow,112,teammate,1,Gyarados,,,,,,,,,,32908.37
Abomasnow,112,teammate,2,Garchomp,,,,,,,,,,32908.37
Abomasnow,112,teammate,3,Hydreigon,,,,,,,,,,32908.37
Abomasnow,112,teammate,4,Tyranitar,,,,,,,,,,32908.37
Abomasnow,112,teammate,5,Metagross,,,,,,,,,,32908.37
Abomasnow,112,teammate,6,Mimikyu,,,,,,,,,,32911.39
Abomasnow,112,teammate,7,Gholdengo,,,,,,,,,,32911.39
Abomasnow,112,teammate,8,Skeledirge,,,,,,,,,,32911.39
Abomasnow,112,teammate,9,Primarina,,,,,,,,,,32911.39
Abomasnow,112,teammate,10,Archaludon,,,,,,,,,,32911.39
Abomasnow,112,stat_alignment,1,Quiet,41.9%,Sp. Atk,Speed,,,,,,,32913.59
Abomasnow,112,stat_alignment,2,Modest,30.2%,Sp. Atk,Attack,,,,,,,32913.59
Abomasnow,112,stat_alignment,3,Bold,8.8%,Defense,Attack,,,,,,,32913.59
Abomasnow,112,stat_alignment,4,Relaxed,3.4%,Defense,Speed,,,,,,,32913.59
Abomasnow,112,stat_alignment,5,Calm,3.4%,Sp. Def,Attack,,,,,,,32913.59
Abomasnow,112,stat_alignment,6,Sassy,2.0%,Sp. Def,Speed,,,,,,,32916.76
Abomasnow,112,stat_alignment,7,Brave,1.8%,Attack,Speed,,,,,,,32916.76
Abomasnow,112,stat_alignment,8,Adamant,1.2%,Attack,Sp. Atk,,,,,,,32916.76
Abomasnow,112,stat_alignment,9,Timid,0.9%,Speed,Attack,,,,,,,32916.76
Abomasnow,112,stat_alignment,10,Rash,0.6%,Sp. Atk,Sp. Def,,,,,,,32916.76
Abomasnow,112,stat_points,1,,27.3%,,,32,0,2,32,0,0,32919.07
Abomasnow,112,stat_points,2,,7.6%,,,32,0,0,32,2,0,32919.07
Abomasnow,112,stat_points,3,,6.7%,,,32,0,0,32,0,2,32919.07
Abomasnow,112,stat_points,4,,4.4%,,,32,2,0,32,0,0,32919.07
Abomasnow,112,stat_points,5,,3.2%,,,2,0,32,32,0,0,32919.07
Abomasnow,112,stat_points,6,,2.7%,,,32,0,1,32,1,0,32943.11
Abomasnow,112,stat_points,7,,1.5%,,,32,0,2,0,32,0,32943.11
Abomasnow,112,stat_points,8,,1.5%,,,26,0,8,32,0,0,32943.11
Abomasnow,112,ability,1,Snow Warning,96.4%,,,,,,,,,32958.32
Abomasnow,112,ability,2,Soundproof,3.6%,,,,,,,,,32958.32
