pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Alolan Raichu,221,move,1,Psychic,57.0%,,,,,,,,,43328.81
Alolan Raichu,221,move,2,Electric Terrain,46.5%,,,,,,,,,43328.81
Alolan Raichu,221,move,3,Thunderbolt,43.0%,,,,,,,,,43328.81
Alolan Raichu,221,move,4,Rising Voltage,42.2%,,,,,,,,,43328.81
Alolan Raichu,221,move,5,Surf,20.7%,,,,,,,,,43328.81
Alolan Raichu,221,move,6,Grass Knot,20.3%,,,,,,,,,43333.99
Alolan Raichu,221,move,7,Alluring Voice,17.3%,,,,,,,,,43333.99
Alolan Raichu,221,move,8,Volt Switch,16.0%,,,,,,,,,43333.99
Alolan Raichu,221,move,9,Nasty Plot,12.0%,,,,,,,,,43333.99
Alolan Raichu,221,move,10,Focus Blast,10.9%,,,,,,,,,43333.99
Alolan Raichu,221,held_item,1,Focus Sash,33.5%,,,,,,,,,43337.85
Alolan Raichu,221,held_item,2,Life Orb,12.2%,,,,,,,,,43337.85
Alolan Raichu,221,held_item,3,Magnet,5.6%,,,,,,,,,43337.85
Alolan Raichu,221,held_item,4,Choice Scarf,2.9%,,,,,,,,,43337.85
Alolan Raichu,221,held_item,5,Wise Glasses,2.8%,,,,,,,,,43337.85
Alolan Raichu,221,held_item,6,Sitrus Berry,2.6%,,,,,,,,,43346.10
Alolan Raichu,221,held_item,7,Shuca Berry,2.1%,,,,,,,,,43346.10
Alolan Raichu,221,held_item,8,Quick Claw,2.0%,,,,,,,,,43346.10
Alolan Raichu,221,held_item,9,Expert Belt,2.0%,,,,,,,,,43346.10
Alolan Raichu,221,held_item,10,Raichunite Y,1.9%,,,,,,,,,43346.10
Alolan Raichu,221,teammate,1,Garchomp,,,,,,,,,,43353.34
Alolan Raichu,221,teammate,2,Mimikyu,,,,,,,,,,43353.34
Alolan Raichu,221,teammate,3,Charizard,,,,,,,,,,43353.34
Alolan Raichu,221,teammate,4,Blaziken,,,,,,,,,,43353.34
Alolan Raichu,221,teammate,5,Dragonite,,,,,,,,,,43353.34
Alolan Raichu,221,teammate,6,Metagross,,,,,,,,,,43356.36
Alolan Raichu,221,teammate,7,Meowscarada,,,,,,,,,,43356.36
Alolan Raichu,221,teammate,8,Primarina,,,,,,,,,,43356.36
Alolan Raichu,221,teammate,9,Archaludon,,,,,,,,,,43356.36
Alolan Raichu,221,teammate,10,Alolan Ninetales,,,,,,,,,,43356.36
Alolan Raichu,221,stat_alignment,1,Modest,50.9%,Sp. Atk,Attack,,,,,,,43358.63
Alolan Raichu,221,stat_alignment,2,Timid,31.3%,Speed,Attack,,,,,,,43358.63
Alolan Raichu,221,stat_alignment,3,Mild,3.7%,Sp. Atk,Defense,,,,,,,43358.63
Alolan Raichu,221,stat_alignment,4,Hasty,3.4%,Speed,Defense,,,,,,,43358.63
Alolan Raichu,221,stat_alignment,5,Bold,2.2%,Defense,Attack,,,,,,,43358.63
Alolan Raichu,221,stat_alignment,6,Impish,1.2%,Defense,Sp. Atk,,,,,,,43361.84
Alolan Raichu,221,stat_alignment,7,Calm,1.1%,Sp. Def,Attack,,,,,,,43361.84
Alolan Raichu,221,stat_alignment,8,Quiet,1.0%,Sp. Atk,Speed,,,,,,,43361.84
Alolan Raichu,221,stat_alignment,9,Gentle,0.8%,Sp. Def,Defense,,,,,,,43361.84
Alolan Raichu,221,stat_alignment,10,Jolly,0.7%,Speed,Sp. Atk,,,,,,,43361.84
Alolan Raichu,221,stat_points,1,,46.4%,,,2,0,0,32,0,32,43364.20
Alolan Raichu,221,stat_points,2,,9.8%,,,0,0,0,32,2,32,43364.20
Alolan Raichu,221,stat_points,3,,7.4%,,,0,0,2,32,0,32,43364.20
Alolan Raichu,221,stat_points,4,,2.6%,,,0,0,0,32,0,32,43364.20
Alolan Raichu,221,stat_points,5,,2.2%,,,32,0,2,32,0,0,43364.20
Alolan Raichu,221,stat_points,6,,2.0%,,,32,0,0,32,0,2,43387.64
Alolan Raichu,221,stat_points,7,,1.9%,,,0,2,0,32,0,32,43387.64
Alolan Raichu,221,stat_points,8,,1.8%,,,2,0,32,32,0,0,43387.64
Alolan Raichu,221,ability,1,Surge Surfer,100.0%,,,,,,,,,43402.60
