pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Gourgeist,235,move,1,Trick-or-Treat,63.2%,,,,,,,,,22118.67
Gourgeist,235,move,2,Poltergeist,43.5%,,,,,,,,,22118.67
Gourgeist,235,move,3,Power Whip,33.6%,,,,,,,,,22118.67
Gourgeist,235,move,4,Will-O-Wisp,28.5%,,,,,,,,,22118.67
Gourgeist,235,move,5,Trick Room,24.6%,,,,,,,,,22118.67
Gourgeist,235,move,6,Trick,23.1%,,,,,,,,,22123.35
Gourgeist,235,move,7,Phantom Force,19.6%,,,,,,,,,22123.35
Gourgeist,235,move,8,Seed Bomb,18.5%,,,,,,,,,22123.35
Gourgeist,235,move,9,Leech Seed,16.5%,,,,,,,,,22123.35
Gourgeist,235,move,10,Destiny Bond,16.3%,,,,,,,,,22123.35
Gourgeist,235,held_item,1,Choice Scarf,31.1%,,,,,,,,,22127.17
Gourgeist,235,held_item,2,Focus Sash,19.4%,,,,,,,,,22127.17
Gourgeist,235,held_item,3,Sitrus Berry,12.8%,,,,,,,,,22127.17
Gourgeist,235,held_item,4,Leftovers,6.1%,,,,,,,,,22127.17
Gourgeist,235,held_item,5,Life Orb,2.9%,,,,,,,,,22127.17
Gourgeist,235,held_item,6,Quick Claw,2.9%,,,,,,,,,22134.87
Gourgeist,235,held_item,7,Mental Herb,2.9%,,,,,,,,,22134.87
Gourgeist,235,held_item,8,Occa Berry,2.9%,,,,,,,,,22134.87
Gourgeist,235,held_item,9,Bright Powder,2.9%,,,,,,,,,22134.87
Gourgeist,235,held_item,10,Wide Lens,2.0%,,,,,,,,,22134.87
Gourgeist,235,teammate,1,Tyranitar,,,,,,,,,,22141.79
Gourgeist,235,teammate,2,Kingambit,,,,,,,,,,22141.79
Gourgeist,235,teammate,3,Milotic,,,,,,,,,,22141.79
Gourgeist,235,teammate,4,Incineroar,,,,,,,,,,22141.79
Gourgeist,235,teammate,5,Farigiraf,,,,,,,,,,22141.79
Gourgeist,235,teammate,6,Excadrill,,,,,,,,,,22144.82
Gourgeist,235,teammate,7,Sinistcha,,,,,,,,,,22144.82
Gourgeist,235,teammate,8,Sneasler,,,,,,,,,,22144.82
Gourgeist,235,teammate,9,Gengar,,,,,,,,,,22144.82
Gourgeist,235,teammate,10,Charizard,,,,,,,,,,22144.82
Gourgeist,235,stat_alignment,1,Jolly,46.2%,Speed,Sp. Atk,,,,,,,22146.98
Gourgeist,235,stat_alignment,2,Adamant,16.3%,Attack,Sp. Atk,,,,,,,22146.98
Gourgeist,235,stat_alignment,3,Brave,7.7%,Attack,Speed,,,,,,,22146.98
Gourgeist,235,stat_alignment,4,Timid,7.5%,Speed,Attack,,,,,,,22146.98
Gourgeist,235,stat_alignment,5,Impish,5.8%,Defense,Sp. Atk,,,,,,,22146.98
Gourgeist,235,stat_alignment,6,Careful,4.7%,Sp. Def,Sp. Atk,,,,,,,22150.16
Gourgeist,235,stat_alignment,7,Relaxed,3.6%,Defense,Speed,,,,,,,22150.16
Gourgeist,235,stat_alignment,8,Sassy,2.7%,Sp. Def,Speed,,,,,,,22150.16
Gourgeist,235,stat_alignment,9,Lonely,1.3%,Attack,Defense,,,,,,,22150.16
Gourgeist,235,stat_alignment,10,Calm,1.3%,Sp. Def,Attack,,,,,,,22150.16
Gourgeist,235,stat_points,1,,21.3%,,,2,32,0,0,0,32,22152.49
Gourgeist,235,stat_points,2,,5.8%,,,32,0,0,0,2,32,22152.49
Gourgeist,235,stat_points,3,,5.8%,,,0,32,2,0,0,32,22152.49
Gourgeist,235,stat_points,4,,5.0%,,,30,0,0,0,14,22,22152.49
Gourgeist,235,stat_points,5,,4.0%,,,32,0,2,0,32,0,22152.49
Gourgeist,235,stat_points,6,,2.6%,,,32,0,32,0,2,0,22175.97
Gourgeist,235,stat_points,7,,2.5%,,,0,32,0,0,32,2,22175.97
Gourgeist,235,stat_points,8,,2.4%,,,0,32,18,0,16,0,22175.97
Gourgeist,235,ability,1,Frisk,67.6%,,,,,,,,,22190.77
Gourgeist,235,ability,2,Insomnia,17.7%,,,,,,,,,22190.77
Gourgeist,235,ability,3,Pickup,14.6%,,,,,,,,,22190.77
