pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Mr. Rime,115,move,1,Freeze-Dry,70.2%,,,,,,,,,10615.30
Mr. Rime,115,move,2,Fake Out,47.6%,,,,,,,,,10615.30
Mr. Rime,115,move,3,Protect,42.8%,,,,,,,,,10615.30
Mr. Rime,115,move,4,Sheer Cold,37.8%,,,,,,,,,10615.30
Mr. Rime,115,move,5,Role Play,31.1%,,,,,,,,,10615.30
Mr. Rime,115,move,6,Trick Room,22.6%,,,,,,,,,10619.74
Mr. Rime,115,move,7,Psychic,22.4%,,,,,,,,,10619.74
Mr. Rime,115,move,8,Frost Breath,21.6%,,,,,,,,,10619.74
Mr. Rime,115,move,9,Charm,13.5%,,,,,,,,,10619.74
Mr. Rime,115,move,10,Blizzard,8.7%,,,,,,,,,10619.74
Mr. Rime,115,held_item,1,Focus Sash,36.2%,,,,,,,,,10623.30
Mr. Rime,115,held_item,2,Never-Melt Ice,19.7%,,,,,,,,,10623.30
Mr. Rime,115,held_item,3,Sitrus Berry,11.7%,,,,,,,,,10623.30
Mr. Rime,115,held_item,4,Leftovers,6.3%,,,,,,,,,10623.30
Mr. Rime,115,held_item,5,Quick Claw,4.5%,,,,,,,,,10623.30
Mr. Rime,115,held_item,6,Choice Scarf,2.7%,,,,,,,,,10630.70
Mr. Rime,115,held_item,7,Occa Berry,2.6%,,,,,,,,,10630.70
Mr. Rime,115,held_item,8,Colbur Berry,2.0%,,,,,,,,,10630.70
Mr. Rime,115,held_item,9,Bright Powder,2.0%,,,,,,,,,10630.70
Mr. Rime,115,held_item,10,Life Orb,1.8%,,,,,,,,,10630.70
Mr. Rime,115,teammate,1,Raichu,,,,,,,,,,10637.31
Mr. Rime,115,teammate,2,Sinistcha,,,,,,,,,,10637.31
Mr. Rime,115,teammate,3,Maushold Family of Four,,,,,,,,,,10637.31
Mr. Rime,115,teammate,4,Incineroar,,,,,,,,,,10637.31
Mr. Rime,115,teammate,5,Basculegion Male,,,,,,,,,,10637.31
Mr. Rime,115,teammate,6,Mawile,,,,,,,,,,10640.28
Mr. Rime,115,teammate,7,Malamar,,,,,,,,,,10640.28
Mr. Rime,115,teammate,8,Farigiraf,,,,,,,,,,10640.28
Mr. Rime,115,teammate,9,Kommo-o,,,,,,,,,,10640.28
Mr. Rime,115,teammate,10,Ceruledge,,,,,,,,,,10640.28
Mr. Rime,115,stat_alignment,1,Quiet,30.1%,Sp. Atk,Speed,,,,,,,10642.34
Mr. Rime,115,stat_alignment,2,Timid,28.2%,Speed,Attack,,,,,,,10642.34
Mr. Rime,115,stat_alignment,3,Modest,15.4%,Sp. Atk,Attack,,,,,,,10642.34
Mr. Rime,115,stat_alignment,4,Bold,10.0%,Defense,Attack,,,,,,,10642.34
Mr. Rime,115,stat_alignment,5,Relaxed,5.9%,Defense,Speed,,,,,,,10642.34
Mr. Rime,115,stat_alignment,6,Calm,4.4%,Sp. Def,Attack,,,,,,,10645.44
Mr. Rime,115,stat_alignment,7,Sassy,2.8%,Sp. Def,Speed,,,,,,,10645.44
Mr. Rime,115,stat_alignment,8,Jolly,1.0%,Speed,Sp. Atk,,,,,,,10645.44
Mr. Rime,115,stat_alignment,9,Mild,0.6%,Sp. Atk,Defense,,,,,,,10645.44
Mr. Rime,115,stat_alignment,10,Hasty,0.5%,Speed,Defense,,,,,,,10645.44
Mr. Rime,115,stat_points,1,,22.6%,,,32,0,2,32,0,0,10647.57
Mr. Rime,115,stat_points,2,,15.8%,,,2,0,0,32,0,32,10647.57
Mr. Rime,115,stat_points,3,,3.0%,,,32,0,25,0,9,0,10647.57
Mr. Rime,115,stat_points,4,,2.8%,,,32,0,2,0,0,32,10647.57
Mr. Rime,115,stat_points,5,,2.6%,,,32,0,32,0,2,0,10647.57
Mr. Rime,115,stat_points,6,,2.0%,,,0,0,0,32,2,32,10669.88
Mr. Rime,115,stat_points,7,,1.9%,,,2,0,0,32,32,0,10669.88
Mr. Rime,115,stat_points,8,,1.6%,,,2,0,32,0,32,0,10669.88
Mr. Rime,115,ability,1,Screen Cleaner,78.5%,,,,,,,,,10683.83
Mr. Rime,115,ability,2,Ice Body,16.7%,,,,,,,,,10683.83
Mr. Rime,115,ability,3,Tangled Feet,4.7%,,,,,,,,,10683.83
