pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Roserade,197,move,1,Sludge Bomb,89.3%,,,,,,,,,18485.27
Roserade,197,move,2,Protect,45.1%,,,,,,,,,18485.27
Roserade,197,move,3,Giga Drain,38.3%,,,,,,,,,18485.27
Roserade,197,move,4,Sleep Powder,34.9%,,,,,,,,,18485.27
Roserade,197,move,5,Dazzling Gleam,26.2%,,,,,,,,,18485.27
Roserade,197,move,6,Energy Ball,25.2%,,,,,,,,,18490.17
Roserade,197,move,7,Shadow Ball,23.2%,,,,,,,,,18490.17
Roserade,197,move,8,Leaf Storm,20.9%,,,,,,,,,18490.17
Roserade,197,move,9,Weather Ball,12.7%,,,,,,,,,18490.17
Roserade,197,move,10,Leech Seed,10.7%,,,,,,,,,18490.17
Roserade,197,held_item,1,Focus Sash,22.5%,,,,,,,,,18493.85
Roserade,197,held_item,2,Choice Scarf,15.6%,,,,,,,,,18493.85
Roserade,197,held_item,3,Life Orb,11.7%,,,,,,,,,18493.85
Roserade,197,held_item,4,Wide Lens,9.1%,,,,,,,,,18493.85
Roserade,197,held_item,5,Wise Glasses,5.9%,,,,,,,,,18493.85
Roserade,197,held_item,6,Big Root,4.9%,,,,,,,,,18501.26
Roserade,197,held_item,7,Sitrus Berry,4.8%,,,,,,,,,18501.26
Roserade,197,held_item,8,Miracle Seed,4.3%,,,,,,,,,18501.26
Roserade,197,held_item,9,Quick Claw,4.2%,,,,,,,,,18501.26
Roserade,197,held_item,10,Leftovers,3.7%,,,,,,,,,18501.26
Roserade,197,teammate,1,Garchomp,,,,,,,,,,18507.78
Roserade,197,teammate,2,Milotic,,,,,,,,,,18507.78
Roserade,197,teammate,3,Spiritomb,,,,,,,,,,18507.78
Roserade,197,teammate,4,Lucario,,,,,,,,,,18507.78
Roserade,197,teammate,5,Whimsicott,,,,,,,,,,18507.78
Roserade,197,teammate,6,Sylveon,,,,,,,,,,18510.77
Roserade,197,teammate,7,Aerodactyl,,,,,,,,,,18510.77
Roserade,197,teammate,8,Raichu,,,,,,,,,,18510.77
Roserade,197,teammate,9,Weavile,,,,,,,,,,18510.77
Roserade,197,teammate,10,Sneasler,,,,,,,,,,18510.77
Roserade,197,stat_alignment,1,Modest,45.5%,Sp. Atk,Attack,,,,,,,18512.92
Roserade,197,stat_alignment,2,Timid,37.9%,Speed,Attack,,,,,,,18512.92
Roserade,197,stat_alignment,3,Bold,4.0%,Defense,Attack,,,,,,,18512.92
Roserade,197,stat_alignment,4,Mild,2.8%,Sp. Atk,Defense,,,,,,,18512.92
Roserade,197,stat_alignment,5,Calm,2.6%,Sp. Def,Attack,,,,,,,18512.92
Roserade,197,stat_alignment,6,Quiet,2.6%,Sp. Atk,Speed,,,,,,,18516.02
Roserade,197,stat_alignment,7,Hasty,0.8%,Speed,Defense,,,,,,,18516.02
Roserade,197,stat_alignment,8,Naive,0.7%,Speed,Sp. Def,,,,,,,18516.02
Roserade,197,stat_alignment,9,Jolly,0.6%,Speed,Sp. Atk,,,,,,,18516.02
Roserade,197,stat_alignment,10,Adamant,0.6%,Attack,Sp. Atk,,,,,,,18516.02
Roserade,197,stat_points,1,,34.7%,,,2,0,0,32,0,32,18518.27
Roserade,197,stat_points,2,,10.3%,,,0,0,0,32,2,32,18518.27
Roserade,197,stat_points,3,,8.2%,,,0,0,2,32,0,32,18518.27
Roserade,197,stat_points,4,,3.5%,,,32,0,0,32,0,2,18518.27
Roserade,197,stat_points,5,,2.5%,,,32,0,2,32,0,0,18518.27
Roserade,197,stat_points,6,,2.2%,,,0,0,10,32,16,8,18540.63
Roserade,197,stat_points,7,,2.0%,,,32,0,0,32,2,0,18540.63
Roserade,197,stat_points,8,,1.6%,,,2,0,0,32,32,0,18540.63
Roserade,197,ability,1,Poison Point,64.4%,,,,,,,,,18554.74
Roserade,197,ability,2,Natural Cure,23.1%,,,,,,,,,18554.74
Roserade,197,ability,3,Technician,12.5%,,,,,,,,,18554.74
