pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Espeon,91,move,1,Psychic,73.5%,,,,,,,,,31061.00
Espeon,91,move,2,Alluring Voice,47.4%,,,,,,,,,31061.00
Espeon,91,move,3,Power Gem,35.8%,,,,,,,,,31061.00
Espeon,91,move,4,Trick,31.7%,,,,,,,,,31061.00
Espeon,91,move,5,Shadow Ball,29.6%,,,,,,,,,31061.00
Espeon,91,move,6,Grass Knot,28.4%,,,,,,,,,31065.67
Espeon,91,move,7,Yawn,23.5%,,,,,,,,,31065.67
Espeon,91,move,8,Dazzling Gleam,17.8%,,,,,,,,,31065.67
Espeon,91,move,9,Calm Mind,17.4%,,,,,,,,,31065.67
Espeon,91,move,10,Reflect,1.4%,,,,,,,,,31065.67
Espeon,91,held_item,1,Choice Scarf,35.9%,,,,,,,,,31069.47
Espeon,91,held_item,2,Focus Sash,21.1%,,,,,,,,,31069.47
Espeon,91,held_item,3,Light Clay,8.9%,,,,,,,,,31069.47
Espeon,91,held_item,4,Sitrus Berry,7.6%,,,,,,,,,31069.47
Espeon,91,held_item,5,Life Orb,5.9%,,,,,,,,,31069.47
Espeon,91,held_item,6,Leftovers,5.3%,,,,,,,,,31077.50
Espeon,91,held_item,7,Expert Belt,3.0%,,,,,,,,,31077.50
Espeon,91,held_item,8,Bright Powder,2.2%,,,,,,,,,31077.50
Espeon,91,held_item,9,Twisted Spoon,1.9%,,,,,,,,,31077.50
Espeon,91,held_item,10,Wise Glasses,1.8%,,,,,,,,,31077.50
Espeon,91,teammate,1,Umbreon,,,,,,,,,,31084.84
Espeon,91,teammate,2,Garchomp,,,,,,,,,,31084.84
Espeon,91,teammate,3,Charizard,,,,,,,,,,31084.84
Espeon,91,teammate,4,Sylveon,,,,,,,,,,31084.84
Espeon,91,teammate,5,Vaporeon,,,,,,,,,,31084.84
Espeon,91,teammate,6,Gyarados,,,,,,,,,,31087.90
Espeon,91,teammate,7,Meowscarada,,,,,,,,,,31087.90
Espeon,91,teammate,8,Mimikyu,,,,,,,,,,31087.90
Espeon,91,teammate,9,Blaziken,,,,,,,,,,31087.90
Espeon,91,teammate,10,Raichu,,,,,,,,,,31087.90
Espeon,91,stat_alignment,1,Timid,58.2%,Speed,Attack,,,,,,,31090.11
Espeon,91,stat_alignment,2,Modest,27.4%,Sp. Atk,Attack,,,,,,,31090.11
Espeon,91,stat_alignment,3,Bold,6.7%,Defense,Attack,,,,,,,31090.11
Espeon,91,stat_alignment,4,Calm,3.2%,Sp. Def,Attack,,,,,,,31090.11
Espeon,91,stat_alignment,5,Mild,0.6%,Sp. Atk,Defense,,,,,,,31090.11
Espeon,91,stat_alignment,6,Hasty,0.4%,Speed,Defense,,,,,,,31093.32
Espeon,91,stat_alignment,7,Quiet,0.4%,Sp. Atk,Speed,,,,,,,31093.32
Espeon,91,stat_alignment,8,Sassy,0.2%,Sp. Def,Speed,,,,,,,31093.32
Espeon,91,stat_alignment,9,Relaxed,0.2%,Defense,Speed,,,,,,,31093.32
Espeon,91,stat_alignment,10,Gentle,0.2%,Sp. Def,Defense,,,,,,,31093.32
Espeon,91,stat_points,1,,30.5%,,,2,0,0,32,0,32,31095.63
Espeon,91,stat_points,2,,8.6%,,,0,0,0,32,2,32,31095.63
Espeon,91,stat_points,3,,7.0%,,,1,0,1,32,0,32,31095.63
Espeon,91,stat_points,4,,6.1%,,,0,0,2,32,0,32,31095.63
Espeon,91,stat_points,5,,3.5%,,,1,0,0,32,1,32,31095.63
Espeon,91,stat_points,6,,2.2%,,,0,0,0,32,0,32,31120.60
Espeon,91,stat_points,7,,1.5%,,,32,0,2,0,0,32,31120.60
Espeon,91,stat_points,8,,1.2%,,,32,0,0,2,0,32,31120.60
Espeon,91,ability,1,Magic Bounce,98.3%,,,,,,,,,31136.35
Espeon,91,ability,2,Synchronize,1.7%,,,,,,,,,31136.35
