pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Ninetales,155,move,1,Encore,55.6%,,,,,,,,,37871.50
Ninetales,155,move,2,Will-O-Wisp,48.0%,,,,,,,,,37871.50
Ninetales,155,move,3,Solar Beam,44.7%,,,,,,,,,37871.50
Ninetales,155,move,4,Flamethrower,39.9%,,,,,,,,,37871.50
Ninetales,155,move,5,Memento,36.5%,,,,,,,,,37871.50
Ninetales,155,move,6,Mystical Fire,23.5%,,,,,,,,,37876.24
Ninetales,155,move,7,Nasty Plot,18.5%,,,,,,,,,37876.24
Ninetales,155,move,8,Overheat,16.9%,,,,,,,,,37876.24
Ninetales,155,move,9,Baton Pass,16.2%,,,,,,,,,37876.24
Ninetales,155,move,10,Weather Ball,14.5%,,,,,,,,,37876.24
Ninetales,155,held_item,1,Heat Rock,60.8%,,,,,,,,,37880.20
Ninetales,155,held_item,2,Focus Sash,8.3%,,,,,,,,,37880.20
Ninetales,155,held_item,3,Choice Scarf,5.4%,,,,,,,,,37880.20
Ninetales,155,held_item,4,Sitrus Berry,4.2%,,,,,,,,,37880.20
Ninetales,155,held_item,5,Life Orb,3.8%,,,,,,,,,37880.20
Ninetales,155,held_item,6,Charcoal,3.7%,,,,,,,,,37888.15
Ninetales,155,held_item,7,Shuca Berry,3.5%,,,,,,,,,37888.15
Ninetales,155,held_item,8,Leftovers,1.7%,,,,,,,,,37888.15
Ninetales,155,held_item,9,Wide Lens,1.3%,,,,,,,,,37888.15
Ninetales,155,held_item,10,Quick Claw,1.2%,,,,,,,,,37888.15
Ninetales,155,teammate,1,Venusaur,,,,,,,,,,37895.60
Ninetales,155,teammate,2,Garchomp,,,,,,,,,,37895.60
Ninetales,155,teammate,3,Pyroar,,,,,,,,,,37895.60
Ninetales,155,teammate,4,Greninja,,,,,,,,,,37895.60
Ninetales,155,teammate,5,Charizard,,,,,,,,,,37895.60
Ninetales,155,teammate,6,Dragonite,,,,,,,,,,37898.67
Ninetales,155,teammate,7,Whimsicott,,,,,,,,,,37898.67
Ninetales,155,teammate,8,Metagross,,,,,,,,,,37898.67
Ninetales,155,teammate,9,Basculegion Male,,,,,,,,,,37898.67
Ninetales,155,teammate,10,Gyarados,,,,,,,,,,37898.67
Ninetales,155,stat_alignment,1,Timid,67.5%,Speed,Attack,,,,,,,37900.84
Ninetales,155,stat_alignment,2,Modest,18.7%,Sp. Atk,Attack,,,,,,,37900.84
Ninetales,155,stat_alignment,3,Bold,5.0%,Defense,Attack,,,,,,,37900.84
Ninetales,155,stat_alignment,4,Calm,4.1%,Sp. Def,Attack,,,,,,,37900.84
Ninetales,155,stat_alignment,5,Jolly,1.0%,Speed,Sp. Atk,,,,,,,37900.84
Ninetales,155,stat_alignment,6,Mild,1.0%,Sp. Atk,Defense,,,,,,,37904.03
Ninetales,155,stat_alignment,7,Hasty,0.6%,Speed,Defense,,,,,,,37904.03
Ninetales,155,stat_alignment,8,Quiet,0.4%,Sp. Atk,Speed,,,,,,,37904.03
Ninetales,155,stat_alignment,9,Relaxed,0.4%,Defense,Speed,,,,,,,37904.03
Ninetales,155,stat_alignment,10,Adamant,0.2%,Attack,Sp. Atk,,,,,,,37904.03
Ninetales,155,stat_points,1,,23.9%,,,2,0,0,32,0,32,37906.35
Ninetales,155,stat_points,2,,9.5%,,,27,0,1,5,1,32,37906.35
Ninetales,155,stat_points,3,,8.3%,,,31,0,0,0,14,21,37906.35
Ninetales,155,stat_points,4,,4.8%,,,0,0,2,32,0,32,37906.35
Ninetales,155,stat_points,5,,4.6%,,,1,0,1,32,0,32,37906.35
Ninetales,155,stat_points,6,,1.8%,,,32,0,0,0,2,32,37931.34
Ninetales,155,stat_points,7,,1.4%,,,31,0,1,1,1,32,37931.34
Ninetales,155,stat_points,8,,1.4%,,,1,0,0,32,1,32,37931.34
Ninetales,155,ability,1,Drought,96.1%,,,,,,,,,37946.63
Ninetales,155,ability,2,Flash Fire,3.9%,,,,,,,,,37946.63
