pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Vileplume,88,move,1,Strength Sap,94.9%,,,,,,,,,30774.84
Vileplume,88,move,2,Leech Seed,87.6%,,,,,,,,,30774.84
Vileplume,88,move,3,Giga Drain,71.2%,,,,,,,,,30774.84
Vileplume,88,move,4,Acid Spray,36.8%,,,,,,,,,30774.84
Vileplume,88,move,5,Toxic,30.2%,,,,,,,,,30774.84
Vileplume,88,move,6,Sludge Bomb,23.2%,,,,,,,,,30781.00
Vileplume,88,move,7,Moonblast,11.9%,,,,,,,,,30781.00
Vileplume,88,move,8,Sludge Wave,9.6%,,,,,,,,,30781.00
Vileplume,88,move,9,Sleep Powder,8.0%,,,,,,,,,30781.00
Vileplume,88,move,10,Protect,7.0%,,,,,,,,,30781.00
Vileplume,88,held_item,1,Leftovers,49.6%,,,,,,,,,30786.08
Vileplume,88,held_item,2,Big Root,24.2%,,,,,,,,,30786.08
Vileplume,88,held_item,3,Sitrus Berry,8.9%,,,,,,,,,30786.08
Vileplume,88,held_item,4,Bright Powder,6.0%,,,,,,,,,30786.08
Vileplume,88,held_item,5,Focus Sash,1.8%,,,,,,,,,30786.08
Vileplume,88,held_item,6,Zoom Lens,1.6%,,,,,,,,,30794.12
Vileplume,88,held_item,7,Wide Lens,1.5%,,,,,,,,,30794.12
Vileplume,88,held_item,8,Life Orb,1.1%,,,,,,,,,30794.12
Vileplume,88,held_item,9,Quick Claw,1.1%,,,,,,,,,30794.12
Vileplume,88,held_item,10,Occa Berry,0.8%,,,,,,,,,30794.12
Vileplume,88,teammate,1,Metagross,,,,,,,,,,30801.30
Vileplume,88,teammate,2,Garchomp,,,,,,,,,,30801.30
Vileplume,88,teammate,3,Primarina,,,,,,,,,,30801.30
Vileplume,88,teammate,4,Hydreigon,,,,,,,,,,30801.30
Vileplume,88,teammate,5,Dragonite,,,,,,,,,,30801.30
Vileplume,88,teammate,6,Mimikyu,,,,,,,,,,30804.31
Vileplume,88,teammate,7,Charizard,,,,,,,,,,30804.31
Vileplume,88,teammate,8,Delphox,,,,,,,,,,30804.31
Vileplume,88,teammate,9,Ceruledge,,,,,,,,,,30804.31
Vileplume,88,teammate,10,Gyarados,,,,,,,,,,30804.31
Vileplume,88,stat_alignment,1,Bold,80.0%,Defense,Attack,,,,,,,30806.42
Vileplume,88,stat_alignment,2,Calm,9.4%,Sp. Def,Attack,,,,,,,30806.42
Vileplume,88,stat_alignment,3,Modest,4.2%,Sp. Atk,Attack,,,,,,,30806.42
Vileplume,88,stat_alignment,4,Relaxed,2.2%,Defense,Speed,,,,,,,30806.42
Vileplume,88,stat_alignment,5,Timid,1.5%,Speed,Attack,,,,,,,30806.42
Vileplume,88,stat_alignment,6,Sassy,0.9%,Sp. Def,Speed,,,,,,,30809.63
Vileplume,88,stat_alignment,7,Quiet,0.7%,Sp. Atk,Speed,,,,,,,30809.63
Vileplume,88,stat_alignment,8,Impish,0.5%,Defense,Sp. Atk,,,,,,,30809.63
Vileplume,88,stat_alignment,9,Mild,0.1%,Sp. Atk,Defense,,,,,,,30809.63
Vileplume,88,stat_alignment,10,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,,30809.63
Vileplume,88,stat_points,1,,26.8%,,,32,0,32,0,2,0,30812.07
Vileplume,88,stat_points,2,,21.8%,,,31,0,31,0,4,0,30812.07
Vileplume,88,stat_points,3,,6.7%,,,31,0,32,0,3,0,30812.07
Vileplume,88,stat_points,4,,4.0%,,,32,0,32,2,0,0,30812.07
Vileplume,88,stat_points,5,,2.8%,,,32,0,2,0,32,0,30812.07
Vileplume,88,stat_points,6,,2.0%,,,32,0,32,0,0,2,30837.35
Vileplume,88,stat_points,7,,1.8%,,,32,0,32,0,0,0,30837.35
Vileplume,88,stat_points,8,,1.7%,,,29,0,32,0,2,3,30837.35
Vileplume,88,ability,1,Effect Spore,93.0%,,,,,,,,,30853.10
Vileplume,88,ability,2,Chlorophyll,7.0%,,,,,,,,,30853.10
