pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Castform,216,move,1,Weather Ball,95.1%,,,,,,,,
Castform,216,move,2,Thunder,62.2%,,,,,,,,
Castform,216,move,3,Protect,46.3%,,,,,,,,
Castform,216,move,4,Solar Beam,34.7%,,,,,,,,
Castform,216,move,5,Blizzard,27.2%,,,,,,,,
Castform,216,move,6,Hurricane,21.6%,,,,,,,,
Castform,216,move,7,Icy Wind,18.4%,,,,,,,,
Castform,216,move,8,Energy Ball,13.0%,,,,,,,,
Castform,216,move,9,Ice Beam,11.2%,,,,,,,,
Castform,216,move,10,Rain Dance,9.1%,,,,,,,,
Castform,216,held_item,1,Life Orb,33.8%,,,,,,,,
Castform,216,held_item,2,Choice Scarf,16.3%,,,,,,,,
Castform,216,held_item,3,Focus Sash,13.9%,,,,,,,,
Castform,216,held_item,4,Expert Belt,12.8%,,,,,,,,
Castform,216,held_item,5,Quick Claw,5.4%,,,,,,,,
Castform,216,held_item,6,Leftovers,5.1%,,,,,,,,
Castform,216,held_item,7,Sitrus Berry,4.7%,,,,,,,,
Castform,216,held_item,8,Never-Melt Ice,3.1%,,,,,,,,
Castform,216,held_item,9,Wise Glasses,2.6%,,,,,,,,
Castform,216,held_item,10,Bright Powder,1.7%,,,,,,,,
Castform,216,teammate,1,Pelipper,,,,,,,,,
Castform,216,teammate,2,Froslass,,,,,,,,,
Castform,216,teammate,3,Torkoal,,,,,,,,,
Castform,216,teammate,4,Charizard,,,,,,,,,
Castform,216,teammate,5,Alolan Ninetales,,,,,,,,,
Castform,216,teammate,6,Archaludon,,,,,,,,,
Castform,216,teammate,7,Sableye,,,,,,,,,
Castform,216,teammate,8,Garchomp,,,,,,,,,
Castform,216,teammate,9,Sinistcha,,,,,,,,,
Castform,216,teammate,10,Vanilluxe,,,,,,,,,
Castform,216,stat_alignment,1,Modest,54.2%,Sp. Atk,Attack,,,,,,
Castform,216,stat_alignment,2,Timid,28.4%,Speed,Attack,,,,,,
Castform,216,stat_alignment,3,Quiet,6.3%,Sp. Atk,Speed,,,,,,
Castform,216,stat_alignment,4,Calm,2.6%,Sp. Def,Attack,,,,,,
Castform,216,stat_alignment,5,Bold,2.2%,Defense,Attack,,,,,,
Castform,216,stat_alignment,6,Brave,1.9%,Attack,Speed,,,,,,
Castform,216,stat_alignment,7,Mild,1.5%,Sp. Atk,Defense,,,,,,
Castform,216,stat_alignment,8,Hasty,0.8%,Speed,Defense,,,,,,
Castform,216,stat_alignment,9,Relaxed,0.7%,Defense,Speed,,,,,,
Castform,216,stat_alignment,10,Naive,0.6%,Speed,Sp. Def,,,,,,
Castform,216,stat_points,1,,43.3%,,,2,0,0,32,0,32
Castform,216,stat_points,2,,4.7%,,,0,0,1,32,1,32
Castform,216,stat_points,3,,4.6%,,,0,0,0,32,2,32
Castform,216,stat_points,4,,4.6%,,,32,0,2,32,0,0
Castform,216,stat_points,5,,4.5%,,,32,0,0,32,2,0
Castform,216,stat_points,6,,2.7%,,,0,0,0,32,0,32
Castform,216,stat_points,7,,2.2%,,,32,0,1,32,1,0
Castform,216,stat_points,8,,2.1%,,,0,0,20,32,14,0
Castform,216,ability,1,Forecast,100.0%,,,,,,,,
