pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mimikyu,66,move,1,Play Rough,86.7%,,,,,,,,
Mimikyu,66,move,2,Shadow Sneak,66.8%,,,,,,,,
Mimikyu,66,move,3,Trick Room,51.2%,,,,,,,,
Mimikyu,66,move,4,Swords Dance,38.5%,,,,,,,,
Mimikyu,66,move,5,Shadow Claw,31.5%,,,,,,,,
Mimikyu,66,move,6,Protect,19.7%,,,,,,,,
Mimikyu,66,move,7,Drain Punch,18.3%,,,,,,,,
Mimikyu,66,move,8,Phantom Force,13.0%,,,,,,,,
Mimikyu,66,move,9,Will-O-Wisp,12.8%,,,,,,,,
Mimikyu,66,move,10,Wood Hammer,12.4%,,,,,,,,
Mimikyu,66,held_item,1,Life Orb,56.3%,,,,,,,,
Mimikyu,66,held_item,2,Mental Herb,12.0%,,,,,,,,
Mimikyu,66,held_item,3,Sitrus Berry,9.3%,,,,,,,,
Mimikyu,66,held_item,4,Leftovers,6.4%,,,,,,,,
Mimikyu,66,held_item,5,Spell Tag,3.7%,,,,,,,,
Mimikyu,66,held_item,6,Lum Berry,3.5%,,,,,,,,
Mimikyu,66,held_item,7,Quick Claw,3.2%,,,,,,,,
Mimikyu,66,held_item,8,Fairy Feather,3.1%,,,,,,,,
Mimikyu,66,held_item,9,Bright Powder,3.1%,,,,,,,,
Mimikyu,66,held_item,10,Iron Ball,1.9%,,,,,,,,
Mimikyu,66,teammate,1,Garchomp,,,,,,,,,
Mimikyu,66,teammate,2,Incineroar,,,,,,,,,
Mimikyu,66,teammate,3,Sinistcha,,,,,,,,,
Mimikyu,66,teammate,4,Farigiraf,,,,,,,,,
Mimikyu,66,teammate,5,Whimsicott,,,,,,,,,
Mimikyu,66,teammate,6,Kingambit,,,,,,,,,
Mimikyu,66,teammate,7,Charizard,,,,,,,,,
Mimikyu,66,teammate,8,Torkoal,,,,,,,,,
Mimikyu,66,teammate,9,Sylveon,,,,,,,,,
Mimikyu,66,teammate,10,Basculegion Male,,,,,,,,,
Mimikyu,66,stat_alignment,1,Adamant,48.7%,Attack,Sp. Atk,,,,,,
Mimikyu,66,stat_alignment,2,Brave,21.1%,Attack,Speed,,,,,,
Mimikyu,66,stat_alignment,3,Jolly,12.9%,Speed,Sp. Atk,,,,,,
Mimikyu,66,stat_alignment,4,Relaxed,4.0%,Defense,Speed,,,,,,
Mimikyu,66,stat_alignment,5,Impish,2.9%,Defense,Sp. Atk,,,,,,
Mimikyu,66,stat_alignment,6,Careful,2.4%,Sp. Def,Sp. Atk,,,,,,
Mimikyu,66,stat_alignment,7,Sassy,2.1%,Sp. Def,Speed,,,,,,
Mimikyu,66,stat_alignment,8,Naughty,1.7%,Attack,Sp. Def,,,,,,
Mimikyu,66,stat_alignment,9,Lonely,1.2%,Attack,Defense,,,,,,
Mimikyu,66,stat_alignment,10,Hasty,0.8%,Speed,Defense,,,,,,
Mimikyu,66,stat_points,1,,17.9%,,,32,32,2,0,0,0
Mimikyu,66,stat_points,2,,13.8%,,,2,32,0,0,0,32
Mimikyu,66,stat_points,3,,6.0%,,,32,32,0,0,2,0
Mimikyu,66,stat_points,4,,5.7%,,,0,32,2,0,0,32
Mimikyu,66,stat_points,5,,3.9%,,,0,32,0,0,2,32
Mimikyu,66,stat_points,6,,2.5%,,,32,32,0,0,0,2
Mimikyu,66,stat_points,7,,2.3%,,,0,32,32,0,2,0
Mimikyu,66,stat_points,8,,2.2%,,,0,32,2,0,32,0
Mimikyu,66,ability,1,Disguise,100.0%,,,,,,,,
