pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pinsir,176,move,1,Feint,72.9%,,,,,,,,
Pinsir,176,move,2,Body Slam,65.9%,,,,,,,,
Pinsir,176,move,3,Storm Throw,65.1%,,,,,,,,
Pinsir,176,move,4,Protect,54.0%,,,,,,,,
Pinsir,176,move,5,Detect,26.5%,,,,,,,,
Pinsir,176,move,6,Lunge,14.6%,,,,,,,,
Pinsir,176,move,7,Giga Impact,13.8%,,,,,,,,
Pinsir,176,move,8,Rock Slide,13.4%,,,,,,,,
Pinsir,176,move,9,Close Combat,12.4%,,,,,,,,
Pinsir,176,move,10,Quick Attack,11.0%,,,,,,,,
Pinsir,176,held_item,1,Pinsirite,92.0%,,,,,,,,
Pinsir,176,held_item,2,Focus Sash,2.0%,,,,,,,,
Pinsir,176,held_item,3,Choice Scarf,1.4%,,,,,,,,
Pinsir,176,held_item,4,Life Orb,1.2%,,,,,,,,
Pinsir,176,held_item,5,Sitrus Berry,0.8%,,,,,,,,
Pinsir,176,held_item,6,Quick Claw,0.4%,,,,,,,,
Pinsir,176,held_item,7,Expert Belt,0.4%,,,,,,,,
Pinsir,176,held_item,8,Muscle Band,0.3%,,,,,,,,
Pinsir,176,held_item,9,Leftovers,0.2%,,,,,,,,
Pinsir,176,held_item,10,Occa Berry,0.2%,,,,,,,,
Pinsir,176,teammate,1,Paldean Tauros Aqua Breed,,,,,,,,,
Pinsir,176,teammate,2,Whimsicott,,,,,,,,,
Pinsir,176,teammate,3,Farigiraf,,,,,,,,,
Pinsir,176,teammate,4,Metagross,,,,,,,,,
Pinsir,176,teammate,5,Talonflame,,,,,,,,,
Pinsir,176,teammate,6,Garchomp,,,,,,,,,
Pinsir,176,teammate,7,Sneasler,,,,,,,,,
Pinsir,176,teammate,8,Kingambit,,,,,,,,,
Pinsir,176,teammate,9,Incineroar,,,,,,,,,
Pinsir,176,teammate,10,Blastoise,,,,,,,,,
Pinsir,176,stat_alignment,1,Jolly,70.2%,Speed,Sp. Atk,,,,,,
Pinsir,176,stat_alignment,2,Adamant,21.5%,Attack,Sp. Atk,,,,,,
Pinsir,176,stat_alignment,3,Timid,2.9%,Speed,Attack,,,,,,
Pinsir,176,stat_alignment,4,Careful,1.2%,Sp. Def,Sp. Atk,,,,,,
Pinsir,176,stat_alignment,5,Impish,0.9%,Defense,Sp. Atk,,,,,,
Pinsir,176,stat_alignment,6,Brave,0.8%,Attack,Speed,,,,,,
Pinsir,176,stat_alignment,7,Bold,0.6%,Defense,Attack,,,,,,
Pinsir,176,stat_alignment,8,Hasty,0.3%,Speed,Defense,,,,,,
Pinsir,176,stat_alignment,9,Naive,0.3%,Speed,Sp. Def,,,,,,
Pinsir,176,stat_alignment,10,Sassy,0.3%,Sp. Def,Speed,,,,,,
Pinsir,176,stat_points,1,,26.8%,,,2,32,0,0,0,32
Pinsir,176,stat_points,2,,14.6%,,,1,32,1,0,0,32
Pinsir,176,stat_points,3,,14.2%,,,32,0,2,0,0,32
Pinsir,176,stat_points,4,,5.8%,,,0,32,2,0,0,32
Pinsir,176,stat_points,5,,5.0%,,,31,0,3,0,0,32
Pinsir,176,stat_points,6,,1.5%,,,4,32,0,0,0,30
Pinsir,176,stat_points,7,,1.3%,,,0,32,0,0,0,32
Pinsir,176,stat_points,8,,1.2%,,,32,32,0,0,2,0
Pinsir,176,ability,1,Hyper Cutter,76.3%,,,,,,,,
Pinsir,176,ability,2,Moxie,15.0%,,,,,,,,
Pinsir,176,ability,3,Mold Breaker,8.7%,,,,,,,,
