pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Tsareena,152,move,1,Triple Axel,85.3%,,,,,,,,
Tsareena,152,move,2,High Jump Kick,68.5%,,,,,,,,
Tsareena,152,move,3,Trop Kick,67.8%,,,,,,,,
Tsareena,152,move,4,Rapid Spin,31.3%,,,,,,,,
Tsareena,152,move,5,Power Whip,28.7%,,,,,,,,
Tsareena,152,move,6,Knock Off,26.0%,,,,,,,,
Tsareena,152,move,7,U-turn,22.7%,,,,,,,,
Tsareena,152,move,8,Play Rough,11.1%,,,,,,,,
Tsareena,152,move,9,Taunt,10.2%,,,,,,,,
Tsareena,152,move,10,Synthesis,8.5%,,,,,,,,
Tsareena,152,held_item,1,Wide Lens,32.9%,,,,,,,,
Tsareena,152,held_item,2,Sitrus Berry,17.3%,,,,,,,,
Tsareena,152,held_item,3,Choice Scarf,14.0%,,,,,,,,
Tsareena,152,held_item,4,Focus Sash,9.3%,,,,,,,,
Tsareena,152,held_item,5,Life Orb,7.6%,,,,,,,,
Tsareena,152,held_item,6,Quick Claw,5.6%,,,,,,,,
Tsareena,152,held_item,7,Lum Berry,4.7%,,,,,,,,
Tsareena,152,held_item,8,Expert Belt,4.3%,,,,,,,,
Tsareena,152,held_item,9,Leftovers,2.5%,,,,,,,,
Tsareena,152,held_item,10,Miracle Seed,1.4%,,,,,,,,
Tsareena,152,teammate,1,Garchomp,,,,,,,,,
Tsareena,152,teammate,2,Delphox,,,,,,,,,
Tsareena,152,teammate,3,Primarina,,,,,,,,,
Tsareena,152,teammate,4,Charizard,,,,,,,,,
Tsareena,152,teammate,5,Mimikyu,,,,,,,,,
Tsareena,152,teammate,6,Blaziken,,,,,,,,,
Tsareena,152,teammate,7,Metagross,,,,,,,,,
Tsareena,152,teammate,8,Dragonite,,,,,,,,,
Tsareena,152,teammate,9,Archaludon,,,,,,,,,
Tsareena,152,teammate,10,Raichu,,,,,,,,,
Tsareena,152,stat_alignment,1,Adamant,57.2%,Attack,Sp. Atk,,,,,,
Tsareena,152,stat_alignment,2,Jolly,28.0%,Speed,Sp. Atk,,,,,,
Tsareena,152,stat_alignment,3,Impish,8.2%,Defense,Sp. Atk,,,,,,
Tsareena,152,stat_alignment,4,Careful,2.2%,Sp. Def,Sp. Atk,,,,,,
Tsareena,152,stat_alignment,5,Brave,1.5%,Attack,Speed,,,,,,
Tsareena,152,stat_alignment,6,Naughty,1.0%,Attack,Sp. Def,,,,,,
Tsareena,152,stat_alignment,7,Lonely,0.4%,Attack,Defense,,,,,,
Tsareena,152,stat_alignment,8,Hasty,0.2%,Speed,Defense,,,,,,
Tsareena,152,stat_alignment,9,Timid,0.2%,Speed,Attack,,,,,,
Tsareena,152,stat_alignment,10,Naive,0.2%,Speed,Sp. Def,,,,,,
Tsareena,152,stat_points,1,,30.8%,,,2,32,0,0,0,32
Tsareena,152,stat_points,2,,5.1%,,,32,32,2,0,0,0
Tsareena,152,stat_points,3,,4.9%,,,0,32,2,0,0,32
Tsareena,152,stat_points,4,,4.0%,,,32,10,22,0,0,2
Tsareena,152,stat_points,5,,3.6%,,,0,32,0,0,2,32
Tsareena,152,stat_points,6,,2.0%,,,32,32,0,0,2,0
Tsareena,152,stat_points,7,,1.7%,,,32,0,32,0,2,0
Tsareena,152,stat_points,8,,1.7%,,,32,32,1,0,1,0
Tsareena,152,ability,1,Queenly Majesty,84.6%,,,,,,,,
Tsareena,152,ability,2,Sweet Veil,14.4%,,,,,,,,
Tsareena,152,ability,3,Leaf Guard,1.0%,,,,,,,,
