pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Malamar,52,move,1,Superpower,93.8%,,,,,,,,
Malamar,52,move,2,Knock Off,66.2%,,,,,,,,
Malamar,52,move,3,Protect,64.4%,,,,,,,,
Malamar,52,move,4,Trick Room,31.3%,,,,,,,,
Malamar,52,move,5,Psycho Cut,18.4%,,,,,,,,
Malamar,52,move,6,Psych Up,16.7%,,,,,,,,
Malamar,52,move,7,Rest,14.8%,,,,,,,,
Malamar,52,move,8,Throat Chop,13.4%,,,,,,,,
Malamar,52,move,9,Skill Swap,10.8%,,,,,,,,
Malamar,52,move,10,Stored Power,10.2%,,,,,,,,
Malamar,52,held_item,1,Malamarite,67.8%,,,,,,,,
Malamar,52,held_item,2,Roseli Berry,12.2%,,,,,,,,
Malamar,52,held_item,3,Sitrus Berry,5.1%,,,,,,,,
Malamar,52,held_item,4,Leftovers,4.4%,,,,,,,,
Malamar,52,held_item,5,Iron Ball,2.5%,,,,,,,,
Malamar,52,held_item,6,Focus Sash,1.9%,,,,,,,,
Malamar,52,held_item,7,Quick Claw,1.0%,,,,,,,,
Malamar,52,held_item,8,Choice Scarf,1.0%,,,,,,,,
Malamar,52,held_item,9,Life Orb,0.4%,,,,,,,,
Malamar,52,held_item,10,Shell Bell,0.4%,,,,,,,,
Malamar,52,teammate,1,Whimsicott,,,,,,,,,
Malamar,52,teammate,2,Sinistcha,,,,,,,,,
Malamar,52,teammate,3,Maushold Family of Four,,,,,,,,,
Malamar,52,teammate,4,Mawile,,,,,,,,,
Malamar,52,teammate,5,Incineroar,,,,,,,,,
Malamar,52,teammate,6,Overqwil,,,,,,,,,
Malamar,52,teammate,7,Audino,,,,,,,,,
Malamar,52,teammate,8,Basculegion Male,,,,,,,,,
Malamar,52,teammate,9,Hisuian Zoroark,,,,,,,,,
Malamar,52,teammate,10,Staraptor,,,,,,,,,
Malamar,52,stat_alignment,1,Adamant,42.1%,Attack,Sp. Atk,,,,,,
Malamar,52,stat_alignment,2,Brave,17.9%,Attack,Speed,,,,,,
Malamar,52,stat_alignment,3,Sassy,17.4%,Sp. Def,Speed,,,,,,
Malamar,52,stat_alignment,4,Careful,7.4%,Sp. Def,Sp. Atk,,,,,,
Malamar,52,stat_alignment,5,Relaxed,5.2%,Defense,Speed,,,,,,
Malamar,52,stat_alignment,6,Jolly,4.5%,Speed,Sp. Atk,,,,,,
Malamar,52,stat_alignment,7,Impish,3.1%,Defense,Sp. Atk,,,,,,
Malamar,52,stat_alignment,8,Naughty,0.3%,Attack,Sp. Def,,,,,,
Malamar,52,stat_alignment,9,Lonely,0.3%,Attack,Defense,,,,,,
Malamar,52,stat_alignment,10,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Malamar,52,stat_points,1,,24.1%,,,30,28,4,0,4,0
Malamar,52,stat_points,2,,15.1%,,,32,32,0,0,2,0
Malamar,52,stat_points,3,,14.3%,,,32,0,2,0,32,0
Malamar,52,stat_points,4,,3.7%,,,32,32,2,0,0,0
Malamar,52,stat_points,5,,3.0%,,,32,0,32,0,2,0
Malamar,52,stat_points,6,,1.3%,,,0,32,2,0,32,0
Malamar,52,stat_points,7,,1.2%,,,32,32,0,0,0,2
Malamar,52,stat_points,8,,1.0%,,,2,32,0,0,32,0
Malamar,52,ability,1,Contrary,98.7%,,,,,,,,
Malamar,52,ability,2,Infiltrator,0.8%,,,,,,,,
Malamar,52,ability,3,Suction Cups,0.5%,,,,,,,,
