pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Greninja,13,move,1,Ice Beam,90.2%,,,,,,,,
Greninja,13,move,2,Dark Pulse,86.9%,,,,,,,,
Greninja,13,move,3,Sludge Wave,74.2%,,,,,,,,
Greninja,13,move,4,Water Shuriken,35.4%,,,,,,,,
Greninja,13,move,5,Surf,33.9%,,,,,,,,
Greninja,13,move,6,Grass Knot,17.0%,,,,,,,,
Greninja,13,move,7,Hydro Pump,7.2%,,,,,,,,
Greninja,13,move,8,Mud Shot,3.7%,,,,,,,,
Greninja,13,move,9,U-turn,3.5%,,,,,,,,
Greninja,13,move,10,Toxic Spikes,3.4%,,,,,,,,
Greninja,13,held_item,1,Greninjite,58.0%,,,,,,,,
Greninja,13,held_item,2,Focus Sash,30.3%,,,,,,,,
Greninja,13,held_item,3,Choice Scarf,4.5%,,,,,,,,
Greninja,13,held_item,4,Life Orb,4.3%,,,,,,,,
Greninja,13,held_item,5,Expert Belt,0.8%,,,,,,,,
Greninja,13,held_item,6,King's Rock,0.4%,,,,,,,,
Greninja,13,held_item,7,Sitrus Berry,0.2%,,,,,,,,
Greninja,13,held_item,8,Wise Glasses,0.2%,,,,,,,,
Greninja,13,held_item,9,Mystic Water,0.2%,,,,,,,,
Greninja,13,held_item,10,Light Ball,0.1%,,,,,,,,
Greninja,13,teammate,1,Mimikyu,,,,,,,,,
Greninja,13,teammate,2,Garchomp,,,,,,,,,
Greninja,13,teammate,3,Hippowdon,,,,,,,,,
Greninja,13,teammate,4,Archaludon,,,,,,,,,
Greninja,13,teammate,5,Meowscarada,,,,,,,,,
Greninja,13,teammate,6,Metagross,,,,,,,,,
Greninja,13,teammate,7,Blaziken,,,,,,,,,
Greninja,13,teammate,8,Dragonite,,,,,,,,,
Greninja,13,teammate,9,Charizard,,,,,,,,,
Greninja,13,teammate,10,Primarina,,,,,,,,,
Greninja,13,stat_alignment,1,Timid,56.9%,Speed,Attack,,,,,,
Greninja,13,stat_alignment,2,Modest,36.1%,Sp. Atk,Attack,,,,,,
Greninja,13,stat_alignment,3,Naive,3.1%,Speed,Sp. Def,,,,,,
Greninja,13,stat_alignment,4,Hasty,1.2%,Speed,Defense,,,,,,
Greninja,13,stat_alignment,5,Mild,0.7%,Sp. Atk,Defense,,,,,,
Greninja,13,stat_alignment,6,Rash,0.6%,Sp. Atk,Sp. Def,,,,,,
Greninja,13,stat_alignment,7,Jolly,0.5%,Speed,Sp. Atk,,,,,,
Greninja,13,stat_alignment,8,Adamant,0.2%,Attack,Sp. Atk,,,,,,
Greninja,13,stat_alignment,9,Naughty,0.2%,Attack,Sp. Def,,,,,,
Greninja,13,stat_alignment,10,Bold,0.1%,Defense,Attack,,,,,,
Greninja,13,stat_points,1,,63.0%,,,2,0,0,32,0,32
Greninja,13,stat_points,2,,7.2%,,,0,0,2,32,0,32
Greninja,13,stat_points,3,,3.6%,,,0,0,0,32,2,32
Greninja,13,stat_points,4,,2.2%,,,1,0,1,32,0,32
Greninja,13,stat_points,5,,2.2%,,,8,0,0,32,0,26
Greninja,13,stat_points,6,,1.6%,,,6,0,1,32,0,27
Greninja,13,stat_points,7,,1.5%,,,0,0,1,32,1,32
Greninja,13,stat_points,8,,1.3%,,,6,0,0,32,0,28
Greninja,13,ability,1,Protean,82.0%,,,,,,,,
Greninja,13,ability,2,Torrent,18.0%,,,,,,,,
