pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Vileplume,99,move,1,Strength Sap,94.8%,,,,,,,,
Vileplume,99,move,2,Leech Seed,82.7%,,,,,,,,
Vileplume,99,move,3,Giga Drain,68.6%,,,,,,,,
Vileplume,99,move,4,Toxic,35.2%,,,,,,,,
Vileplume,99,move,5,Sludge Bomb,27.2%,,,,,,,,
Vileplume,99,move,6,Acid Spray,23.8%,,,,,,,,
Vileplume,99,move,7,Moonblast,15.3%,,,,,,,,
Vileplume,99,move,8,Sludge Wave,12.9%,,,,,,,,
Vileplume,99,move,9,Protect,8.5%,,,,,,,,
Vileplume,99,move,10,Sleep Powder,7.3%,,,,,,,,
Vileplume,99,held_item,1,Leftovers,39.2%,,,,,,,,
Vileplume,99,held_item,2,Big Root,35.1%,,,,,,,,
Vileplume,99,held_item,3,Sitrus Berry,9.7%,,,,,,,,
Vileplume,99,held_item,4,Bright Powder,3.9%,,,,,,,,
Vileplume,99,held_item,5,Life Orb,3.1%,,,,,,,,
Vileplume,99,held_item,6,Lum Berry,2.7%,,,,,,,,
Vileplume,99,held_item,7,Focus Sash,1.8%,,,,,,,,
Vileplume,99,held_item,8,Zoom Lens,1.4%,,,,,,,,
Vileplume,99,held_item,9,Wide Lens,1.4%,,,,,,,,
Vileplume,99,held_item,10,Quick Claw,1.3%,,,,,,,,
Vileplume,99,teammate,1,Garchomp,,,,,,,,,
Vileplume,99,teammate,2,Gyarados,,,,,,,,,
Vileplume,99,teammate,3,Delphox,,,,,,,,,
Vileplume,99,teammate,4,Primarina,,,,,,,,,
Vileplume,99,teammate,5,Charizard,,,,,,,,,
Vileplume,99,teammate,6,Metagross,,,,,,,,,
Vileplume,99,teammate,7,Dragonite,,,,,,,,,
Vileplume,99,teammate,8,Archaludon,,,,,,,,,
Vileplume,99,teammate,9,Skeledirge,,,,,,,,,
Vileplume,99,teammate,10,Hydreigon,,,,,,,,,
Vileplume,99,stat_alignment,1,Bold,73.0%,Defense,Attack,,,,,,
Vileplume,99,stat_alignment,2,Calm,12.0%,Sp. Def,Attack,,,,,,
Vileplume,99,stat_alignment,3,Modest,8.0%,Sp. Atk,Attack,,,,,,
Vileplume,99,stat_alignment,4,Timid,2.1%,Speed,Attack,,,,,,
Vileplume,99,stat_alignment,5,Relaxed,2.0%,Defense,Speed,,,,,,
Vileplume,99,stat_alignment,6,Quiet,0.9%,Sp. Atk,Speed,,,,,,
Vileplume,99,stat_alignment,7,Sassy,0.7%,Sp. Def,Speed,,,,,,
Vileplume,99,stat_alignment,8,Impish,0.4%,Defense,Sp. Atk,,,,,,
Vileplume,99,stat_alignment,9,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Vileplume,99,stat_alignment,10,Mild,0.2%,Sp. Atk,Defense,,,,,,
Vileplume,99,stat_points,1,,31.4%,,,32,0,32,0,2,0
Vileplume,99,stat_points,2,,8.8%,,,31,0,31,0,4,0
Vileplume,99,stat_points,3,,7.6%,,,31,0,32,0,3,0
Vileplume,99,stat_points,4,,4.4%,,,32,0,32,2,0,0
Vileplume,99,stat_points,5,,3.4%,,,32,0,2,0,32,0
Vileplume,99,stat_points,6,,2.4%,,,32,0,32,0,0,2
Vileplume,99,stat_points,7,,2.0%,,,32,0,32,0,0,0
Vileplume,99,stat_points,8,,1.5%,,,29,0,32,0,2,3
Vileplume,99,stat_points,9,,1.1%,,,2,0,0,32,0,32
Vileplume,99,stat_points,10,,1.0%,,,32,0,2,32,0,0
Vileplume,99,ability,1,Effect Spore,92.3%,,,,,,,,
Vileplume,99,ability,2,Chlorophyll,7.7%,,,,,,,,
