pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Crabominable,117,move,6,Close Combat,26.8%,,,,,,,,
Crabominable,117,move,7,Rock Slide,18.2%,,,,,,,,
Crabominable,117,move,8,Knock Off,14.8%,,,,,,,,
Crabominable,117,move,9,Ice Punch,12.1%,,,,,,,,
Crabominable,117,move,10,Crabhammer,9.3%,,,,,,,,
Crabominable,117,held_item,1,Crabominite,79.2%,,,,,,,,
Crabominable,117,held_item,2,Expert Belt,10.8%,,,,,,,,
Crabominable,117,held_item,3,Life Orb,3.0%,,,,,,,,
Crabominable,117,held_item,4,Focus Sash,1.8%,,,,,,,,
Crabominable,117,held_item,5,Black Belt,0.7%,,,,,,,,
Crabominable,117,held_item,6,Quick Claw,0.7%,,,,,,,,
Crabominable,117,held_item,7,Muscle Band,0.6%,,,,,,,,
Crabominable,117,held_item,8,Sitrus Berry,0.5%,,,,,,,,
Crabominable,117,held_item,9,Wide Lens,0.3%,,,,,,,,
Crabominable,117,held_item,10,Leftovers,0.3%,,,,,,,,
Crabominable,117,teammate,1,Farigiraf,,,,,,,,,
Crabominable,117,teammate,2,Sinistcha,,,,,,,,,
Crabominable,117,teammate,3,Incineroar,,,,,,,,,
Crabominable,117,teammate,4,Torkoal,,,,,,,,,
Crabominable,117,teammate,5,Kingambit,,,,,,,,,
Crabominable,117,teammate,6,Raichu,,,,,,,,,
Crabominable,117,teammate,7,Camerupt,,,,,,,,,
Crabominable,117,teammate,8,Ampharos,,,,,,,,,
Crabominable,117,teammate,9,Aromatisse,,,,,,,,,
Crabominable,117,teammate,10,Dragalge,,,,,,,,,
Crabominable,117,stat_alignment,1,Brave,79.1%,Attack,Speed,,,,,,
Crabominable,117,stat_alignment,2,Adamant,13.8%,Attack,Sp. Atk,,,,,,
Crabominable,117,stat_alignment,3,Sassy,2.3%,Sp. Def,Speed,,,,,,
Crabominable,117,stat_alignment,4,Relaxed,1.1%,Defense,Speed,,,,,,
Crabominable,117,stat_alignment,5,Careful,0.8%,Sp. Def,Sp. Atk,,,,,,
Crabominable,117,stat_alignment,6,Naughty,0.8%,Attack,Sp. Def,,,,,,
Crabominable,117,stat_alignment,7,Impish,0.5%,Defense,Sp. Atk,,,,,,
Crabominable,117,stat_alignment,8,Lonely,0.5%,Attack,Defense,,,,,,
Crabominable,117,stat_alignment,9,Jolly,0.4%,Speed,Sp. Atk,,,,,,
Crabominable,117,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Crabominable,117,stat_points,1,,31.8%,,,32,32,2,0,0,0
Crabominable,117,stat_points,2,,29.3%,,,32,32,0,0,2,0
Crabominable,117,stat_points,3,,2.2%,,,0,32,2,0,32,0
Crabominable,117,stat_points,4,,1.8%,,,2,32,0,0,32,0
Crabominable,117,stat_points,5,,1.7%,,,2,32,32,0,0,0
Crabominable,117,stat_points,6,,1.5%,,,32,32,0,0,0,0
Crabominable,117,stat_points,7,,0.9%,,,18,32,3,0,13,0
Crabominable,117,stat_points,8,,0.9%,,,32,32,0,0,0,2
Crabominable,117,stat_points,9,,0.8%,,,31,32,0,0,3,0
Crabominable,117,stat_points,10,,0.6%,,,31,32,2,0,1,0
Crabominable,117,ability,1,Hyper Cutter,69.1%,,,,,,,,
Crabominable,117,ability,2,Iron Fist,21.8%,,,,,,,,
Crabominable,117,ability,3,Anger Point,9.1%,,,,,,,,
