pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Fan Rotom,212,move,1,Air Slash,90.7%,,,,,,,,
Fan Rotom,212,move,2,Thunderbolt,59.9%,,,,,,,,
Fan Rotom,212,move,3,Volt Switch,59.5%,,,,,,,,
Fan Rotom,212,move,4,Will-O-Wisp,52.3%,,,,,,,,
Fan Rotom,212,move,5,Trick,25.6%,,,,,,,,
Fan Rotom,212,move,6,Nasty Plot,13.6%,,,,,,,,
Fan Rotom,212,move,7,Pain Split,11.6%,,,,,,,,
Fan Rotom,212,move,8,Discharge,11.6%,,,,,,,,
Fan Rotom,212,move,9,Thunder Wave,10.8%,,,,,,,,
Fan Rotom,212,move,10,Dark Pulse,10.7%,,,,,,,,
Fan Rotom,212,held_item,1,Choice Scarf,41.0%,,,,,,,,
Fan Rotom,212,held_item,2,Sitrus Berry,22.3%,,,,,,,,
Fan Rotom,212,held_item,3,Leftovers,14.6%,,,,,,,,
Fan Rotom,212,held_item,4,Life Orb,4.1%,,,,,,,,
Fan Rotom,212,held_item,5,Wide Lens,4.1%,,,,,,,,
Fan Rotom,212,held_item,6,Magnet,2.8%,,,,,,,,
Fan Rotom,212,held_item,7,Expert Belt,2.8%,,,,,,,,
Fan Rotom,212,held_item,8,Focus Sash,2.3%,,,,,,,,
Fan Rotom,212,held_item,9,Light Clay,2.0%,,,,,,,,
Fan Rotom,212,held_item,10,Bright Powder,1.9%,,,,,,,,
Fan Rotom,212,teammate,1,Garchomp,,,,,,,,,
Fan Rotom,212,teammate,2,Meowscarada,,,,,,,,,
Fan Rotom,212,teammate,3,Blaziken,,,,,,,,,
Fan Rotom,212,teammate,4,Gengar,,,,,,,,,
Fan Rotom,212,teammate,5,Primarina,,,,,,,,,
Fan Rotom,212,teammate,6,Gyarados,,,,,,,,,
Fan Rotom,212,teammate,7,Charizard,,,,,,,,,
Fan Rotom,212,teammate,8,Archaludon,,,,,,,,,
Fan Rotom,212,teammate,9,Metagross,,,,,,,,,
Fan Rotom,212,teammate,10,Scizor,,,,,,,,,
Fan Rotom,212,stat_alignment,1,Modest,36.7%,Sp. Atk,Attack,,,,,,
Fan Rotom,212,stat_alignment,2,Timid,31.8%,Speed,Attack,,,,,,
Fan Rotom,212,stat_alignment,3,Bold,20.4%,Defense,Attack,,,,,,
Fan Rotom,212,stat_alignment,4,Calm,7.9%,Sp. Def,Attack,,,,,,
Fan Rotom,212,stat_alignment,5,Quiet,7.2%,Sp. Atk,Speed,,,,,,
Fan Rotom,212,stat_alignment,6,Mild,6.0%,Sp. Atk,Defense,,,,,,
Fan Rotom,212,stat_alignment,7,Sassy,1.0%,Sp. Def,Speed,,,,,,
Fan Rotom,212,stat_alignment,8,Hasty,0.5%,Speed,Defense,,,,,,
Fan Rotom,212,stat_alignment,9,Gentle,0.3%,Sp. Def,Defense,,,,,,
Fan Rotom,212,stat_alignment,10,Imnich,0.3%,,,,,,,,
Fan Rotom,212,stat_points,1,,25.8%,,,2,0,0,32,0,32
Fan Rotom,212,stat_points,2,,5.6%,,,0,0,2,32,0,32
Fan Rotom,212,stat_points,3,,5.4%,,,32,0,2,32,0,0
Fan Rotom,212,stat_points,4,,4.8%,,,32,0,32,0,2,0
Fan Rotom,212,stat_points,5,,3.3%,,,32,0,0,32,0,2
Fan Rotom,212,stat_points,6,,2.3%,,,32,0,32,0,0,2
Fan Rotom,212,stat_points,7,,1.7%,,,0,0,3,32,0,31
Fan Rotom,212,stat_points,8,,1.6%,,,0,0,1,32,1,32
Fan Rotom,212,stat_points,9,,1.5%,,,0,0,2,32,32,0
Fan Rotom,212,stat_points,10,,1.3%,,,32,0,2,0,32,0
Fan Rotom,212,ability,1,Levitate,100.0%,,,,,,,,
