pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Falinks,190,move,1,Close Combat,84.3%,,,,,,,,
Falinks,190,move,2,No Retreat,83.2%,,,,,,,,
Falinks,190,move,3,Protect,70.9%,,,,,,,,
Falinks,190,move,4,Knock Off,37.8%,,,,,,,,
Falinks,190,move,5,Rock Slide,37.3%,,,,,,,,
Falinks,190,move,6,Iron Head,13.9%,,,,,,,,
Falinks,190,move,7,Throat Chop,12.4%,,,,,,,,
Falinks,190,move,8,First Impression,9.7%,,,,,,,,
Falinks,190,move,9,Brick Break,7.2%,,,,,,,,
Falinks,190,move,10,High Horsepower,6.5%,,,,,,,,
Falinks,190,held_item,1,Falinksite,91.3%,,,,,,,,
Falinks,190,held_item,2,Focus Sash,1.8%,,,,,,,,
Falinks,190,held_item,3,Leftovers,1.0%,,,,,,,,
Falinks,190,held_item,4,Sitrus Berry,0.9%,,,,,,,,
Falinks,190,held_item,5,Life Orb,0.8%,,,,,,,,
Falinks,190,held_item,6,Choice Scarf,0.7%,,,,,,,,
Falinks,190,held_item,7,Quick Claw,0.5%,,,,,,,,
Falinks,190,held_item,8,Bright Powder,0.4%,,,,,,,,
Falinks,190,held_item,9,Expert Belt,0.4%,,,,,,,,
Falinks,190,held_item,10,Black Belt,0.4%,,,,,,,,
Falinks,190,teammate,1,Maushold-Four,,,,,,,,,
Falinks,190,teammate,2,Sinistcha,,,,,,,,,
Falinks,190,teammate,3,Gholdengo,,,,,,,,,
Falinks,190,teammate,4,Incineroar,,,,,,,,,
Falinks,190,teammate,5,Grimmsnarl,,,,,,,,,
Falinks,190,teammate,6,Arcanine-Hisui,,,,,,,,,
Falinks,190,teammate,7,Ninetales-Alola,,,,,,,,,
Falinks,190,teammate,8,Whimsicott,,,,,,,,,
Falinks,190,teammate,9,Farigiraf,,,,,,,,,
Falinks,190,teammate,10,Garchomp,,,,,,,,,
Falinks,190,stat_alignment,1,Adamant,65.7%,Attack,Sp. Atk,,,,,,
Falinks,190,stat_alignment,2,Jolly,16.8%,Speed,Sp. Atk,,,,,,
Falinks,190,stat_alignment,3,Careful,4.5%,Sp. Def,Sp. Atk,,,,,,
Falinks,190,stat_alignment,4,Impish,4.4%,Defense,Sp. Atk,,,,,,
Falinks,190,stat_alignment,5,Brave,3.3%,Attack,Speed,,,,,,
Falinks,190,stat_alignment,6,Naughty,1.5%,Attack,Sp. Def,,,,,,
Falinks,190,stat_alignment,7,Sassy,0.8%,Sp. Def,Speed,,,,,,
Falinks,190,stat_alignment,8,Lonely,0.7%,Attack,Defense,,,,,,
Falinks,190,stat_alignment,9,Hasty,0.5%,Speed,Defense,,,,,,
Falinks,190,stat_alignment,10,Lax,0.4%,Defense,Sp. Def,,,,,,
Falinks,190,stat_points,1,,14.3%,,,22,30,0,0,0,14
Falinks,190,stat_points,2,,13.6%,,,2,32,0,0,0,32
Falinks,190,stat_points,3,,4.6%,,,32,32,0,0,2,0
Falinks,190,stat_points,4,,3.9%,,,0,32,0,0,2,32
Falinks,190,stat_points,5,,3.9%,,,9,25,0,0,0,32
Falinks,190,stat_points,6,,3.1%,,,0,32,2,0,0,32
Falinks,190,stat_points,7,,2.7%,,,32,32,0,0,0,2
Falinks,190,stat_points,8,,2.7%,,,32,32,2,0,0,0
Falinks,190,stat_points,9,,2.6%,,,16,20,0,0,30,0
Falinks,190,stat_points,10,,2.0%,,,0,25,0,0,12,29
Falinks,190,ability,1,Defiant,95.3%,,,,,,,,
Falinks,190,ability,2,Battle Armor,4.7%,,,,,,,,
