pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Furfrou,211,move,1,Cotton Guard,72.0%,,,,,,,,
Furfrou,211,move,2,Thunder Wave,39.7%,,,,,,,,
Furfrou,211,move,3,Roar,31.9%,,,,,,,,
Furfrou,211,move,4,Ice Fang,27.6%,,,,,,,,
Furfrou,211,move,5,Sucker Punch,21.1%,,,,,,,,
Furfrou,211,move,6,Rest,18.6%,,,,,,,,
Furfrou,211,move,7,Psychic Fangs,18.5%,,,,,,,,
Furfrou,211,move,8,Last Resort,16.9%,,,,,,,,
Furfrou,211,move,9,Snarl,16.0%,,,,,,,,
Furfrou,211,move,10,U-turn,14.2%,,,,,,,,
Furfrou,211,held_item,1,Leftovers,45.5%,,,,,,,,
Furfrou,211,held_item,2,Sitrus Berry,16.7%,,,,,,,,
Furfrou,211,held_item,3,Chesto Berry,7.0%,,,,,,,,
Furfrou,211,held_item,4,Chople Berry,4.4%,,,,,,,,
Furfrou,211,held_item,5,Lum Berry,3.9%,,,,,,,,
Furfrou,211,held_item,6,Silk Scarf,3.5%,,,,,,,,
Furfrou,211,held_item,7,Life Orb,2.8%,,,,,,,,
Furfrou,211,held_item,8,Bright Powder,2.8%,,,,,,,,
Furfrou,211,held_item,9,Quick Claw,1.8%,,,,,,,,
Furfrou,211,held_item,10,Focus Sash,1.4%,,,,,,,,
Furfrou,211,teammate,1,Garchomp,,,,,,,,,
Furfrou,211,teammate,2,Staraptor,,,,,,,,,
Furfrou,211,teammate,3,Meowscarada,,,,,,,,,
Furfrou,211,teammate,4,Raichu,,,,,,,,,
Furfrou,211,teammate,5,Mimikyu,,,,,,,,,
Furfrou,211,teammate,6,Glimmora,,,,,,,,,
Furfrou,211,teammate,7,Zoroark-Hisui,,,,,,,,,
Furfrou,211,teammate,8,Lopunny,,,,,,,,,
Furfrou,211,teammate,9,Dragonite,,,,,,,,,
Furfrou,211,teammate,10,Kangaskhan,,,,,,,,,
Furfrou,211,stat_alignment,1,Impish,45.0%,Defense,Sp. Atk,,,,,,
Furfrou,211,stat_alignment,2,Adamant,18.9%,Attack,Sp. Atk,,,,,,
Furfrou,211,stat_alignment,3,Careful,12.5%,Sp. Def,Sp. Atk,,,,,,
Furfrou,211,stat_alignment,4,Jolly,7.4%,Speed,Sp. Atk,,,,,,
Furfrou,211,stat_alignment,5,Bold,5.0%,Defense,Attack,,,,,,
Furfrou,211,stat_alignment,6,Calm,2.9%,Sp. Def,Attack,,,,,,
Furfrou,211,stat_alignment,7,Relaxed,1.9%,Defense,Speed,,,,,,
Furfrou,211,stat_alignment,8,Timid,1.0%,Speed,Attack,,,,,,
Furfrou,211,stat_alignment,9,Modest,0.9%,Sp. Atk,Attack,,,,,,
Furfrou,211,stat_alignment,10,Brave,0.7%,Attack,Speed,,,,,,
Furfrou,211,stat_points,1,,19.8%,,,32,0,32,0,2,0
Furfrou,211,stat_points,2,,6.5%,,,32,0,2,0,32,0
Furfrou,211,stat_points,3,,5.3%,,,32,2,32,0,0,0
Furfrou,211,stat_points,4,,4.6%,,,32,0,32,0,0,2
Furfrou,211,stat_points,5,,2.5%,,,2,32,0,0,0,32
Furfrou,211,stat_points,6,,2.4%,,,32,32,2,0,0,0
Furfrou,211,stat_points,7,,2.1%,,,2,32,32,0,0,0
Furfrou,211,stat_points,8,,2.1%,,,2,0,32,0,32,0
Furfrou,211,stat_points,9,,1.9%,,,31,0,32,0,3,0
Furfrou,211,stat_points,10,,1.8%,,,32,0,32,0,0,0
Furfrou,211,ability,1,Fur Coat,100.0%,,,,,,,,
