pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Ninetales-Alola,33,move,1,Aurora Veil,95.3%,,,,,,,,
Ninetales-Alola,33,move,2,Freeze-Dry,72.5%,,,,,,,,
Ninetales-Alola,33,move,3,Blizzard,71.6%,,,,,,,,
Ninetales-Alola,33,move,4,Encore,61.1%,,,,,,,,
Ninetales-Alola,33,move,5,Moonblast,54.4%,,,,,,,,
Ninetales-Alola,33,move,6,Misty Terrain,10.5%,,,,,,,,
Ninetales-Alola,33,move,7,Pain Split,6.0%,,,,,,,,
Ninetales-Alola,33,move,8,Nasty Plot,3.7%,,,,,,,,
Ninetales-Alola,33,move,9,Ice Shard,3.1%,,,,,,,,
Ninetales-Alola,33,move,10,Dark Pulse,2.5%,,,,,,,,
Ninetales-Alola,33,held_item,1,Light Clay,86.6%,,,,,,,,
Ninetales-Alola,33,held_item,2,Never-Melt Ice,4.0%,,,,,,,,
Ninetales-Alola,33,held_item,3,Focus Sash,2.5%,,,,,,,,
Ninetales-Alola,33,held_item,4,Sitrus Berry,1.3%,,,,,,,,
Ninetales-Alola,33,held_item,5,Choice Scarf,0.9%,,,,,,,,
Ninetales-Alola,33,held_item,6,Life Orb,0.7%,,,,,,,,
Ninetales-Alola,33,held_item,7,Icy Rock,0.7%,,,,,,,,
Ninetales-Alola,33,held_item,8,Leftovers,0.6%,,,,,,,,
Ninetales-Alola,33,held_item,9,Expert Belt,0.5%,,,,,,,,
Ninetales-Alola,33,held_item,10,Lum Berry,0.4%,,,,,,,,
Ninetales-Alola,33,teammate,1,Garchomp,,,,,,,,,
Ninetales-Alola,33,teammate,2,Gyarados,,,,,,,,,
Ninetales-Alola,33,teammate,3,Archaludon,,,,,,,,,
Ninetales-Alola,33,teammate,4,Meowscarada,,,,,,,,,
Ninetales-Alola,33,teammate,5,Delphox,,,,,,,,,
Ninetales-Alola,33,teammate,6,Blaziken,,,,,,,,,
Ninetales-Alola,33,teammate,7,Charizard,,,,,,,,,
Ninetales-Alola,33,teammate,8,Basculegion,,,,,,,,,
Ninetales-Alola,33,teammate,9,Mimikyu,,,,,,,,,
Ninetales-Alola,33,teammate,10,Hippowdon,,,,,,,,,
Ninetales-Alola,33,stat_alignment,1,Timid,84.0%,Speed,Attack,,,,,,
Ninetales-Alola,33,stat_alignment,2,Modest,8.7%,Sp. Atk,Attack,,,,,,
Ninetales-Alola,33,stat_alignment,3,Bold,3.6%,Defense,Attack,,,,,,
Ninetales-Alola,33,stat_alignment,4,Calm,1.7%,Sp. Def,Attack,,,,,,
Ninetales-Alola,33,stat_alignment,5,Hasty,0.5%,Speed,Defense,,,,,,
Ninetales-Alola,33,stat_alignment,6,Mild,0.4%,Sp. Atk,Defense,,,,,,
Ninetales-Alola,33,stat_alignment,7,Quiet,0.2%,Sp. Atk,Speed,,,,,,
Ninetales-Alola,33,stat_alignment,8,Naive,0.2%,Speed,Sp. Def,,,,,,
Ninetales-Alola,33,stat_alignment,9,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Ninetales-Alola,33,stat_alignment,10,Relaxed,0.1%,Defense,Speed,,,,,,
Ninetales-Alola,33,stat_points,1,,25.4%,,,2,0,0,32,0,32
Ninetales-Alola,33,stat_points,2,,6.3%,,,27,0,7,0,0,32
Ninetales-Alola,33,stat_points,3,,4.3%,,,0,0,2,32,0,32
Ninetales-Alola,33,stat_points,4,,3.6%,,,32,0,2,0,0,32
Ninetales-Alola,33,stat_points,5,,3.5%,,,1,0,1,32,0,32
Ninetales-Alola,33,stat_points,6,,3.4%,,,0,0,0,32,2,32
Ninetales-Alola,33,stat_points,7,,3.2%,,,32,0,0,2,0,32
Ninetales-Alola,33,stat_points,8,,2.9%,,,31,0,3,0,0,32
Ninetales-Alola,33,stat_points,9,,2.0%,,,31,0,9,0,0,26
Ninetales-Alola,33,stat_points,10,,1.5%,,,17,0,1,22,0,26
Ninetales-Alola,33,ability,1,Snow Warning,99.6%,,,,,,,,
Ninetales-Alola,33,ability,2,Snow Cloak,0.4%,,,,,,,,
