pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Galarian Stunfisk,231,move,1,Snap Trap,69.9%,,,,,,,,
Galarian Stunfisk,231,move,2,Protect,31.1%,,,,,,,,
Galarian Stunfisk,231,move,3,Earthquake,29.6%,,,,,,,,
Galarian Stunfisk,231,move,4,Sucker Punch,23.9%,,,,,,,,
Galarian Stunfisk,231,move,5,Yawn,17.5%,,,,,,,,
Galarian Stunfisk,231,move,6,Earth Power,17.5%,,,,,,,,
Galarian Stunfisk,231,move,7,Rock Slide,16.6%,,,,,,,,
Galarian Stunfisk,231,move,8,Terrain Pulse,14.8%,,,,,,,,
Galarian Stunfisk,231,move,9,Stealth Rock,13.9%,,,,,,,,
Galarian Stunfisk,231,move,10,Crunch,11.1%,,,,,,,,
Galarian Stunfisk,231,held_item,1,Leftovers,39.1%,,,,,,,,
Galarian Stunfisk,231,held_item,2,Sitrus Berry,22.8%,,,,,,,,
Galarian Stunfisk,231,held_item,3,Life Orb,9.2%,,,,,,,,
Galarian Stunfisk,231,held_item,4,Passho Berry,3.9%,,,,,,,,
Galarian Stunfisk,231,held_item,5,Focus Sash,3.9%,,,,,,,,
Galarian Stunfisk,231,held_item,6,Quick Claw,3.8%,,,,,,,,
Galarian Stunfisk,231,held_item,7,Bright Powder,3.1%,,,,,,,,
Galarian Stunfisk,231,held_item,8,Chesto Berry,2.6%,,,,,,,,
Galarian Stunfisk,231,held_item,9,Expert Belt,9.9%,,,,,,,,
Galarian Stunfisk,231,held_item,10,Lum Berry,1.0%,,,,,,,,
Galarian Stunfisk,231,teammate,1,Torkoal,,,,,,,,,
Galarian Stunfisk,231,teammate,2,Charizard,,,,,,,,,
Galarian Stunfisk,231,teammate,3,Raichu,,,,,,,,,
Galarian Stunfisk,231,teammate,4,Mimikyu,,,,,,,,,
Galarian Stunfisk,231,teammate,5,Farigiraf,,,,,,,,,
Galarian Stunfisk,231,teammate,6,Milotic,,,,,,,,,
Galarian Stunfisk,231,teammate,7,Sneasler,,,,,,,,,
Galarian Stunfisk,231,teammate,8,Araquanid,,,,,,,,,
Galarian Stunfisk,231,teammate,9,Kangaskhan,,,,,,,,,
Galarian Stunfisk,231,teammate,10,Sinistcha,,,,,,,,,
Galarian Stunfisk,231,stat_alignment,1,Brave,27.2%,Attack,Speed,,,,,,
Galarian Stunfisk,231,stat_alignment,2,Impish,14.2%,Defense,Sp. Atk,,,,,,
Galarian Stunfisk,231,stat_alignment,3,Quiet,11.7%,Sp. Atk,Speed,,,,,,
Galarian Stunfisk,231,stat_alignment,4,Careful,11.6%,Sp. Def,Sp. Atk,,,,,,
Galarian Stunfisk,231,stat_alignment,5,Adamant,1.2%,Attack,Sp. Atk,,,,,,
Galarian Stunfisk,231,stat_alignment,6,Relaxed,9.5%,Defense,Speed,,,,,,
Galarian Stunfisk,231,stat_alignment,7,Sassy,7.0%,Sp. Def,Speed,,,,,,
Galarian Stunfisk,231,stat_alignment,8,Bold,3.0%,Defense,Attack,,,,,,
Galarian Stunfisk,231,stat_alignment,9,Modest,1.6%,Sp. Atk,Attack,,,,,,
Galarian Stunfisk,231,stat_alignment,10,Lonely,0.0%,Attack,Defense,,,,,,
Galarian Stunfisk,231,stat_points,1,,11.3%,,,32,32,2,0,0,0
Galarian Stunfisk,231,stat_points,2,,9.5%,,,32,0,32,0,2,0
Galarian Stunfisk,231,stat_points,3,,8.2%,,,0,32,32,0,2,0
Galarian Stunfisk,231,stat_points,4,,6.7%,,,32,0,0,32,2,0
Galarian Stunfisk,231,stat_points,5,,6.5%,,,13,32,0,0,21,0
Galarian Stunfisk,231,stat_points,6,,3.9%,,,26,32,0,0,8,0
Galarian Stunfisk,231,stat_points,7,,3.4%,,,32,0,2,32,0,0
Galarian Stunfisk,231,stat_points,8,,2.9%,,,16,4,11,32,3,0
Galarian Stunfisk,231,stat_points,9,,2.9%,,,32,7,11,0,16,0
Galarian Stunfisk,231,stat_points,10,,2.6%,,,32,9,25,0,0,0
Galarian Stunfisk,231,ability,1,Mimicry,100.0%,,,,,,,,
