pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Slowking,170,move,6,Muddy Water,21.0%,,,,,,,,
Slowking,170,move,7,Heal Pulse,19.3%,,,,,,,,
Slowking,170,move,8,Ice Beam,15.2%,,,,,,,,
Slowking,170,move,9,Surf,8.6%,,,,,,,,
Slowking,170,move,10,Expanding Force,8.5%,,,,,,,,
Slowking,170,held_item,1,Sitrus Berry,22.1%,,,,,,,,
Slowking,170,held_item,2,Colbur Berry,28.9%,,,,,,,,
Slowking,170,held_item,3,Leftovers,20.7%,,,,,,,,
Slowking,170,held_item,4,Mental Herb,10.5%,,,,,,,,
Slowking,170,held_item,5,Focus Sash,4.7%,,,,,,,,
Slowking,170,held_item,6,Life Orb,3.3%,,,,,,,,
Slowking,170,held_item,7,Wide Lens,3.0%,,,,,,,,
Slowking,170,held_item,8,Quick Claw,2.6%,,,,,,,,
Slowking,170,held_item,9,Kasib Berry,2.2%,,,,,,,,
Slowking,170,held_item,10,Mystic Water,1.7%,,,,,,,,
Slowking,170,teammate,1,Incineroar,,,,,,,,,
Slowking,170,teammate,2,Sinistcha,,,,,,,,,
Slowking,170,teammate,3,Crabominable,,,,,,,,,
Slowking,170,teammate,4,Farigiraf,,,,,,,,,
Slowking,170,teammate,5,Torkoal,,,,,,,,,
Slowking,170,teammate,6,Kingambit,,,,,,,,,
Slowking,170,teammate,7,Tyranitar,,,,,,,,,
Slowking,170,teammate,8,Sylveon,,,,,,,,,
Slowking,170,teammate,9,Camerupt,,,,,,,,,
Slowking,170,teammate,10,Mawile,,,,,,,,,
Slowking,170,stat_alignment,1,Quiet,29.8%,Sp. Atk,Speed,,,,,,
Slowking,170,stat_alignment,2,Sassy,22.3%,Sp. Def,Speed,,,,,,
Slowking,170,stat_alignment,3,Relaxed,18.2%,Defense,Speed,,,,,,
Slowking,170,stat_alignment,4,Modest,9.8%,Sp. Atk,Attack,,,,,,
Slowking,170,stat_alignment,5,Bold,9.2%,Defense,Attack,,,,,,
Slowking,170,stat_alignment,6,Calm,8.8%,Sp. Def,Attack,,,,,,
Slowking,170,stat_alignment,7,Mild,1.4%,Sp. Atk,Defense,,,,,,
Slowking,170,stat_alignment,8,Brave,0.3%,Attack,Speed,,,,,,
Slowking,170,stat_alignment,9,Timid,0.1%,Speed,Attack,,,,,,
Slowking,170,stat_alignment,10,Naive,0.1%,Speed,Sp. Def,,,,,,
Slowking,170,stat_points,1,,8.6%,,,32,0,0,32,2,0
Slowking,170,stat_points,2,,8.3%,,,32,0,32,0,2,0
Slowking,170,stat_points,3,,7.2%,,,32,0,2,32,0,0
Slowking,170,stat_points,4,,4.4%,,,2,0,0,32,32,0
Slowking,170,stat_points,5,,4.2%,,,32,0,2,0,32,0
Slowking,170,stat_points,6,,2.5%,,,0,0,32,2,32,0
Slowking,170,stat_points,7,,2.5%,,,32,0,32,2,0,0
Slowking,170,stat_points,8,,2.3%,,,0,0,32,32,2,0
Slowking,170,stat_points,9,,1.8%,,,2,0,32,0,32,0
Slowking,170,stat_points,10,,1.7%,,,25,0,30,0,11,0
Slowking,170,ability,1,Regenerator,68.2%,,,,,,,,
Slowking,170,ability,2,Oblivious,28.3%,,,,,,,,
Slowking,170,ability,3,Own Tempo,3.5%,,,,,,,,
