pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Oranguru,224,move,6,Instruct,24.5%,,,,,,,,
Oranguru,224,move,7,Yawn,23.1%,,,,,,,,
Oranguru,224,move,8,Energy Ball,22.8%,,,,,,,,
Oranguru,224,move,9,Protect,17.4%,,,,,,,,
Oranguru,224,move,10,Psychic Noise,9.6%,,,,,,,,
Oranguru,224,held_item,1,Sitrus Berry,26.9%,,,,,,,,
Oranguru,224,held_item,2,Leftovers,15.4%,,,,,,,,
Oranguru,224,held_item,3,Mental Herb,15.3%,,,,,,,,
Oranguru,224,held_item,4,Expert Belt,13.5%,,,,,,,,
Oranguru,224,held_item,5,Quick Claw,8.8%,,,,,,,,
Oranguru,224,held_item,6,Light Clay,4.4%,,,,,,,,
Oranguru,224,held_item,7,Focus Sash,4.2%,,,,,,,,
Oranguru,224,held_item,8,Lum Berry,3.6%,,,,,,,,
Oranguru,224,held_item,9,Life Orb,2.4%,,,,,,,,
Oranguru,224,held_item,10,Colbur Berry,1.4%,,,,,,,,
Oranguru,224,teammate,1,Hisuian Samurott,,,,,,,,,
Oranguru,224,teammate,2,Basculegion Male,,,,,,,,,
Oranguru,224,teammate,3,Kleavor,,,,,,,,,
Oranguru,224,teammate,4,Maushold,,,,,,,,,
Oranguru,224,teammate,5,Chandelure,,,,,,,,,
Oranguru,224,teammate,6,Gyarados,,,,,,,,,
Oranguru,224,teammate,7,Torkoal,,,,,,,,,
Oranguru,224,teammate,8,Whimsicott,,,,,,,,,
Oranguru,224,teammate,9,Garchomp,,,,,,,,,
Oranguru,224,teammate,10,Archaludon,,,,,,,,,
Oranguru,224,stat_alignment,1,Modest,29.3%,Sp. Atk,Attack,,,,,,
Oranguru,224,stat_alignment,2,Quiet,18.3%,Sp. Atk,Speed,,,,,,
Oranguru,224,stat_alignment,3,Relaxed,18.0%,Defense,Speed,,,,,,
Oranguru,224,stat_alignment,4,Bold,15.0%,Defense,Attack,,,,,,
Oranguru,224,stat_alignment,5,Calm,0.9%,Sp. Def,Attack,,,,,,
Oranguru,224,stat_alignment,6,Sassy,53.8%,Sp. Def,Speed,,,,,,
Oranguru,224,stat_alignment,7,Impish,7.0%,Defense,Sp. Atk,,,,,,
Oranguru,224,stat_alignment,8,Timid,0.8%,Speed,Attack,,,,,,
Oranguru,224,stat_alignment,9,Mild,0.4%,Sp. Atk,Defense,,,,,,
Oranguru,224,stat_alignment,10,Jolly,0.2%,Speed,Sp. Atk,,,,,,
Oranguru,224,stat_points,1,,21.8%,,,32,0,32,0,2,0
Oranguru,224,stat_points,2,,19.2%,,,0,0,2,32,32,0
Oranguru,224,stat_points,3,,12.5%,,,26,0,0,32,0,8
Oranguru,224,stat_points,4,,4.7%,,,32,0,2,32,0,0
Oranguru,224,stat_points,5,,2.9%,,,32,0,31,0,0,3
Oranguru,224,stat_points,6,,2.2%,,,17,0,17,0,32,0
Oranguru,224,stat_points,7,,2.0%,,,0,0,32,32,0,2
Oranguru,224,stat_points,8,,1.8%,,,32,0,15,0,17,2
Oranguru,224,stat_points,9,,1.8%,,,2,0,32,32,0,0
Oranguru,224,stat_points,10,,1.7%,,,32,0,2,0,32,0
Oranguru,224,ability,1,Inner Focus,73.6%,,,,,,,,
Oranguru,224,ability,2,Telepathy,16.5%,,,,,,,,
Oranguru,224,ability,3,Symbiosis,9.9%,,,,,,,,
