pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Trevenant,171,move,1,Leech Seed,77.7%,,,,,,,,
Trevenant,171,move,2,Will-O-Wisp,60.0%,,,,,,,,
Trevenant,171,move,3,Horn Leech,57.9%,,,,,,,,
Trevenant,171,move,4,Protect,56.4%,,,,,,,,
Trevenant,171,move,5,Curse,31.8%,,,,,,,,
Trevenant,171,move,6,Poltergeist,19.3%,,,,,,,,
Trevenant,171,move,7,Substitute,14.5%,,,,,,,,
Trevenant,171,move,8,Toxic,9.9%,,,,,,,,
Trevenant,171,move,9,Rest,8.1%,,,,,,,,
Trevenant,171,move,10,Phantom Force,6.1%,,,,,,,,
Trevenant,171,held_item,1,Sitrus Berry,86.2%,,,,,,,,
Trevenant,171,held_item,2,Chesto Berry,4.8%,,,,,,,,
Trevenant,171,held_item,3,Lum Berry,3.7%,,,,,,,,
Trevenant,171,held_item,4,Leftovers,1.3%,,,,,,,,
Trevenant,171,held_item,5,Focus Sash,1.2%,,,,,,,,
Trevenant,171,held_item,6,Quick Claw,0.6%,,,,,,,,
Trevenant,171,held_item,7,Occa Berry,0.5%,,,,,,,,
Trevenant,171,held_item,8,Big Root,0.5%,,,,,,,,
Trevenant,171,held_item,9,Life Orb,0.4%,,,,,,,,
Trevenant,171,held_item,10,Kasib Berry,0.1%,,,,,,,,
Trevenant,171,teammate,1,Garchomp,,,,,,,,,
Trevenant,171,teammate,2,Charizard,,,,,,,,,
Trevenant,171,teammate,3,Mimikyu,,,,,,,,,
Trevenant,171,teammate,4,Gyarados,,,,,,,,,
Trevenant,171,teammate,5,Archaludon,,,,,,,,,
Trevenant,171,teammate,6,Tyranitar,,,,,,,,,
Trevenant,171,teammate,7,Toxapex,,,,,,,,,
Trevenant,171,teammate,8,Basculegion Male,,,,,,,,,
Trevenant,171,teammate,9,Greninja,,,,,,,,,
Trevenant,171,teammate,10,Delphox,,,,,,,,,
Trevenant,171,stat_alignment,1,Impish,47.9%,Defense,Sp. Atk,,,,,,
Trevenant,171,stat_alignment,2,Careful,19.5%,Sp. Def,Sp. Atk,,,,,,
Trevenant,171,stat_alignment,3,Bold,10.0%,Defense,Attack,,,,,,
Trevenant,171,stat_alignment,4,Adamant,8.5%,Attack,Sp. Atk,,,,,,
Trevenant,171,stat_alignment,5,Relaxed,4.9%,Defense,Speed,,,,,,
Trevenant,171,stat_alignment,6,Calm,2.0%,Sp. Def,Attack,,,,,,
Trevenant,171,stat_alignment,7,Brave,1.8%,Attack,Speed,,,,,,
Trevenant,171,stat_alignment,8,Sassy,1.4%,Sp. Def,Speed,,,,,,
Trevenant,171,stat_alignment,9,Jolly,1.0%,Speed,Sp. Atk,,,,,,
Trevenant,171,stat_alignment,10,Naughty,0.7%,Attack,Sp. Def,,,,,,
Trevenant,171,stat_points,1,,29.0%,,,32,0,32,0,2,0
Trevenant,171,stat_points,2,,6.5%,,,32,0,2,0,32,0
Trevenant,171,stat_points,3,,3.7%,,,32,0,24,0,10,0
Trevenant,171,stat_points,4,,3.5%,,,31,0,32,0,3,0
Trevenant,171,stat_points,5,,3.2%,,,2,0,32,0,32,0
Trevenant,171,stat_points,6,,2.0%,,,32,32,2,0,0,0
Trevenant,171,stat_points,7,,1.9%,,,32,0,32,0,1,0
Trevenant,171,stat_points,8,,1.9%,,,2,32,32,0,0,0
Trevenant,171,stat_points,9,,1.9%,,,32,2,32,0,0,0
Trevenant,171,stat_points,10,,1.6%,,,32,0,0,0,32,0
Trevenant,171,ability,1,Harvest,94.8%,,,,,,,,
Trevenant,171,ability,2,Frisk,3.3%,,,,,,,,
Trevenant,171,ability,3,Natural Cure,1.9%,,,,,,,,
