pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Simipour,222,move,6,Protect,25.9%,,,,,,,,
Simipour,222,move,7,Icy Wind,24.0%,,,,,,,,
Simipour,222,move,8,Taunt,21.7%,,,,,,,,
Simipour,222,move,9,Hydro Pump,17.2%,,,,,,,,
Simipour,222,move,10,Surf,12.3%,,,,,,,,
Simipour,222,held_item,1,Focus Sash,26.8%,,,,,,,,
Simipour,222,held_item,2,Sitrus Berry,24.0%,,,,,,,,
Simipour,222,held_item,3,Mystic Water,14.5%,,,,,,,,
Simipour,222,held_item,4,Choice Scarf,7.8%,,,,,,,,
Simipour,222,held_item,5,Expert Belt,7.2%,,,,,,,,
Simipour,222,held_item,6,Life Orb,5.6%,,,,,,,,
Simipour,222,held_item,7,Rindo Berry,4.5%,,,,,,,,
Simipour,222,held_item,8,Wide Lens,2.5%,,,,,,,,
Simipour,222,held_item,9,Lum Berry,3.0%,,,,,,,,
Simipour,222,held_item,10,Wacan Berry,1.4%,,,,,,,,
Simipour,222,teammate,1,Simisage,,,,,,,,,
Simipour,222,teammate,2,Politoed,,,,,,,,,
Simipour,222,teammate,3,Simisear,,,,,,,,,
Simipour,222,teammate,4,Sinistcha,,,,,,,,,
Simipour,222,teammate,5,Whimsicott,,,,,,,,,
Simipour,222,teammate,6,Incineroar,,,,,,,,,
Simipour,222,teammate,7,Farigiraf,,,,,,,,,
Simipour,222,teammate,8,Charizard,,,,,,,,,
Simipour,222,teammate,9,Raichu,,,,,,,,,
Simipour,222,teammate,10,Audino,,,,,,,,,
Simipour,222,stat_alignment,1,Modest,37.7%,Sp. Atk,Attack,,,,,,
Simipour,222,stat_alignment,2,Timid,28.2%,Speed,Attack,,,,,,
Simipour,222,stat_alignment,3,Naive,9.5%,Speed,Sp. Def,,,,,,
Simipour,222,stat_alignment,4,Jolly,7.1%,Speed,Sp. Atk,,,,,,
Simipour,222,stat_alignment,5,Hasty,6.8%,Speed,Defense,,,,,,
Simipour,222,stat_alignment,6,Bold,3.2%,Defense,Attack,,,,,,
Simipour,222,stat_alignment,7,Adamant,2.5%,Attack,Sp. Atk,,,,,,
Simipour,222,stat_alignment,8,Calm,2.1%,Sp. Def,Attack,,,,,,
Simipour,222,stat_alignment,9,Rash,1.3%,Sp. Atk,Sp. Def,,,,,,
Simipour,222,stat_alignment,10,Quiet,0.0%,Sp. Atk,Speed,,,,,,
Simipour,222,stat_points,1,,29.1%,,,2,0,0,32,0,32
Simipour,222,stat_points,2,,14.3%,,,32,0,0,32,0,2
Simipour,222,stat_points,3,,9.6%,,,0,32,0,2,0,32
Simipour,222,stat_points,4,,5.5%,,,0,26,0,8,0,32
Simipour,222,stat_points,5,,4.9%,,,1,0,1,32,0,32
Simipour,222,stat_points,6,,2.8%,,,2,32,0,0,0,32
Simipour,222,stat_points,7,,2.4%,,,32,0,0,2,0,32
Simipour,222,stat_points,8,,2.2%,,,0,0,1,32,1,32
Simipour,222,stat_points,9,,2.2%,,,0,0,2,32,0,32
Simipour,222,stat_points,10,,2.0%,,,2,3,29,0,0,32
Simipour,222,ability,1,Torrent,85.8%,,,,,,,,
Simipour,222,ability,2,Gluttony,14.2%,,,,,,,,
