pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Falinks,198,move,1,No Retreat,83.6%,,,,,,,,
Falinks,198,move,2,Close Combat,82.4%,,,,,,,,
Falinks,198,move,3,Knock Off,44.9%,,,,,,,,
Falinks,198,move,4,Iron Head,34.4%,,,,,,,,
Falinks,198,move,5,First Impression,27.4%,,,,,,,,
Falinks,198,move,6,Poison Jab,21.8%,,,,,,,,
Falinks,198,move,7,Throat Chop,18.4%,,,,,,,,
Falinks,198,move,8,Rock Slide,16.6%,,,,,,,,
Falinks,198,move,9,High Horsepower,15.1%,,,,,,,,
Falinks,198,move,10,Body Press,9.1%,,,,,,,,
Falinks,198,held_item,1,Falinksite,87.2%,,,,,,,,
Falinks,198,held_item,2,Focus Sash,3.7%,,,,,,,,
Falinks,198,held_item,3,Life Orb,1.4%,,,,,,,,
Falinks,198,held_item,4,Sitrus Berry,0.9%,,,,,,,,
Falinks,198,held_item,5,Black Belt,0.8%,,,,,,,,
Falinks,198,held_item,6,Lum Berry,0.8%,,,,,,,,
Falinks,198,held_item,7,Quick Claw,0.4%,,,,,,,,
Falinks,198,held_item,8,Leftovers,0.4%,,,,,,,,
Falinks,198,held_item,9,Muscle Band,0.4%,,,,,,,,
Falinks,198,held_item,10,Chesto Berry,0.3%,,,,,,,,
Falinks,198,teammate,1,Garchomp,,,,,,,,,
Falinks,198,teammate,2,Meowscarada,,,,,,,,,
Falinks,198,teammate,3,Primarina,,,,,,,,,
Falinks,198,teammate,4,Mimikyu,,,,,,,,,
Falinks,198,teammate,5,Archaludon,,,,,,,,,
Falinks,198,teammate,6,Gholdengo,,,,,,,,,
Falinks,198,teammate,7,Basculegion Male,,,,,,,,,
Falinks,198,teammate,8,Maushold Family of Four,,,,,,,,,
Falinks,198,teammate,9,Glimmora,,,,,,,,,
Falinks,198,teammate,10,Dragapult,,,,,,,,,
Falinks,198,stat_alignment,1,Adamant,60.2%,Attack,Sp. Atk,,,,,,
Falinks,198,stat_alignment,2,Jolly,26.7%,Speed,Sp. Atk,,,,,,
Falinks,198,stat_alignment,3,Impish,6.5%,Defense,Sp. Atk,,,,,,
Falinks,198,stat_alignment,4,Careful,2.5%,Sp. Def,Sp. Atk,,,,,,
Falinks,198,stat_alignment,5,Lonely,0.7%,Attack,Defense,,,,,,
Falinks,198,stat_alignment,6,Relaxed,0.7%,Defense,Speed,,,,,,
Falinks,198,stat_alignment,7,Naughty,0.5%,Attack,Sp. Def,,,,,,
Falinks,198,stat_alignment,8,Brave,0.4%,Attack,Speed,,,,,,
Falinks,198,stat_alignment,9,Hasty,0.0%,Speed,Defense,,,,,,
Falinks,198,stat_alignment,10,Modest,0.0%,Sp. Atk,Attack,,,,,,
Falinks,198,stat_points,1,,36.6%,,,2,32,0,0,0,32
Falinks,198,stat_points,2,,7.2%,,,1,32,1,0,0,32
Falinks,198,stat_points,3,,4.4%,,,1,32,0,0,1,32
Falinks,198,stat_points,4,,4.0%,,,0,32,2,0,0,32
Falinks,198,stat_points,5,,3.4%,,,0,32,0,0,2,32
Falinks,198,stat_points,6,,1.8%,,,32,32,0,0,0,2
Falinks,198,stat_points,7,,1.5%,,,32,32,0,0,2,0
Falinks,198,stat_points,8,,1.4%,,,32,32,2,0,0,0
Falinks,198,stat_points,9,,1.1%,,,1,25,0,0,0,30
Falinks,198,stat_points,10,,1.1%,,,32,2,32,0,0,0
Falinks,198,ability,1,Defiant,89.8%,,,,,,,,
Falinks,198,ability,2,Battle Armor,10.2%,,,,,,,,
