pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sylveon,28,move,1,Hyper Voice,97.9%,,,,,,,,
Sylveon,28,move,2,Yawn,86.2%,,,,,,,,
Sylveon,28,move,3,Wish,71.7%,,,,,,,,
Sylveon,28,move,4,Protect,66.8%,,,,,,,,
Sylveon,28,move,5,Mystical Fire,20.9%,,,,,,,,
Sylveon,28,move,6,Quick Attack,20.3%,,,,,,,,
Sylveon,28,move,7,Calm Mind,7.3%,,,,,,,,
Sylveon,28,move,8,Detect,5.5%,,,,,,,,
Sylveon,28,move,9,Hyper Beam,3.4%,,,,,,,,
Sylveon,28,move,10,Shadow Ball,1.0%,,,,,,,,
Sylveon,28,held_item,1,Leftovers,70.8%,,,,,,,,
Sylveon,28,held_item,2,Fairy Feather,16.0%,,,,,,,,
Sylveon,28,held_item,3,Sitrus Berry,6.8%,,,,,,,,
Sylveon,28,held_item,4,Babiri Berry,1.3%,,,,,,,,
Sylveon,28,held_item,5,Lum Berry,1.0%,,,,,,,,
Sylveon,28,held_item,6,Life Orb,0.9%,,,,,,,,
Sylveon,28,held_item,7,Quick Claw,0.8%,,,,,,,,
Sylveon,28,held_item,8,Chesto Berry,0.5%,,,,,,,,
Sylveon,28,held_item,9,Focus Sash,0.3%,,,,,,,,
Sylveon,28,held_item,10,Expert Belt,0.2%,,,,,,,,
Sylveon,28,teammate,1,Garchomp,,,,,,,,,
Sylveon,28,teammate,2,Gyarados,,,,,,,,,
Sylveon,28,teammate,3,Mimikyu,,,,,,,,,
Sylveon,28,teammate,4,Delphox,,,,,,,,,
Sylveon,28,teammate,5,Lucario,,,,,,,,,
Sylveon,28,teammate,6,Archaludon,,,,,,,,,
Sylveon,28,teammate,7,Volcarona,,,,,,,,,
Sylveon,28,teammate,8,Meowscarada,,,,,,,,,
Sylveon,28,teammate,9,Scizor,,,,,,,,,
Sylveon,28,teammate,10,Basculegion Male,,,,,,,,,
Sylveon,28,stat_alignment,1,Bold,66.4%,Defense,Attack,,,,,,
Sylveon,28,stat_alignment,2,Modest,22.8%,Sp. Atk,Attack,,,,,,
Sylveon,28,stat_alignment,3,Calm,5.1%,Sp. Def,Attack,,,,,,
Sylveon,28,stat_alignment,4,Quiet,2.7%,Sp. Atk,Speed,,,,,,
Sylveon,28,stat_alignment,5,Relaxed,1.0%,Defense,Speed,,,,,,
Sylveon,28,stat_alignment,6,Timid,7.3%,Speed,Attack,,,,,,
Sylveon,28,stat_alignment,7,Sassy,3.0%,Sp. Def,Speed,,,,,,
Sylveon,28,stat_alignment,8,Mild,1.0%,Sp. Atk,Defense,,,,,,
Sylveon,28,stat_alignment,9,Impish,1.0%,Defense,Sp. Atk,,,,,,
Sylveon,28,stat_alignment,10,Adamant,0.1%,Attack,Sp. Atk,,,,,,
Sylveon,28,stat_points,1,,18.4%,,,32,0,32,0,2,0
Sylveon,28,stat_points,2,,14.5%,,,32,0,32,0,1,1
Sylveon,28,stat_points,3,,13.8%,,,32,0,32,0,0,2
Sylveon,28,stat_points,4,,4.4%,,,32,0,32,2,0,0
Sylveon,28,stat_points,5,,4.1%,,,32,0,0,32,0,2
Sylveon,28,stat_points,6,,1.9%,,,31,0,32,0,0,3
Sylveon,28,stat_points,7,,1.9%,,,19,0,8,30,0,9
Sylveon,28,stat_points,8,,1.9%,,,32,0,2,32,0,0
Sylveon,28,stat_points,9,,1.3%,,,32,0,0,32,2,0
Sylveon,28,stat_points,10,,0.9%,,,31,0,32,3,0,0
Sylveon,28,ability,1,Pixilate,99.0%,,,,,,,,
Sylveon,28,ability,2,Cute Charm,1.0%,,,,,,,,
