pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Alolan Ninetales,29,move,1,Blizzard,95.7%,,,,,,,,
Alolan Ninetales,29,move,2,Freeze-Dry,75.1%,,,,,,,,
Alolan Ninetales,29,move,3,Protect,63.8%,,,,,,,,
Alolan Ninetales,29,move,4,Aurora Veil,48.7%,,,,,,,,
Alolan Ninetales,29,move,5,Encore,34.6%,,,,,,,,
Alolan Ninetales,29,move,6,Moonblast,26.7%,,,,,,,,
Alolan Ninetales,29,move,7,Icy Wind,16.6%,,,,,,,,
Alolan Ninetales,29,move,8,Dazzling Gleam,9.7%,,,,,,,,
Alolan Ninetales,29,move,9,Disable,5.9%,,,,,,,,
Alolan Ninetales,29,move,10,Helping Hand,5.4%,,,,,,,,
Alolan Ninetales,29,held_item,1,Never-Melt Ice,35.1%,,,,,,,,
Alolan Ninetales,29,held_item,2,Light Clay,21.6%,,,,,,,,
Alolan Ninetales,29,held_item,3,Choice Scarf,17.0%,,,,,,,,
Alolan Ninetales,29,held_item,4,Focus Sash,16.3%,,,,,,,,
Alolan Ninetales,29,held_item,5,Life Orb,2.7%,,,,,,,,
Alolan Ninetales,29,held_item,6,Sitrus Berry,1.6%,,,,,,,,
Alolan Ninetales,29,held_item,7,Occa Berry,1.0%,,,,,,,,
Alolan Ninetales,29,held_item,8,Icy Rock,0.9%,,,,,,,,
Alolan Ninetales,29,held_item,9,Leftovers,0.6%,,,,,,,,
Alolan Ninetales,29,held_item,10,Quick Claw,0.5%,,,,,,,,
Alolan Ninetales,29,teammate,1,Kingambit,,,,,,,,,
Alolan Ninetales,29,teammate,2,Incineroar,,,,,,,,,
Alolan Ninetales,29,teammate,3,Sneasler,,,,,,,,,
Alolan Ninetales,29,teammate,4,Basculegion Male,,,,,,,,,
Alolan Ninetales,29,teammate,5,Whimsicott,,,,,,,,,
Alolan Ninetales,29,teammate,6,Raichu,,,,,,,,,
Alolan Ninetales,29,teammate,7,Garchomp,,,,,,,,,
Alolan Ninetales,29,teammate,8,Gengar,,,,,,,,,
Alolan Ninetales,29,teammate,9,Dragonite,,,,,,,,,
Alolan Ninetales,29,teammate,10,Glimmora,,,,,,,,,
Alolan Ninetales,29,stat_alignment,1,Timid,84.3%,Speed,Attack,,,,,,
Alolan Ninetales,29,stat_alignment,2,Modest,11.9%,Sp. Atk,Attack,,,,,,
Alolan Ninetales,29,stat_alignment,3,Bold,1.0%,Defense,Attack,,,,,,
Alolan Ninetales,29,stat_alignment,4,Mild,0.8%,Sp. Atk,Defense,,,,,,
Alolan Ninetales,29,stat_alignment,5,Calm,0.6%,Sp. Def,Attack,,,,,,
Alolan Ninetales,29,stat_alignment,6,Hasty,5.4%,Speed,Defense,,,,,,
Alolan Ninetales,29,stat_alignment,7,Quiet,3.0%,Sp. Atk,Speed,,,,,,
Alolan Ninetales,29,stat_alignment,8,Naive,0.2%,Speed,Sp. Def,,,,,,
Alolan Ninetales,29,stat_alignment,9,Relaxed,0.1%,Defense,Speed,,,,,,
Alolan Ninetales,29,stat_alignment,10,Sassy,0.1%,Sp. Def,Speed,,,,,,
Alolan Ninetales,29,stat_points,1,,31.8%,,,2,0,0,32,0,32
Alolan Ninetales,29,stat_points,2,,7.9%,,,1,0,1,32,0,32
Alolan Ninetales,29,stat_points,3,,6.6%,,,5,0,7,22,0,32
Alolan Ninetales,29,stat_points,4,,6.1%,,,0,0,2,32,0,32
Alolan Ninetales,29,stat_points,5,,5.0%,,,2,0,7,25,0,32
Alolan Ninetales,29,stat_points,6,,2.1%,,,13,0,0,21,0,32
Alolan Ninetales,29,stat_points,7,,1.5%,,,0,0,0,32,0,32
Alolan Ninetales,29,stat_points,8,,1.2%,,,9,0,11,19,0,27
Alolan Ninetales,29,stat_points,9,,1.1%,,,1,0,0,32,1,32
Alolan Ninetales,29,stat_points,10,,1.0%,,,7,0,0,32,0,27
Alolan Ninetales,29,ability,1,Snow Warning,99.0%,,,,,,,,
Alolan Ninetales,29,ability,2,Snow Cloak,1.0%,,,,,,,,
