pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Aromatisse,131,move,1,Trick Room,95.1%,,,,,,,,
Aromatisse,131,move,2,Moonblast,70.3%,,,,,,,,
Aromatisse,131,move,3,Dazzling Gleam,47.1%,,,,,,,,
Aromatisse,131,move,4,Encore,41.6%,,,,,,,,
Aromatisse,131,move,5,Heal Pulse,33.9%,,,,,,,,
Aromatisse,131,move,6,Protect,29.2%,,,,,,,,
Aromatisse,131,move,7,Rain Dance,10.6%,,,,,,,,
Aromatisse,131,move,8,Fake Tears,8.0%,,,,,,,,
Aromatisse,131,move,9,Ally Switch,7.4%,,,,,,,,
Aromatisse,131,move,10,Sunny Day,6.9%,,,,,,,,
Aromatisse,131,held_item,1,Babiri Berry,36.2%,,,,,,,,
Aromatisse,131,held_item,2,Sitrus Berry,24.6%,,,,,,,,
Aromatisse,131,held_item,3,Fairy Feather,18.3%,,,,,,,,
Aromatisse,131,held_item,4,Leftovers,7.2%,,,,,,,,
Aromatisse,131,held_item,5,Focus Sash,3.2%,,,,,,,,
Aromatisse,131,held_item,6,Kebia Berry,3.1%,,,,,,,,
Aromatisse,131,held_item,7,Bright Powder,1.8%,,,,,,,,
Aromatisse,131,held_item,8,Iron Ball,1.3%,,,,,,,,
Aromatisse,131,held_item,9,Chesto Berry,1.1%,,,,,,,,
Aromatisse,131,held_item,10,Life Orb,0.7%,,,,,,,,
Aromatisse,131,teammate,1,Farigiraf,,,,,,,,,
Aromatisse,131,teammate,2,Raichu,,,,,,,,,
Aromatisse,131,teammate,3,Ampharos,,,,,,,,,
Aromatisse,131,teammate,4,Sinistcha,,,,,,,,,
Aromatisse,131,teammate,5,Basculegion Male,,,,,,,,,
Aromatisse,131,teammate,6,Kommo-o,,,,,,,,,
Aromatisse,131,teammate,7,Blastoise,,,,,,,,,
Aromatisse,131,teammate,8,Torkoal,,,,,,,,,
Aromatisse,131,teammate,9,Dragalge,,,,,,,,,
Aromatisse,131,teammate,10,Crabominable,,,,,,,,,
Aromatisse,131,stat_alignment,1,Quiet,52.4%,Sp. Atk,Speed,,,,,,
Aromatisse,131,stat_alignment,2,Relaxed,26.9%,Defense,Speed,,,,,,
Aromatisse,131,stat_alignment,3,Sassy,7.2%,Sp. Def,Speed,,,,,,
Aromatisse,131,stat_alignment,4,Modest,7.1%,Sp. Atk,Attack,,,,,,
Aromatisse,131,stat_alignment,5,Bold,4.2%,Defense,Attack,,,,,,
Aromatisse,131,stat_alignment,6,Calm,1.5%,Sp. Def,Attack,,,,,,
Aromatisse,131,stat_alignment,7,Mild,0.2%,Sp. Atk,Defense,,,,,,
Aromatisse,131,stat_alignment,8,Gentle,0.2%,Sp. Def,Defense,,,,,,
Aromatisse,131,stat_alignment,9,Timid,0.1%,Speed,Attack,,,,,,
Aromatisse,131,stat_alignment,10,Lax,0.1%,Defense,Sp. Def,,,,,,
Aromatisse,131,stat_points,1,,23.6%,,,32,0,0,32,2,0
Aromatisse,131,stat_points,2,,13.9%,,,30,0,0,31,5,0
Aromatisse,131,stat_points,3,,10.6%,,,32,0,18,0,16,0
Aromatisse,131,stat_points,4,,4.6%,,,32,0,2,32,0,0
Aromatisse,131,stat_points,5,,4.5%,,,32,0,0,31,3,0
Aromatisse,131,stat_points,6,,1.9%,,,32,0,23,0,11,0
Aromatisse,131,stat_points,7,,1.7%,,,32,0,28,0,6,0
Aromatisse,131,stat_points,8,,1.5%,,,23,0,28,0,15,0
Aromatisse,131,stat_points,9,,1.4%,,,32,0,2,0,32,0
Aromatisse,131,stat_points,10,,1.4%,,,2,0,32,0,32,0
Aromatisse,131,ability,1,Aroma Veil,96.6%,,,,,,,,
Aromatisse,131,ability,2,Healer,3.4%,,,,,,,,
