pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hatterene,71,move,1,Dazzling Gleam,91.5%,,,,,,,,
Hatterene,71,move,2,Trick Room,87.0%,,,,,,,,
Hatterene,71,move,3,Protect,69.5%,,,,,,,,
Hatterene,71,move,4,Psychic,62.6%,,,,,,,,
Hatterene,71,move,5,Expanding Force,23.6%,,,,,,,,
Hatterene,71,move,6,Mystical Fire,13.4%,,,,,,,,
Hatterene,71,move,7,Psychic Terrain,7.1%,,,,,,,,
Hatterene,71,move,8,Giga Drain,4.6%,,,,,,,,
Hatterene,71,move,9,Draining Kiss,4.1%,,,,,,,,
Hatterene,71,move,10,Life Dew,1.0%,,,,,,,,
Hatterene,71,held_item,1,Life Orb,47.8%,,,,,,,,
Hatterene,71,held_item,2,Focus Sash,19.7%,,,,,,,,
Hatterene,71,held_item,3,Sitrus Berry,9.4%,,,,,,,,
Hatterene,71,held_item,4,Fairy Feather,9.2%,,,,,,,,
Hatterene,71,held_item,5,Leftovers,4.9%,,,,,,,,
Hatterene,71,held_item,6,Babiri Berry,3.0%,,,,,,,,
Hatterene,71,held_item,7,Twisted Spoon,2.1%,,,,,,,,
Hatterene,71,held_item,8,Wise Glasses,1.5%,,,,,,,,
Hatterene,71,held_item,9,Bright Powder,1.4%,,,,,,,,
Hatterene,71,held_item,10,Quick Claw,1.1%,,,,,,,,
Hatterene,71,teammate,1,Farigiraf,,,,,,,,,
Hatterene,71,teammate,2,Torkoal,,,,,,,,,
Hatterene,71,teammate,3,Incineroar,,,,,,,,,
Hatterene,71,teammate,4,Kangaskhan,,,,,,,,,
Hatterene,71,teammate,5,Charizard,,,,,,,,,
Hatterene,71,teammate,6,Kingambit,,,,,,,,,
Hatterene,71,teammate,7,Mawile,,,,,,,,,
Hatterene,71,teammate,8,Sinistcha,,,,,,,,,
Hatterene,71,teammate,9,Camerupt,,,,,,,,,
Hatterene,71,teammate,10,Oranguru,,,,,,,,,
Hatterene,71,stat_alignment,1,Quiet,74.9%,Sp. Atk,Speed,,,,,,
Hatterene,71,stat_alignment,2,Modest,10.4%,Sp. Atk,Attack,,,,,,
Hatterene,71,stat_alignment,3,Relaxed,5.2%,Defense,Speed,,,,,,
Hatterene,71,stat_alignment,4,Sassy,3.6%,Sp. Def,Speed,,,,,,
Hatterene,71,stat_alignment,5,Bold,2.9%,Defense,Attack,,,,,,
Hatterene,71,stat_alignment,6,Calm,2.1%,Sp. Def,Attack,,,,,,
Hatterene,71,stat_alignment,7,Mild,0.4%,Sp. Atk,Defense,,,,,,
Hatterene,71,stat_alignment,8,Timid,0.2%,Speed,Attack,,,,,,
Hatterene,71,stat_alignment,9,Naive,0.1%,Speed,Sp. Def,,,,,,
Hatterene,71,stat_alignment,10,Hardy,0.1%,,,,,,,,
Hatterene,71,stat_points,1,,28.8%,,,32,0,2,32,0,0
Hatterene,71,stat_points,2,,15.5%,,,27,0,7,32,0,0
Hatterene,71,stat_points,3,,9.8%,,,32,0,0,32,2,0
Hatterene,71,stat_points,4,,2.7%,,,32,0,13,21,0,0
Hatterene,71,stat_points,5,,2.6%,,,0,0,32,32,2,0
Hatterene,71,stat_points,6,,2.1%,,,2,0,0,32,32,0
Hatterene,71,stat_points,7,,1.4%,,,32,0,0,32,0,0
Hatterene,71,stat_points,8,,1.2%,,,32,0,32,0,2,0
Hatterene,71,stat_points,9,,0.8%,,,2,0,32,0,32,0
Hatterene,71,stat_points,10,,0.7%,,,32,0,1,32,0,0
Hatterene,71,ability,1,Magic Bounce,95.5%,,,,,,,,
Hatterene,71,ability,2,Healer,3.3%,,,,,,,,
Hatterene,71,ability,3,Anticipation,1.2%,,,,,,,,
