pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Avalugg,176,move,1,Mountain Gale,86.1%,,,,,,,,
Hisuian Avalugg,176,move,2,Rock Slide,82.9%,,,,,,,,
Hisuian Avalugg,176,move,3,Wide Guard,73.5%,,,,,,,,
Hisuian Avalugg,176,move,4,Body Press,70.0%,,,,,,,,
Hisuian Avalugg,176,move,5,Protect,20.8%,,,,,,,,
Hisuian Avalugg,176,move,6,Mirror Coat,7.8%,,,,,,,,
Hisuian Avalugg,176,move,7,Stone Edge,7.8%,,,,,,,,
Hisuian Avalugg,176,move,8,High Horsepower,7.1%,,,,,,,,
Hisuian Avalugg,176,move,9,Ice Spinner,5.9%,,,,,,,,
Hisuian Avalugg,176,move,10,Rock Blast,4.9%,,,,,,,,
Hisuian Avalugg,176,held_item,1,Wide Lens,58.8%,,,,,,,,
Hisuian Avalugg,176,held_item,2,Leftovers,17.7%,,,,,,,,
Hisuian Avalugg,176,held_item,3,Quick Claw,6.6%,,,,,,,,
Hisuian Avalugg,176,held_item,4,Expert Belt,4.1%,,,,,,,,
Hisuian Avalugg,176,held_item,5,Sitrus Berry,3.9%,,,,,,,,
Hisuian Avalugg,176,held_item,6,Zoom Lens,2.4%,,,,,,,,
Hisuian Avalugg,176,held_item,7,Muscle Band,1.9%,,,,,,,,
Hisuian Avalugg,176,held_item,8,Chople Berry,1.8%,,,,,,,,
Hisuian Avalugg,176,held_item,9,Hard Stone,1.7%,,,,,,,,
Hisuian Avalugg,176,held_item,10,Focus Sash,1.7%,,,,,,,,
Hisuian Avalugg,176,teammate,1,Farigiraf,,,,,,,,,
Hisuian Avalugg,176,teammate,2,Kangaskhan,,,,,,,,,
Hisuian Avalugg,176,teammate,3,Camerupt,,,,,,,,,
Hisuian Avalugg,176,teammate,4,Gallade,,,,,,,,,
Hisuian Avalugg,176,teammate,5,Aromatisse,,,,,,,,,
Hisuian Avalugg,176,teammate,6,Sinistcha,,,,,,,,,
Hisuian Avalugg,176,teammate,7,Kingambit,,,,,,,,,
Hisuian Avalugg,176,teammate,8,Chandelure,,,,,,,,,
Hisuian Avalugg,176,teammate,9,Decidueye,,,,,,,,,
Hisuian Avalugg,176,teammate,10,Torkoal,,,,,,,,,
Hisuian Avalugg,176,stat_alignment,1,Brave,67.9%,Attack,Speed,,,,,,
Hisuian Avalugg,176,stat_alignment,2,Adamant,12.0%,Attack,Sp. Atk,,,,,,
Hisuian Avalugg,176,stat_alignment,3,Relaxed,6.5%,Defense,Speed,,,,,,
Hisuian Avalugg,176,stat_alignment,4,Impish,4.0%,Defense,Sp. Atk,,,,,,
Hisuian Avalugg,176,stat_alignment,5,Sassy,3.8%,Sp. Def,Speed,,,,,,
Hisuian Avalugg,176,stat_alignment,6,Careful,2.0%,Sp. Def,Sp. Atk,,,,,,
Hisuian Avalugg,176,stat_alignment,7,Naughty,1.2%,Attack,Sp. Def,,,,,,
Hisuian Avalugg,176,stat_alignment,8,Quiet,0.6%,Sp. Atk,Speed,,,,,,
Hisuian Avalugg,176,stat_alignment,9,Lax,0.5%,Defense,Sp. Def,,,,,,
Hisuian Avalugg,176,stat_alignment,10,Naive,0.0%,Speed,Sp. Def,,,,,,
Hisuian Avalugg,176,stat_points,1,,54.3%,,,2,32,32,0,0,0
Hisuian Avalugg,176,stat_points,2,,12.1%,,,32,32,2,0,0,0
Hisuian Avalugg,176,stat_points,3,,5.5%,,,32,32,0,0,2,0
Hisuian Avalugg,176,stat_points,4,,3.6%,,,0,32,32,0,2,0
Hisuian Avalugg,176,stat_points,5,,2.3%,,,2,32,0,0,32,0
Hisuian Avalugg,176,stat_points,6,,1.2%,,,1,32,0,0,32,0
Hisuian Avalugg,176,stat_points,7,,1.1%,,,0,32,2,0,32,0
Hisuian Avalugg,176,stat_points,8,,0.9%,,,0,32,0,0,32,0
Hisuian Avalugg,176,stat_points,9,,0.9%,,,30,4,0,0,32,0
Hisuian Avalugg,176,stat_points,10,,0.7%,,,31,32,3,0,0,0
Hisuian Avalugg,176,ability,1,Sturdy,90.2%,,,,,,,,
Hisuian Avalugg,176,ability,2,Ice Body,6.2%,,,,,,,,
Hisuian Avalugg,176,ability,3,Strong Jaw,3.6%,,,,,,,,
