pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sandaconda,189,move,6,Rock Tomb,22.5%,,,,,,,,
Sandaconda,189,move,7,Coil,19.6%,,,,,,,,
Sandaconda,189,move,8,Rest,13.0%,,,,,,,,
Sandaconda,189,move,9,Stone Edge,12.1%,,,,,,,,
Sandaconda,189,move,10,Body Press,8.8%,,,,,,,,
Sandaconda,189,held_item,1,Focus Sash,32.2%,,,,,,,,
Sandaconda,189,held_item,2,Smooth Rock,25.0%,,,,,,,,
Sandaconda,189,held_item,3,Leftovers,13.2%,,,,,,,,
Sandaconda,189,held_item,4,Bright Powder,8.9%,,,,,,,,
Sandaconda,189,held_item,5,Sitrus Berry,7.4%,,,,,,,,
Sandaconda,189,held_item,6,Scope Lens,2.8%,,,,,,,,
Sandaconda,189,held_item,7,Quick Claw,2.4%,,,,,,,,
Sandaconda,189,held_item,8,Wide Lens,1.7%,,,,,,,,
Sandaconda,189,held_item,9,Lum Berry,1.1%,,,,,,,,
Sandaconda,189,held_item,10,Chesto Berry,1.0%,,,,,,,,
Sandaconda,189,teammate,1,Garchomp,,,,,,,,,
Sandaconda,189,teammate,2,Excadrill,,,,,,,,,
Sandaconda,189,teammate,3,Houndstone,,,,,,,,,
Sandaconda,189,teammate,4,Gyarados,,,,,,,,,
Sandaconda,189,teammate,5,Charizard,,,,,,,,,
Sandaconda,189,teammate,6,Primarina,,,,,,,,,
Sandaconda,189,teammate,7,Meowscarada,,,,,,,,,
Sandaconda,189,teammate,8,Raichu,,,,,,,,,
Sandaconda,189,teammate,9,Tyranitar,,,,,,,,,
Sandaconda,189,teammate,10,Hippowdon,,,,,,,,,
Sandaconda,189,stat_alignment,1,Jolly,30.7%,Speed,Sp. Atk,,,,,,
Sandaconda,189,stat_alignment,2,Impish,26.4%,Defense,Sp. Atk,,,,,,
Sandaconda,189,stat_alignment,3,Careful,20.9%,Sp. Def,Sp. Atk,,,,,,
Sandaconda,189,stat_alignment,4,Adamant,14.1%,Attack,Sp. Atk,,,,,,
Sandaconda,189,stat_alignment,5,Sassy,1.0%,Sp. Def,Speed,,,,,,
Sandaconda,189,stat_alignment,6,Brave,1.0%,Attack,Speed,,,,,,
Sandaconda,189,stat_alignment,7,Hasty,1.0%,Speed,Defense,,,,,,
Sandaconda,189,stat_alignment,8,Calm,0.9%,Sp. Def,Attack,,,,,,
Sandaconda,189,stat_alignment,9,Relaxed,0.8%,Defense,Speed,,,,,,
Sandaconda,189,stat_alignment,10,Timid,0.5%,Speed,Attack,,,,,,
Sandaconda,189,stat_points,1,,17.5%,,,2,32,0,0,0,32
Sandaconda,189,stat_points,2,,8.8%,,,32,0,2,0,32,0
Sandaconda,189,stat_points,3,,8.4%,,,32,0,32,0,2,0
Sandaconda,189,stat_points,4,,5.4%,,,0,32,2,0,0,32
Sandaconda,189,stat_points,5,,3.2%,,,0,32,0,0,2,32
Sandaconda,189,stat_points,6,,1.9%,,,32,0,32,0,0,2
Sandaconda,189,stat_points,7,,1.8%,,,28,6,0,0,32,0
Sandaconda,189,stat_points,8,,1.8%,,,32,2,32,0,0,0
Sandaconda,189,stat_points,9,,1.7%,,,0,32,0,0,0,32
Sandaconda,189,stat_points,10,,1.5%,,,32,32,2,0,0,0
Sandaconda,189,ability,1,Sand Spit,74.6%,,,,,,,,
Sandaconda,189,ability,2,Shed Skin,19.6%,,,,,,,,
Sandaconda,189,ability,3,Sand Veil,5.8%,,,,,,,,
