pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Ariados,201,move,1,Rage Powder,59.5%,,,,,,,,
Ariados,201,move,2,Protect,49.3%,,,,,,,,
Ariados,201,move,3,First Impression,34.9%,,,,,,,,
Ariados,201,move,4,Cross Poison,33.8%,,,,,,,,
Ariados,201,move,5,Toxic Thread,24.3%,,,,,,,,
Ariados,201,move,6,String Shot,22.3%,,,,,,,,
Ariados,201,move,7,Sucker Punch,22.1%,,,,,,,,
Ariados,201,move,8,Poison Jab,17.6%,,,,,,,,
Ariados,201,move,9,Sticky Web,15.6%,,,,,,,,
Ariados,201,move,10,Leech Life,15.1%,,,,,,,,
Ariados,201,held_item,1,Sitrus Berry,25.7%,,,,,,,,
Ariados,201,held_item,2,Focus Sash,22.1%,,,,,,,,
Ariados,201,held_item,3,Scope Lens,18.6%,,,,,,,,
Ariados,201,held_item,4,Life Orb,5.8%,,,,,,,,
Ariados,201,held_item,5,Occa Berry,4.6%,,,,,,,,
Ariados,201,held_item,6,Quick Claw,4.1%,,,,,,,,
Ariados,201,held_item,7,Bright Powder,3.4%,,,,,,,,
Ariados,201,held_item,8,Wide Lens,2.6%,,,,,,,,
Ariados,201,held_item,9,Leftovers,2.4%,,,,,,,,
Ariados,201,held_item,10,Coba Berry,9.7%,,,,,,,,
Ariados,201,teammate,1,Garchomp,,,,,,,,,
Ariados,201,teammate,2,Farigiraf,,,,,,,,,
Ariados,201,teammate,3,Araquanid,,,,,,,,,
Ariados,201,teammate,4,Sylveon,,,,,,,,,
Ariados,201,teammate,5,Basculegion Male,,,,,,,,,
Ariados,201,teammate,6,Sneasler,,,,,,,,,
Ariados,201,teammate,7,Charizard,,,,,,,,,
Ariados,201,teammate,8,Kleavor,,,,,,,,,
Ariados,201,teammate,9,Incineroar,,,,,,,,,
Ariados,201,teammate,10,Sinistcha,,,,,,,,,
Ariados,201,stat_alignment,1,Impish,29.7%,Defense,Sp. Atk,,,,,,
Ariados,201,stat_alignment,2,Adamant,21.8%,Attack,Sp. Atk,,,,,,
Ariados,201,stat_alignment,3,Brave,21.3%,Attack,Speed,,,,,,
Ariados,201,stat_alignment,4,Careful,8.4%,Sp. Def,Sp. Atk,,,,,,
Ariados,201,stat_alignment,5,Jolly,5.7%,Speed,Sp. Atk,,,,,,
Ariados,201,stat_alignment,6,Relaxed,5.2%,Defense,Speed,,,,,,
Ariados,201,stat_alignment,7,Naive,1.9%,Speed,Sp. Def,,,,,,
Ariados,201,stat_alignment,8,Sassy,1.0%,Sp. Def,Speed,,,,,,
Ariados,201,stat_alignment,9,Calm,1.0%,Sp. Def,Attack,,,,,,
Ariados,201,stat_alignment,10,Lonely,0.8%,Attack,Defense,,,,,,
Ariados,201,stat_points,1,,14.4%,,,31,0,20,0,15,0
Ariados,201,stat_points,2,,13.2%,,,32,32,2,0,0,0
Ariados,201,stat_points,3,,4.9%,,,32,32,1,0,1,0
Ariados,201,stat_points,4,,4.4%,,,2,32,0,0,0,32
Ariados,201,stat_points,5,,4.3%,,,32,0,20,0,14,0
Ariados,201,stat_points,6,,2.5%,,,32,0,17,0,17,0
Ariados,201,stat_points,7,,2.5%,,,2,0,32,0,32,0
Ariados,201,stat_points,8,,2.2%,,,0,32,32,0,2,0
Ariados,201,stat_points,9,,2.1%,,,0,32,0,0,32,0
Ariados,201,stat_points,10,,1.8%,,,15,0,20,0,31,0
Ariados,201,ability,1,Insomnia,46.4%,,,,,,,,
Ariados,201,ability,2,Sniper,44.7%,,,,,,,,
Ariados,201,ability,3,Swarm,8.9%,,,,,,,,
